[MLP]   svm_data_20260507_133636.csv                       24741샘플
[MLP] CSV 로드  →  총 24741샘플
[MLP] 로드 완료 | 전체: 24741개  (배경: 12371, 사람: 12370)
[MLP] 특징 모드: ESP32 (14개)
[MLP] 학습: 19792개 (80%)  검증: 4949개 (20%)  [비율고정: 유지 | 분리시드: 42]
[MLP] 스케일러: StandardScaler (z-score)
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
[MLP]  디바이스: cpu
[MLP]  구조: 14 → 128 → 64 → 32 → 2
[MLP]  에폭: 1000  배치: 128  LR: 2.00e-03  Dropout: 0.2
[MLP]  Early Stop: 비활성화
[MLP]  LR 스케줄러: patience=50  factor=0.5  min_lr=1e-6
[MLP]  검증 비율: 20%  분리 비율고정: 유지  분리 시드: 42
[MLP]  스케일러: StandardScaler  특징 모드: ESP32
[MLP]  사용 특징 (14개): SPECTRAL_BANDWIDTH, PEAK_COUNT, MID_RATIO, SECOND_PEAK_FREQ, KURTOSIS, CENTROID, PEAK_FREQ, LOW_RATIO, RMS, PEAK_TO_AVG_E, HIGH_RATIO, PEAK1_TO_PEAK2_RATIO, SKEWNESS, SPECTRAL_FLATNESS
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  에폭   1/1000 | 손실: 0.5948 | 학습: 66.8% | 검증: 65.0% | lr: 2.00e-03 | 0.3s ★
  에폭   2/1000 | 손실: 0.5803 | 학습: 68.2% | 검증: 66.4% | lr: 2.00e-03 | 0.3s ★
  에폭   3/1000 | 손실: 0.5712 | 학습: 68.2% | 검증: 65.5% | lr: 2.00e-03 | 0.3s
  에폭   4/1000 | 손실: 0.5654 | 학습: 69.7% | 검증: 66.9% | lr: 2.00e-03 | 0.3s ★
  에폭   5/1000 | 손실: 0.5591 | 학습: 70.5% | 검증: 67.8% | lr: 2.00e-03 | 0.3s ★
  에폭   6/1000 | 손실: 0.5556 | 학습: 71.0% | 검증: 68.3% | lr: 2.00e-03 | 0.3s ★
  에폭   7/1000 | 손실: 0.5475 | 학습: 71.3% | 검증: 68.9% | lr: 2.00e-03 | 0.3s ★
  에폭   8/1000 | 손실: 0.5428 | 학습: 72.8% | 검증: 69.7% | lr: 2.00e-03 | 0.3s ★
  에폭   9/1000 | 손실: 0.5370 | 학습: 73.2% | 검증: 71.0% | lr: 2.00e-03 | 0.3s ★
  에폭  10/1000 | 손실: 0.5327 | 학습: 74.1% | 검증: 71.3% | lr: 2.00e-03 | 0.3s ★
  에폭  11/1000 | 손실: 0.5296 | 학습: 74.5% | 검증: 71.8% | lr: 2.00e-03 | 0.3s ★
  에폭  12/1000 | 손실: 0.5236 | 학습: 74.6% | 검증: 72.5% | lr: 2.00e-03 | 0.3s ★
  에폭  13/1000 | 손실: 0.5218 | 학습: 75.1% | 검증: 72.4% | lr: 2.00e-03 | 0.3s
  에폭  14/1000 | 손실: 0.5175 | 학습: 75.0% | 검증: 72.7% | lr: 2.00e-03 | 0.3s ★
  에폭  15/1000 | 손실: 0.5139 | 학습: 75.7% | 검증: 72.7% | lr: 2.00e-03 | 0.3s
  에폭  16/1000 | 손실: 0.5073 | 학습: 76.9% | 검증: 74.3% | lr: 2.00e-03 | 0.3s ★
  에폭  17/1000 | 손실: 0.5019 | 학습: 77.2% | 검증: 74.8% | lr: 2.00e-03 | 0.3s ★
  에폭  18/1000 | 손실: 0.5015 | 학습: 77.2% | 검증: 75.4% | lr: 2.00e-03 | 0.3s ★
  에폭  19/1000 | 손실: 0.4968 | 학습: 77.5% | 검증: 75.0% | lr: 2.00e-03 | 0.3s
  에폭  20/1000 | 손실: 0.4907 | 학습: 77.8% | 검증: 75.2% | lr: 2.00e-03 | 0.3s
  에폭  21/1000 | 손실: 0.4909 | 학습: 77.5% | 검증: 75.4% | lr: 2.00e-03 | 0.3s
  에폭  22/1000 | 손실: 0.4879 | 학습: 78.3% | 검증: 75.2% | lr: 2.00e-03 | 0.3s
  에폭  23/1000 | 손실: 0.4851 | 학습: 77.1% | 검증: 74.1% | lr: 2.00e-03 | 0.3s
