[MLP]   svm_data_20260507_133636.csv                       24741샘플
[MLP] CSV 로드  →  총 24741샘플
[MLP] 로드 완료 | 전체: 24741개  (배경: 12371, 사람: 12370)
[MLP] 특징 모드: ESP32 (14개)
[MLP] 학습: 19792개 (80%)  검증: 4949개 (20%)  [비율고정: 유지 | 분리시드: 42]
[MLP] 스케일러: StandardScaler (z-score)
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
[MLP]  디바이스: cpu
[MLP]  구조: 14 → 64 → 32 → 2
[MLP]  에폭: 1000  배치: 256  LR: 4.00e-03  Dropout: 0.2
[MLP]  Early Stop: 비활성화
[MLP]  LR 스케줄러: patience=50  factor=0.5  min_lr=1e-6
[MLP]  검증 비율: 20%  분리 비율고정: 유지  분리 시드: 42
[MLP]  스케일러: StandardScaler  특징 모드: ESP32
[MLP]  사용 특징 (14개): SPECTRAL_BANDWIDTH, PEAK_COUNT, MID_RATIO, SECOND_PEAK_FREQ, KURTOSIS, CENTROID, PEAK_FREQ, LOW_RATIO, RMS, PEAK_TO_AVG_E, HIGH_RATIO, PEAK1_TO_PEAK2_RATIO, SKEWNESS, SPECTRAL_FLATNESS
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  에폭   1/1000 | 손실: 0.5985 | 학습: 66.8% | 검증: 65.4% | lr: 4.00e-03 | 0.3s ★
  에폭   2/1000 | 손실: 0.5835 | 학습: 67.9% | 검증: 66.1% | lr: 4.00e-03 | 0.3s ★
  에폭   3/1000 | 손실: 0.5773 | 학습: 68.1% | 검증: 66.2% | lr: 4.00e-03 | 0.3s ★
  에폭   4/1000 | 손실: 0.5729 | 학습: 68.4% | 검증: 66.4% | lr: 4.00e-03 | 0.3s ★
  에폭   5/1000 | 손실: 0.5659 | 학습: 69.2% | 검증: 66.6% | lr: 4.00e-03 | 0.3s ★
  에폭   6/1000 | 손실: 0.5635 | 학습: 69.9% | 검증: 66.8% | lr: 4.00e-03 | 0.3s ★
  에폭   7/1000 | 손실: 0.5603 | 학습: 70.6% | 검증: 67.6% | lr: 4.00e-03 | 0.3s ★
  에폭   8/1000 | 손실: 0.5575 | 학습: 70.7% | 검증: 67.7% | lr: 4.00e-03 | 0.3s ★
  에폭   9/1000 | 손실: 0.5554 | 학습: 71.2% | 검증: 68.3% | lr: 4.00e-03 | 0.3s ★
  에폭  10/1000 | 손실: 0.5514 | 학습: 71.3% | 검증: 68.8% | lr: 4.00e-03 | 0.3s ★
  에폭  11/1000 | 손실: 0.5500 | 학습: 71.5% | 검증: 69.1% | lr: 4.00e-03 | 0.3s ★
  에폭  12/1000 | 손실: 0.5480 | 학습: 71.4% | 검증: 69.2% | lr: 4.00e-03 | 0.3s ★
  에폭  13/1000 | 손실: 0.5444 | 학습: 72.2% | 검증: 69.9% | lr: 4.00e-03 | 0.3s ★
