[MLP]   svm_data_20260507_133636.csv                       24741샘플
[MLP] CSV 로드  →  총 24741샘플
[MLP] 로드 완료 | 전체: 24741개  (배경: 12371, 사람: 12370)
[MLP] 특징 모드: ESP32 (14개)
[MLP] 학습: 19792개 (80%)  검증: 4949개 (20%)  [비율고정: 유지 | 분리시드: 42]
[MLP] 스케일러: StandardScaler (z-score)
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
[MLP]  디바이스: cuda (NVIDIA GeForce GTX 1660 SUPER)
[MLP]  구조: 14 → 64 → 32 → 2
[MLP]  에폭: 2000  배치: 256  LR: 4.00e-03  Dropout: 0.2
[MLP]  Early Stop: 비활성화
[MLP]  LR 스케줄러: patience=50  factor=0.5  min_lr=1e-6
[MLP]  검증 비율: 20%  분리 비율고정: 유지  분리 시드: 42
[MLP]  스케일러: StandardScaler  특징 모드: ESP32
[MLP]  사용 특징 (14개): SPECTRAL_BANDWIDTH, PEAK_COUNT, MID_RATIO, SECOND_PEAK_FREQ, KURTOSIS, CENTROID, PEAK_FREQ, LOW_RATIO, RMS, PEAK_TO_AVG_E, HIGH_RATIO, PEAK1_TO_PEAK2_RATIO, SKEWNESS, SPECTRAL_FLATNESS
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  에폭   1/2000 | 손실: 0.5968 | 학습: 67.1% | 검증: 65.6% | lr: 4.00e-03 | 1.5s ★
  에폭   2/2000 | 손실: 0.5821 | 학습: 67.8% | 검증: 65.7% | lr: 4.00e-03 | 0.6s ★
  에폭   3/2000 | 손실: 0.5779 | 학습: 68.3% | 검증: 66.9% | lr: 4.00e-03 | 0.6s ★
  에폭   4/2000 | 손실: 0.5741 | 학습: 69.1% | 검증: 67.3% | lr: 4.00e-03 | 0.6s ★
  에폭   5/2000 | 손실: 0.5685 | 학습: 69.4% | 검증: 67.5% | lr: 4.00e-03 | 0.6s ★
  에폭   6/2000 | 손실: 0.5666 | 학습: 69.9% | 검증: 67.8% | lr: 4.00e-03 | 0.6s ★
  에폭   7/2000 | 손실: 0.5620 | 학습: 70.5% | 검증: 68.3% | lr: 4.00e-03 | 0.6s ★
  에폭   8/2000 | 손실: 0.5582 | 학습: 70.6% | 검증: 68.6% | lr: 4.00e-03 | 0.6s ★
  에폭   9/2000 | 손실: 0.5567 | 학습: 70.8% | 검증: 68.5% | lr: 4.00e-03 | 0.6s
  에폭  10/2000 | 손실: 0.5501 | 학습: 71.0% | 검증: 68.6% | lr: 4.00e-03 | 0.6s
  에폭  11/2000 | 손실: 0.5544 | 학습: 71.6% | 검증: 69.1% | lr: 4.00e-03 | 0.6s ★
  에폭  12/2000 | 손실: 0.5503 | 학습: 71.2% | 검증: 68.7% | lr: 4.00e-03 | 0.6s
  에폭  13/2000 | 손실: 0.5482 | 학습: 72.2% | 검증: 69.5% | lr: 4.00e-03 | 0.7s ★
