[MLP]   svm_data_20260507_133636.csv                       24741샘플
[MLP] CSV 로드  →  총 24741샘플
[MLP] 로드 완료 | 전체: 24741개  (배경: 12371, 사람: 12370)
[MLP] 특징 모드: ESP32 (19개)
[MLP] 학습: 19792개 (80%)  검증: 4949개 (20%)  [비율고정: 유지 | 분리시드: 42]
[MLP] 스케일러: StandardScaler (z-score)
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
[MLP]  디바이스: cpu
[MLP]  구조: 19 → 64 → 32 → 2
[MLP]  에폭: 500  배치: 32  LR: 1e-05  Dropout: 0.2  Early Stop: 비활성화
[MLP]  사용 특징 (19개): SPECTRAL_ROLLOFF, SPECTRAL_BANDWIDTH, PEAK_COUNT, MID_RATIO, LOW_TO_HIGH_RATIO, SECOND_PEAK_FREQ, KURTOSIS, CENTROID, PEAK_FREQ, LOW_RATIO, RMS, AVG_ENERGY, PEAK_ENERGY, PEAK_TO_AVG_E, HIGH_RATIO, PEAK1_TO_PEAK2_RATIO, SKEWNESS, DC_RATIO, SPECTRAL_FLATNESS
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  에폭   1/500 | 손실: 0.6911 | 학습: 58.9% | 검증: 58.6% | lr: 1.00e-05 | 0.8s ★
  에폭   2/500 | 손실: 0.6760 | 학습: 63.6% | 검증: 62.6% | lr: 1.00e-05 | 0.8s ★
  에폭   3/500 | 손실: 0.6617 | 학습: 63.3% | 검증: 63.2% | lr: 1.00e-05 | 0.8s ★
  에폭   4/500 | 손실: 0.6491 | 학습: 63.7% | 검증: 63.3% | lr: 1.00e-05 | 0.8s ★
  에폭   5/500 | 손실: 0.6387 | 학습: 63.1% | 검증: 62.9% | lr: 1.00e-05 | 0.8s
  에폭   6/500 | 손실: 0.6301 | 학습: 63.7% | 검증: 62.9% | lr: 1.00e-05 | 0.8s
  에폭   7/500 | 손실: 0.6240 | 학습: 63.8% | 검증: 63.2% | lr: 1.00e-05 | 0.8s
  에폭   8/500 | 손실: 0.6197 | 학습: 63.9% | 검증: 63.6% | lr: 1.00e-05 | 0.9s ★
  에폭   9/500 | 손실: 0.6165 | 학습: 63.8% | 검증: 63.0% | lr: 1.00e-05 | 0.8s
  에폭  10/500 | 손실: 0.6140 | 학습: 63.8% | 검증: 62.7% | lr: 1.00e-05 | 0.8s
  에폭  11/500 | 손실: 0.6121 | 학습: 63.8% | 검증: 62.9% | lr: 1.00e-05 | 0.8s
  에폭  12/500 | 손실: 0.6110 | 학습: 63.9% | 검증: 63.0% | lr: 1.00e-05 | 0.8s
  에폭  13/500 | 손실: 0.6095 | 학습: 64.0% | 검증: 63.1% | lr: 1.00e-05 | 0.8s
  에폭  14/500 | 손실: 0.6081 | 학습: 64.1% | 검증: 63.1% | lr: 1.00e-05 | 0.8s
  에폭  15/500 | 손실: 0.6079 | 학습: 64.3% | 검증: 63.9% | lr: 1.00e-05 | 0.8s ★
  에폭  16/500 | 손실: 0.6071 | 학습: 64.1% | 검증: 63.1% | lr: 1.00e-05 | 0.8s
  에폭  17/500 | 손실: 0.6062 | 학습: 64.2% | 검증: 63.0% | lr: 1.00e-05 | 0.8s
  에폭  18/500 | 손실: 0.6057 | 학습: 64.3% | 검증: 63.3% | lr: 1.00e-05 | 0.9s
  에폭  19/500 | 손실: 0.6053 | 학습: 64.3% | 검증: 63.1% | lr: 1.00e-05 | 0.8s
  에폭  20/500 | 손실: 0.6051 | 학습: 64.2% | 검증: 63.3% | lr: 1.00e-05 | 0.8s
  에폭  21/500 | 손실: 0.6031 | 학습: 64.3% | 검증: 63.1% | lr: 1.00e-05 | 0.8s
  에폭  22/500 | 손실: 0.6036 | 학습: 64.4% | 검증: 63.6% | lr: 1.00e-05 | 0.8s
  에폭  23/500 | 손실: 0.6020 | 학습: 64.5% | 검증: 63.3% | lr: 1.00e-05 | 0.8s
  에폭  24/500 | 손실: 0.6029 | 학습: 64.4% | 검증: 63.1% | lr: 1.00e-05 | 0.8s
  에폭  25/500 | 손실: 0.6045 | 학습: 64.7% | 검증: 63.3% | lr: 1.00e-05 | 0.8s
  에폭  26/500 | 손실: 0.6035 | 학습: 64.7% | 검증: 63.7% | lr: 1.00e-05 | 0.8s
  에폭  27/500 | 손실: 0.6018 | 학습: 64.4% | 검증: 63.2% | lr: 1.00e-05 | 0.8s
  에폭  28/500 | 손실: 0.6003 | 학습: 64.7% | 검증: 63.6% | lr: 1.00e-05 | 0.9s
  에폭  29/500 | 손실: 0.6025 | 학습: 64.7% | 검증: 63.3% | lr: 1.00e-05 | 0.9s
  에폭  30/500 | 손실: 0.5995 | 학습: 64.8% | 검증: 63.7% | lr: 1.00e-05 | 0.8s
  에폭  31/500 | 손실: 0.6009 | 학습: 64.7% | 검증: 63.4% | lr: 1.00e-05 | 0.9s
  에폭  32/500 | 손실: 0.5997 | 학습: 64.4% | 검증: 63.3% | lr: 1.00e-05 | 0.9s
  에폭  33/500 | 손실: 0.5997 | 학습: 64.9% | 검증: 63.8% | lr: 1.00e-05 | 0.8s
  에폭  34/500 | 손실: 0.5990 | 학습: 65.1% | 검증: 64.0% | lr: 1.00e-05 | 0.9s ★
  에폭  35/500 | 손실: 0.5982 | 학습: 64.8% | 검증: 63.0% | lr: 1.00e-05 | 0.8s
  에폭  36/500 | 손실: 0.6005 | 학습: 65.0% | 검증: 64.0% | lr: 1.00e-05 | 0.9s
  에폭  37/500 | 손실: 0.5976 | 학습: 64.9% | 검증: 63.8% | lr: 1.00e-05 | 0.9s
  에폭  38/500 | 손실: 0.5988 | 학습: 65.1% | 검증: 63.9% | lr: 1.00e-05 | 0.9s
  에폭  39/500 | 손실: 0.5968 | 학습: 64.7% | 검증: 63.4% | lr: 1.00e-05 | 0.9s
  에폭  40/500 | 손실: 0.5963 | 학습: 65.3% | 검증: 64.1% | lr: 1.00e-05 | 1.1s ★
  에폭  41/500 | 손실: 0.5993 | 학습: 65.2% | 검증: 63.8% | lr: 1.00e-05 | 0.8s
  에폭  42/500 | 손실: 0.5961 | 학습: 65.2% | 검증: 63.8% | lr: 1.00e-05 | 1.1s
  에폭  43/500 | 손실: 0.5964 | 학습: 65.2% | 검증: 63.9% | lr: 1.00e-05 | 0.8s
  에폭  44/500 | 손실: 0.5953 | 학습: 64.8% | 검증: 63.8% | lr: 1.00e-05 | 1.0s
  에폭  45/500 | 손실: 0.5977 | 학습: 65.1% | 검증: 64.1% | lr: 1.00e-05 | 0.8s
  에폭  46/500 | 손실: 0.5962 | 학습: 65.3% | 검증: 63.9% | lr: 1.00e-05 | 0.9s
  에폭  47/500 | 손실: 0.5949 | 학습: 65.5% | 검증: 64.3% | lr: 1.00e-05 | 0.8s ★
  에폭  48/500 | 손실: 0.5952 | 학습: 65.4% | 검증: 63.9% | lr: 1.00e-05 | 0.8s
  에폭  49/500 | 손실: 0.5956 | 학습: 65.4% | 검증: 64.1% | lr: 1.00e-05 | 0.8s
  에폭  50/500 | 손실: 0.5949 | 학습: 65.8% | 검증: 64.3% | lr: 1.00e-05 | 0.9s ★
  에폭  51/500 | 손실: 0.5951 | 학습: 65.6% | 검증: 64.2% | lr: 1.00e-05 | 0.8s
  에폭  52/500 | 손실: 0.5955 | 학습: 65.8% | 검증: 64.5% | lr: 1.00e-05 | 0.8s ★
  에폭  53/500 | 손실: 0.5944 | 학습: 65.7% | 검증: 64.3% | lr: 1.00e-05 | 0.8s
  에폭  54/500 | 손실: 0.5934 | 학습: 65.6% | 검증: 64.3% | lr: 1.00e-05 | 0.9s
  에폭  55/500 | 손실: 0.5958 | 학습: 65.8% | 검증: 64.2% | lr: 1.00e-05 | 0.9s
  에폭  56/500 | 손실: 0.5920 | 학습: 65.7% | 검증: 64.4% | lr: 1.00e-05 | 0.8s
  에폭  57/500 | 손실: 0.5925 | 학습: 65.8% | 검증: 63.8% | lr: 1.00e-05 | 0.9s
  에폭  58/500 | 손실: 0.5938 | 학습: 66.0% | 검증: 64.6% | lr: 1.00e-05 | 0.8s ★
  에폭  59/500 | 손실: 0.5932 | 학습: 66.0% | 검증: 64.7% | lr: 1.00e-05 | 0.8s ★
  에폭  60/500 | 손실: 0.5916 | 학습: 65.8% | 검증: 64.0% | lr: 1.00e-05 | 0.8s
  에폭  61/500 | 손실: 0.5940 | 학습: 65.9% | 검증: 64.3% | lr: 1.00e-05 | 0.8s
  에폭  62/500 | 손실: 0.5933 | 학습: 66.1% | 검증: 64.3% | lr: 1.00e-05 | 0.9s
  에폭  63/500 | 손실: 0.5924 | 학습: 66.0% | 검증: 64.0% | lr: 1.00e-05 | 0.8s
  에폭  64/500 | 손실: 0.5922 | 학습: 66.0% | 검증: 64.4% | lr: 1.00e-05 | 0.8s
  에폭  65/500 | 손실: 0.5909 | 학습: 66.0% | 검증: 64.0% | lr: 1.00e-05 | 0.9s
  에폭  66/500 | 손실: 0.5915 | 학습: 66.0% | 검증: 64.2% | lr: 1.00e-05 | 0.8s
  에폭  67/500 | 손실: 0.5908 | 학습: 66.2% | 검증: 64.3% | lr: 1.00e-05 | 0.8s
  에폭  68/500 | 손실: 0.5907 | 학습: 66.4% | 검증: 64.8% | lr: 1.00e-05 | 0.8s ★
  에폭  69/500 | 손실: 0.5912 | 학습: 66.3% | 검증: 64.5% | lr: 1.00e-05 | 0.8s
  에폭  70/500 | 손실: 0.5918 | 학습: 66.2% | 검증: 64.2% | lr: 1.00e-05 | 0.8s
  에폭  71/500 | 손실: 0.5895 | 학습: 66.1% | 검증: 64.8% | lr: 1.00e-05 | 0.9s
  에폭  72/500 | 손실: 0.5908 | 학습: 66.4% | 검증: 64.3% | lr: 1.00e-05 | 0.9s
  에폭  73/500 | 손실: 0.5900 | 학습: 66.3% | 검증: 64.5% | lr: 1.00e-05 | 0.8s
  에폭  74/500 | 손실: 0.5899 | 학습: 66.5% | 검증: 64.5% | lr: 1.00e-05 | 0.9s
  에폭  75/500 | 손실: 0.5903 | 학습: 66.4% | 검증: 64.6% | lr: 1.00e-05 | 0.8s
  에폭  76/500 | 손실: 0.5911 | 학습: 66.4% | 검증: 64.5% | lr: 1.00e-05 | 0.8s
  에폭  77/500 | 손실: 0.5910 | 학습: 66.3% | 검증: 64.8% | lr: 1.00e-05 | 0.8s
  에폭  78/500 | 손실: 0.5892 | 학습: 66.5% | 검증: 64.5% | lr: 1.00e-05 | 0.9s
