[MLP]   svm_data_20260507_133636.csv                       24741샘플
[MLP] CSV 로드  →  총 24741샘플
[MLP] 로드 완료 | 전체: 24741개  (배경: 12371, 사람: 12370)
[MLP] 특징 모드: ESP32 (21개)
[MLP] 학습: 19792개 (80%)  검증: 4949개 (20%)  [비율고정: 유지 | 분리시드: 42]
[MLP] 스케일러: StandardScaler (z-score)
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
[MLP]  디바이스: cpu
[MLP]  구조: 21 → 128 → 64 → 32 → 2
[MLP]  에폭: 1000  배치: 256  LR: 1.00e-02  Dropout: 0.2
[MLP]  Early Stop: 비활성화
[MLP]  LR 스케줄러: patience=50  factor=0.5  min_lr=1e-6
[MLP]  검증 비율: 20%  분리 비율고정: 유지  분리 시드: 42
[MLP]  스케일러: StandardScaler  특징 모드: ESP32
[MLP]  사용 특징 (21개): SPECTRAL_ROLLOFF, SPECTRAL_BANDWIDTH, PEAK_COUNT, MID_RATIO, LOW_TO_HIGH_RATIO, SECOND_PEAK_FREQ, KURTOSIS, CENTROID, PEAK_FREQ, LOW_RATIO, RMS, AVG_ENERGY, PEAK_ENERGY, ENERGY_VARIANCE, PEAK_TO_AVG_E, HIGH_RATIO, PEAK1_TO_PEAK2_RATIO, SKEWNESS, DC_RATIO, DELTA_PEAK_FREQ, SPECTRAL_FLATNESS
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  에폭   1/1000 | 손실: 0.5957 | 학습: 66.9% | 검증: 65.2% | lr: 1.00e-02 | 0.2s ★
  에폭   2/1000 | 손실: 0.5797 | 학습: 68.6% | 검증: 67.2% | lr: 1.00e-02 | 0.3s ★
  에폭   3/1000 | 손실: 0.5718 | 학습: 69.7% | 검증: 68.0% | lr: 1.00e-02 | 0.2s ★
  에폭   4/1000 | 손실: 0.5679 | 학습: 70.3% | 검증: 69.4% | lr: 1.00e-02 | 0.2s ★
  에폭   5/1000 | 손실: 0.5605 | 학습: 70.5% | 검증: 68.6% | lr: 1.00e-02 | 0.2s
  에폭   6/1000 | 손실: 0.5539 | 학습: 71.0% | 검증: 68.4% | lr: 1.00e-02 | 0.2s
  에폭   7/1000 | 손실: 0.5488 | 학습: 71.7% | 검증: 70.0% | lr: 1.00e-02 | 0.3s ★
  에폭   8/1000 | 손실: 0.5467 | 학습: 71.5% | 검증: 69.2% | lr: 1.00e-02 | 0.2s
  에폭   9/1000 | 손실: 0.5417 | 학습: 72.7% | 검증: 69.9% | lr: 1.00e-02 | 0.2s
  에폭  10/1000 | 손실: 0.5370 | 학습: 73.4% | 검증: 71.1% | lr: 1.00e-02 | 0.2s ★
  에폭  11/1000 | 손실: 0.5390 | 학습: 73.1% | 검증: 70.4% | lr: 1.00e-02 | 0.2s
  에폭  12/1000 | 손실: 0.5303 | 학습: 74.3% | 검증: 71.3% | lr: 1.00e-02 | 0.3s ★
  에폭  13/1000 | 손실: 0.5264 | 학습: 74.8% | 검증: 72.1% | lr: 1.00e-02 | 0.2s ★
  에폭  14/1000 | 손실: 0.5260 | 학습: 73.7% | 검증: 71.7% | lr: 1.00e-02 | 0.2s
  에폭  15/1000 | 손실: 0.5198 | 학습: 74.7% | 검증: 71.0% | lr: 1.00e-02 | 0.3s
  에폭  16/1000 | 손실: 0.5193 | 학습: 75.1% | 검증: 72.4% | lr: 1.00e-02 | 0.2s ★
  에폭  17/1000 | 손실: 0.5166 | 학습: 75.7% | 검증: 72.3% | lr: 1.00e-02 | 0.2s
  에폭  18/1000 | 손실: 0.5087 | 학습: 75.5% | 검증: 72.7% | lr: 1.00e-02 | 0.3s ★
  에폭  19/1000 | 손실: 0.5075 | 학습: 75.7% | 검증: 72.8% | lr: 1.00e-02 | 0.2s ★
  에폭  20/1000 | 손실: 0.5097 | 학습: 76.5% | 검증: 73.9% | lr: 1.00e-02 | 0.3s ★
  에폭  21/1000 | 손실: 0.5030 | 학습: 75.7% | 검증: 72.7% | lr: 1.00e-02 | 0.3s
  에폭  22/1000 | 손실: 0.5057 | 학습: 77.1% | 검증: 74.2% | lr: 1.00e-02 | 0.3s ★
  에폭  23/1000 | 손실: 0.4970 | 학습: 76.6% | 검증: 73.9% | lr: 1.00e-02 | 0.3s
  에폭  24/1000 | 손실: 0.4961 | 학습: 76.3% | 검증: 73.8% | lr: 1.00e-02 | 0.5s
  에폭  25/1000 | 손실: 0.4979 | 학습: 76.4% | 검증: 74.4% | lr: 1.00e-02 | 0.3s ★
  에폭  26/1000 | 손실: 0.4946 | 학습: 77.1% | 검증: 73.9% | lr: 1.00e-02 | 0.2s
  에폭  27/1000 | 손실: 0.4914 | 학습: 77.0% | 검증: 74.3% | lr: 1.00e-02 | 0.2s
  에폭  28/1000 | 손실: 0.4879 | 학습: 77.9% | 검증: 74.8% | lr: 1.00e-02 | 0.3s ★
  에폭  29/1000 | 손실: 0.4850 | 학습: 77.4% | 검증: 74.4% | lr: 1.00e-02 | 0.3s
  에폭  30/1000 | 손실: 0.4861 | 학습: 77.5% | 검증: 74.2% | lr: 1.00e-02 | 0.3s
  에폭  31/1000 | 손실: 0.4825 | 학습: 77.5% | 검증: 74.4% | lr: 1.00e-02 | 0.2s
  에폭  32/1000 | 손실: 0.4810 | 학습: 77.9% | 검증: 74.6% | lr: 1.00e-02 | 0.3s
  에폭  33/1000 | 손실: 0.4788 | 학습: 78.5% | 검증: 75.2% | lr: 1.00e-02 | 0.3s ★
  에폭  34/1000 | 손실: 0.4739 | 학습: 78.8% | 검증: 75.3% | lr: 1.00e-02 | 0.3s ★
  에폭  35/1000 | 손실: 0.4720 | 학습: 78.6% | 검증: 75.7% | lr: 1.00e-02 | 0.3s ★
  에폭  36/1000 | 손실: 0.4731 | 학습: 78.8% | 검증: 75.7% | lr: 1.00e-02 | 0.3s
  에폭  37/1000 | 손실: 0.4766 | 학습: 79.4% | 검증: 75.8% | lr: 1.00e-02 | 0.3s ★
  에폭  38/1000 | 손실: 0.4670 | 학습: 78.7% | 검증: 75.1% | lr: 1.00e-02 | 0.3s
  에폭  39/1000 | 손실: 0.4698 | 학습: 78.9% | 검증: 75.8% | lr: 1.00e-02 | 0.3s
  에폭  40/1000 | 손실: 0.4684 | 학습: 78.8% | 검증: 75.4% | lr: 1.00e-02 | 0.2s
  에폭  41/1000 | 손실: 0.4648 | 학습: 79.7% | 검증: 75.8% | lr: 1.00e-02 | 0.2s
  에폭  42/1000 | 손실: 0.4671 | 학습: 79.6% | 검증: 75.8% | lr: 1.00e-02 | 0.2s
  에폭  43/1000 | 손실: 0.4631 | 학습: 79.5% | 검증: 76.3% | lr: 1.00e-02 | 0.2s ★
  에폭  44/1000 | 손실: 0.4670 | 학습: 80.1% | 검증: 76.4% | lr: 1.00e-02 | 0.3s ★
  에폭  45/1000 | 손실: 0.4623 | 학습: 79.3% | 검증: 76.1% | lr: 1.00e-02 | 0.3s
  에폭  46/1000 | 손실: 0.4601 | 학습: 79.8% | 검증: 76.6% | lr: 1.00e-02 | 0.3s ★
  에폭  47/1000 | 손실: 0.4539 | 학습: 80.5% | 검증: 76.5% | lr: 1.00e-02 | 0.3s
  에폭  48/1000 | 손실: 0.4580 | 학습: 80.1% | 검증: 76.8% | lr: 1.00e-02 | 0.2s ★
  에폭  49/1000 | 손실: 0.4532 | 학습: 80.1% | 검증: 76.7% | lr: 1.00e-02 | 0.2s
  에폭  50/1000 | 손실: 0.4587 | 학습: 80.6% | 검증: 76.8% | lr: 1.00e-02 | 0.3s
  에폭  51/1000 | 손실: 0.4527 | 학습: 80.5% | 검증: 77.1% | lr: 1.00e-02 | 0.2s ★
  에폭  52/1000 | 손실: 0.4539 | 학습: 81.2% | 검증: 78.1% | lr: 1.00e-02 | 0.3s ★
  에폭  53/1000 | 손실: 0.4469 | 학습: 80.6% | 검증: 77.2% | lr: 1.00e-02 | 0.3s
  에폭  54/1000 | 손실: 0.4485 | 학습: 80.9% | 검증: 77.4% | lr: 1.00e-02 | 0.3s
  에폭  55/1000 | 손실: 0.4476 | 학습: 80.9% | 검증: 77.3% | lr: 1.00e-02 | 0.3s
  에폭  56/1000 | 손실: 0.4451 | 학습: 81.1% | 검증: 77.3% | lr: 1.00e-02 | 0.3s
  에폭  57/1000 | 손실: 0.4491 | 학습: 81.4% | 검증: 77.2% | lr: 1.00e-02 | 0.3s
  에폭  58/1000 | 손실: 0.4454 | 학습: 81.0% | 검증: 77.1% | lr: 1.00e-02 | 0.2s
  에폭  59/1000 | 손실: 0.4455 | 학습: 81.7% | 검증: 77.8% | lr: 1.00e-02 | 0.2s
  에폭  60/1000 | 손실: 0.4424 | 학습: 81.4% | 검증: 77.5% | lr: 1.00e-02 | 0.3s
  에폭  61/1000 | 손실: 0.4449 | 학습: 81.4% | 검증: 78.1% | lr: 1.00e-02 | 0.3s ★
  에폭  62/1000 | 손실: 0.4376 | 학습: 81.7% | 검증: 77.6% | lr: 1.00e-02 | 0.2s
  에폭  63/1000 | 손실: 0.4396 | 학습: 81.9% | 검증: 77.7% | lr: 1.00e-02 | 0.2s
  에폭  64/1000 | 손실: 0.4361 | 학습: 81.7% | 검증: 78.1% | lr: 1.00e-02 | 0.2s
  에폭  65/1000 | 손실: 0.4412 | 학습: 81.8% | 검증: 78.1% | lr: 1.00e-02 | 0.2s
  에폭  66/1000 | 손실: 0.4450 | 학습: 82.2% | 검증: 78.4% | lr: 1.00e-02 | 0.3s ★
  에폭  67/1000 | 손실: 0.4385 | 학습: 82.2% | 검증: 78.3% | lr: 1.00e-02 | 0.2s
  에폭  68/1000 | 손실: 0.4357 | 학습: 82.1% | 검증: 77.9% | lr: 1.00e-02 | 0.2s
  에폭  69/1000 | 손실: 0.4346 | 학습: 81.4% | 검증: 77.2% | lr: 1.00e-02 | 0.2s
  에폭  70/1000 | 손실: 0.4332 | 학습: 82.3% | 검증: 78.6% | lr: 1.00e-02 | 0.2s ★
  에폭  71/1000 | 손실: 0.4288 | 학습: 82.1% | 검증: 78.5% | lr: 1.00e-02 | 0.3s
  에폭  72/1000 | 손실: 0.4375 | 학습: 82.0% | 검증: 78.4% | lr: 1.00e-02 | 0.2s
  에폭  73/1000 | 손실: 0.4350 | 학습: 82.5% | 검증: 78.3% | lr: 1.00e-02 | 0.2s
  에폭  74/1000 | 손실: 0.4342 | 학습: 82.7% | 검증: 78.6% | lr: 1.00e-02 | 0.2s ★
  에폭  75/1000 | 손실: 0.4356 | 학습: 82.7% | 검증: 79.1% | lr: 1.00e-02 | 0.2s ★
  에폭  76/1000 | 손실: 0.4316 | 학습: 82.6% | 검증: 78.1% | lr: 1.00e-02 | 0.3s
  에폭  77/1000 | 손실: 0.4283 | 학습: 82.3% | 검증: 78.5% | lr: 1.00e-02 | 0.3s
  에폭  78/1000 | 손실: 0.4267 | 학습: 82.4% | 검증: 78.2% | lr: 1.00e-02 | 0.2s
  에폭  79/1000 | 손실: 0.4262 | 학습: 82.9% | 검증: 78.6% | lr: 1.00e-02 | 0.3s
  에폭  80/1000 | 손실: 0.4268 | 학습: 82.8% | 검증: 78.9% | lr: 1.00e-02 | 0.3s
  에폭  81/1000 | 손실: 0.4235 | 학습: 83.1% | 검증: 78.8% | lr: 1.00e-02 | 0.2s
  에폭  82/1000 | 손실: 0.4254 | 학습: 83.0% | 검증: 78.4% | lr: 1.00e-02 | 0.3s
  에폭  83/1000 | 손실: 0.4218 | 학습: 83.0% | 검증: 79.0% | lr: 1.00e-02 | 0.2s
  에폭  84/1000 | 손실: 0.4228 | 학습: 82.3% | 검증: 78.6% | lr: 1.00e-02 | 0.2s
  에폭  85/1000 | 손실: 0.4199 | 학습: 83.1% | 검증: 79.4% | lr: 1.00e-02 | 0.2s ★
  에폭  86/1000 | 손실: 0.4273 | 학습: 83.3% | 검증: 78.8% | lr: 1.00e-02 | 0.2s
  에폭  87/1000 | 손실: 0.4246 | 학습: 82.7% | 검증: 78.3% | lr: 1.00e-02 | 0.2s
  에폭  88/1000 | 손실: 0.4264 | 학습: 83.0% | 검증: 78.3% | lr: 1.00e-02 | 0.3s
  에폭  89/1000 | 손실: 0.4250 | 학습: 83.4% | 검증: 79.2% | lr: 1.00e-02 | 0.2s
  에폭  90/1000 | 손실: 0.4265 | 학습: 83.4% | 검증: 79.6% | lr: 1.00e-02 | 0.2s ★
  에폭  91/1000 | 손실: 0.4208 | 학습: 83.4% | 검증: 79.4% | lr: 1.00e-02 | 0.2s
  에폭  92/1000 | 손실: 0.4228 | 학습: 83.6% | 검증: 79.4% | lr: 1.00e-02 | 0.2s
  에폭  93/1000 | 손실: 0.4214 | 학습: 83.1% | 검증: 79.2% | lr: 1.00e-02 | 0.3s
  에폭  94/1000 | 손실: 0.4223 | 학습: 83.6% | 검증: 79.5% | lr: 1.00e-02 | 0.2s
  에폭  95/1000 | 손실: 0.4206 | 학습: 83.3% | 검증: 79.4% | lr: 1.00e-02 | 0.2s
  에폭  96/1000 | 손실: 0.4146 | 학습: 84.2% | 검증: 80.1% | lr: 1.00e-02 | 0.2s ★
  에폭  97/1000 | 손실: 0.4140 | 학습: 83.5% | 검증: 79.5% | lr: 1.00e-02 | 0.2s
  에폭  98/1000 | 손실: 0.4137 | 학습: 84.1% | 검증: 79.6% | lr: 1.00e-02 | 0.3s
  에폭  99/1000 | 손실: 0.4122 | 학습: 84.0% | 검증: 79.9% | lr: 1.00e-02 | 0.2s
  에폭 100/1000 | 손실: 0.4194 | 학습: 84.0% | 검증: 79.6% | lr: 1.00e-02 | 0.2s
  에폭 101/1000 | 손실: 0.4190 | 학습: 84.2% | 검증: 79.7% | lr: 1.00e-02 | 0.2s
  에폭 102/1000 | 손실: 0.4107 | 학습: 83.9% | 검증: 79.3% | lr: 1.00e-02 | 0.2s
  에폭 103/1000 | 손실: 0.4131 | 학습: 82.9% | 검증: 79.1% | lr: 1.00e-02 | 0.2s
  에폭 104/1000 | 손실: 0.4155 | 학습: 84.0% | 검증: 79.3% | lr: 1.00e-02 | 0.3s
  에폭 105/1000 | 손실: 0.4123 | 학습: 83.8% | 검증: 80.0% | lr: 1.00e-02 | 0.2s
  에폭 106/1000 | 손실: 0.4095 | 학습: 84.3% | 검증: 80.1% | lr: 1.00e-02 | 0.2s
  에폭 107/1000 | 손실: 0.4125 | 학습: 83.9% | 검증: 79.5% | lr: 1.00e-02 | 0.2s
  에폭 108/1000 | 손실: 0.4117 | 학습: 84.4% | 검증: 79.7% | lr: 1.00e-02 | 0.2s
  에폭 109/1000 | 손실: 0.4088 | 학습: 84.4% | 검증: 79.6% | lr: 1.00e-02 | 0.3s
  에폭 110/1000 | 손실: 0.4124 | 학습: 84.4% | 검증: 80.3% | lr: 1.00e-02 | 0.2s ★
  에폭 111/1000 | 손실: 0.4128 | 학습: 84.4% | 검증: 79.3% | lr: 1.00e-02 | 0.2s
  에폭 112/1000 | 손실: 0.4078 | 학습: 85.1% | 검증: 81.0% | lr: 1.00e-02 | 0.2s ★
  에폭 113/1000 | 손실: 0.4092 | 학습: 84.7% | 검증: 80.6% | lr: 1.00e-02 | 0.2s
  에폭 114/1000 | 손실: 0.4014 | 학습: 84.2% | 검증: 79.6% | lr: 1.00e-02 | 0.3s
  에폭 115/1000 | 손실: 0.4092 | 학습: 84.3% | 검증: 80.1% | lr: 1.00e-02 | 0.2s
  에폭 116/1000 | 손실: 0.4046 | 학습: 84.5% | 검증: 79.8% | lr: 1.00e-02 | 0.2s
  에폭 117/1000 | 손실: 0.4089 | 학습: 84.5% | 검증: 80.0% | lr: 1.00e-02 | 0.2s
  에폭 118/1000 | 손실: 0.4016 | 학습: 85.0% | 검증: 80.2% | lr: 1.00e-02 | 0.2s
  에폭 119/1000 | 손실: 0.4036 | 학습: 84.6% | 검증: 79.9% | lr: 1.00e-02 | 0.2s
  에폭 120/1000 | 손실: 0.4057 | 학습: 84.6% | 검증: 80.5% | lr: 1.00e-02 | 0.3s
  에폭 121/1000 | 손실: 0.4001 | 학습: 84.8% | 검증: 80.2% | lr: 1.00e-02 | 0.2s
  에폭 122/1000 | 손실: 0.4039 | 학습: 84.9% | 검증: 80.2% | lr: 1.00e-02 | 0.2s
  에폭 123/1000 | 손실: 0.4041 | 학습: 84.8% | 검증: 79.8% | lr: 1.00e-02 | 0.2s
  에폭 124/1000 | 손실: 0.4019 | 학습: 84.7% | 검증: 80.3% | lr: 1.00e-02 | 0.2s
  에폭 125/1000 | 손실: 0.3973 | 학습: 84.8% | 검증: 80.3% | lr: 1.00e-02 | 0.3s
  에폭 126/1000 | 손실: 0.4026 | 학습: 84.8% | 검증: 80.4% | lr: 1.00e-02 | 0.2s
  에폭 127/1000 | 손실: 0.4068 | 학습: 85.1% | 검증: 80.6% | lr: 1.00e-02 | 0.2s
  에폭 128/1000 | 손실: 0.4046 | 학습: 84.7% | 검증: 80.0% | lr: 1.00e-02 | 0.2s
  에폭 129/1000 | 손실: 0.3995 | 학습: 85.0% | 검증: 80.1% | lr: 1.00e-02 | 0.2s
  에폭 130/1000 | 손실: 0.4038 | 학습: 84.9% | 검증: 80.2% | lr: 1.00e-02 | 0.2s
