[MLP]   svm_data_20260507_133636.csv                       24741샘플
[MLP] CSV 로드  →  총 24741샘플
[MLP] 로드 완료 | 전체: 24741개  (배경: 12371, 사람: 12370)
[MLP] 특징 모드: ESP32 (21개)
[MLP] 학습: 19792개 (80%)  검증: 4949개 (20%)  [비율고정: 유지 | 분리시드: 42]
[MLP] 스케일러: StandardScaler (z-score)
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
[MLP]  디바이스: cpu
[MLP]  구조: 21 → 128 → 64 → 32 → 2
[MLP]  에폭: 3000  배치: 64  LR: 5.00e-04  Dropout: 0.3
[MLP]  Early Stop: 비활성화
[MLP]  LR 스케줄러: patience=100  factor=0.9  min_lr=1e-6
[MLP]  검증 비율: 20%  분리 비율고정: 유지  분리 시드: 42
[MLP]  스케일러: StandardScaler  특징 모드: ESP32
[MLP]  사용 특징 (21개): SPECTRAL_ROLLOFF, SPECTRAL_BANDWIDTH, PEAK_COUNT, MID_RATIO, LOW_TO_HIGH_RATIO, SECOND_PEAK_FREQ, KURTOSIS, CENTROID, PEAK_FREQ, LOW_RATIO, RMS, AVG_ENERGY, PEAK_ENERGY, ENERGY_VARIANCE, PEAK_TO_AVG_E, HIGH_RATIO, PEAK1_TO_PEAK2_RATIO, SKEWNESS, DC_RATIO, DELTA_PEAK_FREQ, SPECTRAL_FLATNESS
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  에폭   1/3000 | 손실: 0.6111 | 검증손실: 0.5927 | 학습: 66.1% | 검증: 64.9% | lr: 5.00e-04 | 0.5s ★
  에폭   2/3000 | 손실: 0.5898 | 검증손실: 0.5845 | 학습: 67.1% | 검증: 65.4% | lr: 5.00e-04 | 0.5s ★
  에폭   3/3000 | 손실: 0.5842 | 검증손실: 0.5807 | 학습: 68.0% | 검증: 66.3% | lr: 5.00e-04 | 0.5s ★
  에폭   4/3000 | 손실: 0.5791 | 검증손실: 0.5776 | 학습: 67.7% | 검증: 66.0% | lr: 5.00e-04 | 0.5s
  에폭   5/3000 | 손실: 0.5788 | 검증손실: 0.5742 | 학습: 68.7% | 검증: 67.1% | lr: 5.00e-04 | 0.5s ★
  에폭   6/3000 | 손실: 0.5727 | 검증손실: 0.5707 | 학습: 69.2% | 검증: 66.6% | lr: 5.00e-04 | 0.5s
  에폭   7/3000 | 손실: 0.5712 | 검증손실: 0.5743 | 학습: 68.9% | 검증: 66.9% | lr: 5.00e-04 | 0.5s
  에폭   8/3000 | 손실: 0.5663 | 검증손실: 0.5658 | 학습: 69.8% | 검증: 67.9% | lr: 5.00e-04 | 0.5s ★
  에폭   9/3000 | 손실: 0.5627 | 검증손실: 0.5642 | 학습: 70.2% | 검증: 67.9% | lr: 5.00e-04 | 0.5s
  에폭  10/3000 | 손실: 0.5605 | 검증손실: 0.5591 | 학습: 71.1% | 검증: 68.0% | lr: 5.00e-04 | 0.5s ★
  에폭  11/3000 | 손실: 0.5560 | 검증손실: 0.5571 | 학습: 71.0% | 검증: 68.8% | lr: 5.00e-04 | 0.5s ★
  에폭  12/3000 | 손실: 0.5546 | 검증손실: 0.5554 | 학습: 71.9% | 검증: 69.2% | lr: 5.00e-04 | 0.5s ★
