[MLP]   svm_data_20260507_133636.csv                       24741샘플
[MLP] CSV 로드  →  총 24741샘플
[MLP] 로드 완료 | 전체: 24741개  (배경: 12371, 사람: 12370)
[MLP] 특징 모드: ESP32 (21개)
[MLP] 학습: 19792개 (80%)  검증: 4949개 (20%)  [비율고정: 유지 | 분리시드: 42]
[MLP] 스케일러: StandardScaler (z-score)
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
[MLP]  디바이스: cpu
[MLP]  구조: 21 → 256 → 128 → 64 → 32 → 2
[MLP]  에폭: 3000  배치: 128  LR: 5.00e-04  Dropout: 0.2
[MLP]  Early Stop: 비활성화
[MLP]  LR 스케줄러: patience=50  factor=0.9  min_lr=1e-6
[MLP]  검증 비율: 20%  분리 비율고정: 유지  분리 시드: 42
[MLP]  스케일러: StandardScaler  특징 모드: ESP32
[MLP]  사용 특징 (21개): SPECTRAL_ROLLOFF, SPECTRAL_BANDWIDTH, PEAK_COUNT, MID_RATIO, LOW_TO_HIGH_RATIO, SECOND_PEAK_FREQ, KURTOSIS, CENTROID, PEAK_FREQ, LOW_RATIO, RMS, AVG_ENERGY, PEAK_ENERGY, ENERGY_VARIANCE, PEAK_TO_AVG_E, HIGH_RATIO, PEAK1_TO_PEAK2_RATIO, SKEWNESS, DC_RATIO, DELTA_PEAK_FREQ, SPECTRAL_FLATNESS
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  에폭   1/3000 | 손실: 0.6031 | 학습: 67.3% | 검증: 65.4% | lr: 5.00e-04 | 0.9s ★
  에폭   2/3000 | 손실: 0.5835 | 학습: 67.4% | 검증: 66.0% | lr: 5.00e-04 | 0.9s ★
  에폭   3/3000 | 손실: 0.5763 | 학습: 68.4% | 검증: 66.9% | lr: 5.00e-04 | 1.2s ★
  에폭   4/3000 | 손실: 0.5693 | 학습: 69.8% | 검증: 67.8% | lr: 5.00e-04 | 0.9s ★
  에폭   5/3000 | 손실: 0.5633 | 학습: 70.3% | 검증: 67.1% | lr: 5.00e-04 | 0.9s
  에폭   6/3000 | 손실: 0.5573 | 학습: 70.9% | 검증: 68.5% | lr: 5.00e-04 | 0.9s ★
  에폭   7/3000 | 손실: 0.5511 | 학습: 71.9% | 검증: 69.3% | lr: 5.00e-04 | 1.0s ★
  에폭   8/3000 | 손실: 0.5447 | 학습: 72.5% | 검증: 69.9% | lr: 5.00e-04 | 1.0s ★
  에폭   9/3000 | 손실: 0.5392 | 학습: 73.4% | 검증: 70.7% | lr: 5.00e-04 | 0.9s ★
  에폭  10/3000 | 손실: 0.5332 | 학습: 73.5% | 검증: 71.1% | lr: 5.00e-04 | 0.9s ★
  에폭  11/3000 | 손실: 0.5273 | 학습: 74.7% | 검증: 72.2% | lr: 5.00e-04 | 1.0s ★
  에폭  12/3000 | 손실: 0.5206 | 학습: 75.1% | 검증: 71.8% | lr: 5.00e-04 | 1.1s
  에폭  13/3000 | 손실: 0.5126 | 학습: 75.9% | 검증: 73.0% | lr: 5.00e-04 | 0.9s ★
  에폭  14/3000 | 손실: 0.5103 | 학습: 75.8% | 검증: 72.7% | lr: 5.00e-04 | 0.9s
  에폭  15/3000 | 손실: 0.5054 | 학습: 76.5% | 검증: 73.4% | lr: 5.00e-04 | 0.9s ★
  에폭  16/3000 | 손실: 0.4988 | 학습: 77.3% | 검증: 74.5% | lr: 5.00e-04 | 0.9s ★
  에폭  17/3000 | 손실: 0.4951 | 학습: 78.0% | 검증: 74.4% | lr: 5.00e-04 | 0.9s
  에폭  18/3000 | 손실: 0.4884 | 학습: 77.9% | 검증: 74.1% | lr: 5.00e-04 | 0.9s
  에폭  19/3000 | 손실: 0.4872 | 학습: 78.4% | 검증: 75.5% | lr: 5.00e-04 | 0.9s ★
  에폭  20/3000 | 손실: 0.4829 | 학습: 79.0% | 검증: 75.2% | lr: 5.00e-04 | 0.9s
