[MLP]   svm_data_20260507_133636.csv                       24741샘플
[MLP] CSV 로드  →  총 24741샘플
[MLP] 로드 완료 | 전체: 24741개  (배경: 12371, 사람: 12370)
[MLP] 특징 모드: ESP32 (21개)
[MLP] 학습: 19792개 (80%)  검증: 4949개 (20%)  [비율고정: 유지 | 분리시드: 42]
[MLP] 스케일러: StandardScaler (z-score)
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
[MLP]  디바이스: cuda (NVIDIA GeForce GTX 1660 SUPER)
[MLP]  구조: 21 → 256 → 128 → 64 → 32 → 2
[MLP]  에폭: 4000  배치: 64  LR: 1.00e-04  Dropout: 0.3
[MLP]  Early Stop: 비활성화
[MLP]  LR 스케줄러: patience=150  factor=0.8  min_lr=1e-6
[MLP]  검증 비율: 20%  분리 비율고정: 유지  분리 시드: 42
[MLP]  스케일러: StandardScaler  특징 모드: ESP32
[MLP]  사용 특징 (21개): SPECTRAL_ROLLOFF, SPECTRAL_BANDWIDTH, PEAK_COUNT, MID_RATIO, LOW_TO_HIGH_RATIO, SECOND_PEAK_FREQ, KURTOSIS, CENTROID, PEAK_FREQ, LOW_RATIO, RMS, AVG_ENERGY, PEAK_ENERGY, ENERGY_VARIANCE, PEAK_TO_AVG_E, HIGH_RATIO, PEAK1_TO_PEAK2_RATIO, SKEWNESS, DC_RATIO, DELTA_PEAK_FREQ, SPECTRAL_FLATNESS
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  에폭   1/4000 | 손실: 0.6264 | 검증손실: 0.6024 | 학습: 64.1% | 검증: 62.9% | lr: 1.00e-04 | 1.8s ★
  에폭   2/4000 | 손실: 0.5984 | 검증손실: 0.5945 | 학습: 65.6% | 검증: 64.5% | lr: 1.00e-04 | 1.4s ★
  에폭   3/4000 | 손실: 0.5925 | 검증손실: 0.5893 | 학습: 66.3% | 검증: 64.7% | lr: 1.00e-04 | 1.4s ★
  에폭   4/4000 | 손실: 0.5872 | 검증손실: 0.5864 | 학습: 67.2% | 검증: 65.0% | lr: 1.00e-04 | 1.4s ★
  에폭   5/4000 | 손실: 0.5835 | 검증손실: 0.5827 | 학습: 67.2% | 검증: 65.6% | lr: 1.00e-04 | 1.4s ★
  에폭   6/4000 | 손실: 0.5804 | 검증손실: 0.5820 | 학습: 67.7% | 검증: 65.8% | lr: 1.00e-04 | 1.5s ★
  에폭   7/4000 | 손실: 0.5790 | 검증손실: 0.5843 | 학습: 67.5% | 검증: 66.0% | lr: 1.00e-04 | 1.5s ★
  에폭   8/4000 | 손실: 0.5776 | 검증손실: 0.5774 | 학습: 68.2% | 검증: 66.4% | lr: 1.00e-04 | 1.4s ★
  에폭   9/4000 | 손실: 0.5746 | 검증손실: 0.5774 | 학습: 68.5% | 검증: 66.5% | lr: 1.00e-04 | 1.4s ★
  에폭  10/4000 | 손실: 0.5736 | 검증손실: 0.5775 | 학습: 68.0% | 검증: 66.4% | lr: 1.00e-04 | 1.4s
  에폭  11/4000 | 손실: 0.5707 | 검증손실: 0.5751 | 학습: 68.6% | 검증: 66.8% | lr: 1.00e-04 | 1.6s ★
  에폭  12/4000 | 손실: 0.5708 | 검증손실: 0.5705 | 학습: 68.9% | 검증: 66.8% | lr: 1.00e-04 | 1.8s ★
  에폭  13/4000 | 손실: 0.5683 | 검증손실: 0.5691 | 학습: 69.5% | 검증: 67.4% | lr: 1.00e-04 | 1.6s ★
  에폭  14/4000 | 손실: 0.5670 | 검증손실: 0.5691 | 학습: 69.3% | 검증: 67.7% | lr: 1.00e-04 | 1.6s ★
  에폭  15/4000 | 손실: 0.5650 | 검증손실: 0.5685 | 학습: 69.9% | 검증: 67.6% | lr: 1.00e-04 | 1.6s
  에폭  16/4000 | 손실: 0.5638 | 검증손실: 0.5644 | 학습: 70.1% | 검증: 67.8% | lr: 1.00e-04 | 1.6s ★
  에폭  17/4000 | 손실: 0.5625 | 검증손실: 0.5635 | 학습: 70.0% | 검증: 68.2% | lr: 1.00e-04 | 1.6s ★
  에폭  18/4000 | 손실: 0.5639 | 검증손실: 0.5638 | 학습: 70.1% | 검증: 68.2% | lr: 1.00e-04 | 1.6s
  에폭  19/4000 | 손실: 0.5577 | 검증손실: 0.5606 | 학습: 70.9% | 검증: 68.9% | lr: 1.00e-04 | 1.6s ★
  에폭  20/4000 | 손실: 0.5583 | 검증손실: 0.5603 | 학습: 70.3% | 검증: 67.8% | lr: 1.00e-04 | 1.6s
  에폭  21/4000 | 손실: 0.5569 | 검증손실: 0.5621 | 학습: 70.6% | 검증: 68.7% | lr: 1.00e-04 | 1.6s
  에폭  22/4000 | 손실: 0.5562 | 검증손실: 0.5566 | 학습: 71.5% | 검증: 69.0% | lr: 1.00e-04 | 1.6s ★
  에폭  23/4000 | 손실: 0.5527 | 검증손실: 0.5544 | 학습: 71.4% | 검증: 68.9% | lr: 1.00e-04 | 1.6s
  에폭  24/4000 | 손실: 0.5514 | 검증손실: 0.5513 | 학습: 71.6% | 검증: 69.2% | lr: 1.00e-04 | 1.6s ★
  에폭  25/4000 | 손실: 0.5499 | 검증손실: 0.5570 | 학습: 70.8% | 검증: 68.9% | lr: 1.00e-04 | 1.6s
  에폭  26/4000 | 손실: 0.5494 | 검증손실: 0.5485 | 학습: 72.0% | 검증: 70.0% | lr: 1.00e-04 | 1.6s ★
