[MLP]   svm_data_20260507_133636.csv                       24741샘플
[MLP] CSV 로드  →  총 24741샘플
[MLP] 로드 완료 | 전체: 24741개  (배경: 12371, 사람: 12370)
[MLP] 특징 모드: ESP32 (21개)
[MLP] 학습: 19792개 (80%)  검증: 4949개 (20%)  [비율고정: 유지 | 분리시드: 42]
[MLP] 스케일러: StandardScaler (z-score)
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
[MLP]  디바이스: cuda (NVIDIA GeForce GTX 1660 SUPER)
[MLP]  구조: 21 → 64 → 32 → 2
[MLP]  에폭: 300  배치: 8  LR: 1e-05  Dropout: 0.2  Early Stop: 비활성화
[MLP]  사용 특징 (21개): SPECTRAL_ROLLOFF, SPECTRAL_BANDWIDTH, PEAK_COUNT, MID_RATIO, LOW_TO_HIGH_RATIO, SECOND_PEAK_FREQ, KURTOSIS, CENTROID, PEAK_FREQ, LOW_RATIO, RMS, AVG_ENERGY, PEAK_ENERGY, ENERGY_VARIANCE, PEAK_TO_AVG_E, HIGH_RATIO, PEAK1_TO_PEAK2_RATIO, SKEWNESS, DC_RATIO, DELTA_PEAK_FREQ, SPECTRAL_FLATNESS
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  에폭   1/300 | 손실: 0.6623 | 학습: 60.9% | 검증: 62.7% | lr: 1.00e-05 ★
  에폭   2/300 | 손실: 0.6395 | 학습: 63.5% | 검증: 64.0% | lr: 1.00e-05 ★
  에폭   3/300 | 손실: 0.6330 | 학습: 63.8% | 검증: 63.6% | lr: 1.00e-05
  에폭   4/300 | 손실: 0.6286 | 학습: 64.4% | 검증: 63.6% | lr: 1.00e-05
  에폭   5/300 | 손실: 0.6254 | 학습: 64.8% | 검증: 64.1% | lr: 1.00e-05 ★
  에폭   6/300 | 손실: 0.6227 | 학습: 64.3% | 검증: 63.6% | lr: 1.00e-05
  에폭   7/300 | 손실: 0.6222 | 학습: 63.0% | 검증: 62.6% | lr: 1.00e-05
  에폭   8/300 | 손실: 0.6177 | 학습: 64.4% | 검증: 63.4% | lr: 1.00e-05
  에폭   9/300 | 손실: 0.6187 | 학습: 65.5% | 검증: 64.2% | lr: 1.00e-05 ★
  에폭  10/300 | 손실: 0.6168 | 학습: 64.3% | 검증: 62.9% | lr: 1.00e-05
  에폭  11/300 | 손실: 0.6153 | 학습: 64.7% | 검증: 63.3% | lr: 1.00e-05
  에폭  12/300 | 손실: 0.6159 | 학습: 65.3% | 검증: 64.2% | lr: 1.00e-05
  에폭  13/300 | 손실: 0.6148 | 학습: 64.7% | 검증: 63.5% | lr: 1.00e-05
  에폭  14/300 | 손실: 0.6127 | 학습: 64.0% | 검증: 62.6% | lr: 1.00e-05
  에폭  15/300 | 손실: 0.6129 | 학습: 66.1% | 검증: 65.3% | lr: 1.00e-05 ★
  에폭  16/300 | 손실: 0.6115 | 학습: 65.3% | 검증: 64.0% | lr: 1.00e-05
  에폭  17/300 | 손실: 0.6084 | 학습: 64.5% | 검증: 62.8% | lr: 1.00e-05
  에폭  18/300 | 손실: 0.6084 | 학습: 65.4% | 검증: 63.8% | lr: 1.00e-05
  에폭  19/300 | 손실: 0.6082 | 학습: 64.3% | 검증: 62.9% | lr: 1.00e-05
  에폭  20/300 | 손실: 0.6098 | 학습: 65.6% | 검증: 63.9% | lr: 1.00e-05
  에폭  21/300 | 손실: 0.6064 | 학습: 65.8% | 검증: 64.3% | lr: 1.00e-05
  에폭  22/300 | 손실: 0.6100 | 학습: 65.3% | 검증: 63.9% | lr: 1.00e-05
  에폭  23/300 | 손실: 0.6077 | 학습: 65.2% | 검증: 63.4% | lr: 1.00e-05
  에폭  24/300 | 손실: 0.6079 | 학습: 65.8% | 검증: 64.2% | lr: 1.00e-05
  에폭  25/300 | 손실: 0.6058 | 학습: 65.5% | 검증: 63.6% | lr: 1.00e-05
  에폭  26/300 | 손실: 0.6062 | 학습: 66.2% | 검증: 64.5% | lr: 1.00e-05
  에폭  27/300 | 손실: 0.6065 | 학습: 65.9% | 검증: 64.6% | lr: 1.00e-05
  에폭  28/300 | 손실: 0.6039 | 학습: 65.7% | 검증: 64.3% | lr: 1.00e-05
  에폭  29/300 | 손실: 0.6035 | 학습: 66.0% | 검증: 64.7% | lr: 1.00e-05
  에폭  30/300 | 손실: 0.6060 | 학습: 66.3% | 검증: 64.7% | lr: 1.00e-05
  에폭  31/300 | 손실: 0.6045 | 학습: 66.0% | 검증: 64.6% | lr: 1.00e-05
  에폭  32/300 | 손실: 0.6025 | 학습: 65.8% | 검증: 64.1% | lr: 1.00e-05
  에폭  33/300 | 손실: 0.6023 | 학습: 65.6% | 검증: 63.7% | lr: 1.00e-05
  에폭  34/300 | 손실: 0.6016 | 학습: 66.0% | 검증: 64.3% | lr: 1.00e-05
  에폭  35/300 | 손실: 0.6028 | 학습: 66.2% | 검증: 64.6% | lr: 1.00e-05
  에폭  36/300 | 손실: 0.6026 | 학습: 65.7% | 검증: 64.4% | lr: 1.00e-05
  에폭  37/300 | 손실: 0.6033 | 학습: 65.9% | 검증: 64.0% | lr: 1.00e-05
  에폭  38/300 | 손실: 0.6013 | 학습: 65.7% | 검증: 64.4% | lr: 1.00e-05
  에폭  39/300 | 손실: 0.5990 | 학습: 65.8% | 검증: 64.0% | lr: 1.00e-05
  에폭  40/300 | 손실: 0.6013 | 학습: 66.3% | 검증: 64.8% | lr: 1.00e-05
  에폭  41/300 | 손실: 0.6007 | 학습: 65.9% | 검증: 64.4% | lr: 1.00e-05
  에폭  42/300 | 손실: 0.6011 | 학습: 65.8% | 검증: 64.1% | lr: 1.00e-05
  에폭  43/300 | 손실: 0.5999 | 학습: 66.0% | 검증: 64.5% | lr: 1.00e-05
  에폭  44/300 | 손실: 0.5989 | 학습: 66.2% | 검증: 64.2% | lr: 1.00e-05
  에폭  45/300 | 손실: 0.6000 | 학습: 66.0% | 검증: 64.3% | lr: 1.00e-05
  에폭  46/300 | 손실: 0.6006 | 학습: 65.8% | 검증: 64.4% | lr: 1.00e-05
  에폭  47/300 | 손실: 0.5989 | 학습: 66.2% | 검증: 64.5% | lr: 1.00e-05
  에폭  48/300 | 손실: 0.5987 | 학습: 66.3% | 검증: 64.6% | lr: 1.00e-05
  에폭  49/300 | 손실: 0.5979 | 학습: 66.2% | 검증: 64.3% | lr: 1.00e-05
  에폭  50/300 | 손실: 0.5990 | 학습: 66.1% | 검증: 64.2% | lr: 1.00e-05
  에폭  51/300 | 손실: 0.5968 | 학습: 65.7% | 검증: 64.2% | lr: 1.00e-05
  에폭  52/300 | 손실: 0.5994 | 학습: 65.6% | 검증: 64.3% | lr: 1.00e-05
  에폭  53/300 | 손실: 0.5966 | 학습: 66.3% | 검증: 65.0% | lr: 1.00e-05
  에폭  54/300 | 손실: 0.5994 | 학습: 66.6% | 검증: 64.6% | lr: 1.00e-05
  에폭  55/300 | 손실: 0.6001 | 학습: 66.3% | 검증: 64.7% | lr: 1.00e-05
  에폭  56/300 | 손실: 0.5987 | 학습: 66.2% | 검증: 64.4% | lr: 1.00e-05
  에폭  57/300 | 손실: 0.5964 | 학습: 66.3% | 검증: 64.5% | lr: 1.00e-05
  에폭  58/300 | 손실: 0.6002 | 학습: 66.4% | 검증: 64.6% | lr: 1.00e-05
  에폭  59/300 | 손실: 0.5984 | 학습: 66.4% | 검증: 64.5% | lr: 1.00e-05
  에폭  60/300 | 손실: 0.5972 | 학습: 65.9% | 검증: 64.1% | lr: 1.00e-05
  에폭  61/300 | 손실: 0.5965 | 학습: 66.3% | 검증: 64.4% | lr: 1.00e-05
  에폭  62/300 | 손실: 0.5959 | 학습: 66.2% | 검증: 64.0% | lr: 1.00e-05
  에폭  63/300 | 손실: 0.5970 | 학습: 66.2% | 검증: 64.8% | lr: 1.00e-05
  에폭  64/300 | 손실: 0.5954 | 학습: 66.3% | 검증: 64.6% | lr: 1.00e-05
  에폭  65/300 | 손실: 0.5966 | 학습: 66.3% | 검증: 64.7% | lr: 1.00e-05
  에폭  66/300 | 손실: 0.5973 | 학습: 66.1% | 검증: 64.7% | lr: 1.00e-05
  에폭  67/300 | 손실: 0.5962 | 학습: 66.0% | 검증: 64.4% | lr: 1.00e-05
  에폭  68/300 | 손실: 0.5966 | 학습: 66.3% | 검증: 64.5% | lr: 1.00e-05
  에폭  69/300 | 손실: 0.5951 | 학습: 66.4% | 검증: 64.9% | lr: 1.00e-05
  에폭  70/300 | 손실: 0.5972 | 학습: 66.2% | 검증: 64.7% | lr: 1.00e-05
  에폭  71/300 | 손실: 0.5944 | 학습: 66.3% | 검증: 64.8% | lr: 1.00e-05
  에폭  72/300 | 손실: 0.5946 | 학습: 66.5% | 검증: 64.3% | lr: 1.00e-05
  에폭  73/300 | 손실: 0.5943 | 학습: 66.2% | 검증: 64.7% | lr: 1.00e-05
  에폭  74/300 | 손실: 0.5961 | 학습: 66.3% | 검증: 64.6% | lr: 1.00e-05
  에폭  75/300 | 손실: 0.5949 | 학습: 66.5% | 검증: 64.8% | lr: 1.00e-05
  에폭  76/300 | 손실: 0.5960 | 학습: 66.2% | 검증: 64.7% | lr: 1.00e-05
  에폭  77/300 | 손실: 0.5939 | 학습: 65.9% | 검증: 63.9% | lr: 1.00e-05
  에폭  78/300 | 손실: 0.5942 | 학습: 66.5% | 검증: 64.7% | lr: 1.00e-05
  에폭  79/300 | 손실: 0.5934 | 학습: 66.5% | 검증: 64.3% | lr: 1.00e-05
  에폭  80/300 | 손실: 0.5947 | 학습: 66.6% | 검증: 64.8% | lr: 1.00e-05
  에폭  81/300 | 손실: 0.5948 | 학습: 66.2% | 검증: 64.3% | lr: 1.00e-05
  에폭  82/300 | 손실: 0.5941 | 학습: 66.0% | 검증: 64.3% | lr: 1.00e-05
  에폭  83/300 | 손실: 0.5927 | 학습: 66.8% | 검증: 64.5% | lr: 1.00e-05
  에폭  84/300 | 손실: 0.5929 | 학습: 66.3% | 검증: 64.4% | lr: 1.00e-05
  에폭  85/300 | 손실: 0.5921 | 학습: 66.3% | 검증: 64.3% | lr: 1.00e-05
  에폭  86/300 | 손실: 0.5945 | 학습: 66.2% | 검증: 64.8% | lr: 1.00e-05
  에폭  87/300 | 손실: 0.5926 | 학습: 65.9% | 검증: 64.5% | lr: 1.00e-05
  에폭  88/300 | 손실: 0.5958 | 학습: 66.3% | 검증: 64.7% | lr: 1.00e-05
  에폭  89/300 | 손실: 0.5928 | 학습: 66.3% | 검증: 65.1% | lr: 1.00e-05
  에폭  90/300 | 손실: 0.5925 | 학습: 66.2% | 검증: 64.8% | lr: 1.00e-05
  에폭  91/300 | 손실: 0.5919 | 학습: 66.3% | 검증: 64.3% | lr: 1.00e-05
  에폭  92/300 | 손실: 0.5926 | 학습: 66.5% | 검증: 64.8% | lr: 1.00e-05
  에폭  93/300 | 손실: 0.5916 | 학습: 66.3% | 검증: 64.5% | lr: 1.00e-05
  에폭  94/300 | 손실: 0.5904 | 학습: 66.5% | 검증: 64.4% | lr: 1.00e-05
  에폭  95/300 | 손실: 0.5929 | 학습: 66.2% | 검증: 65.0% | lr: 1.00e-05
  에폭  96/300 | 손실: 0.5914 | 학습: 66.4% | 검증: 64.4% | lr: 1.00e-05
  에폭  97/300 | 손실: 0.5935 | 학습: 66.5% | 검증: 64.5% | lr: 1.00e-05
  에폭  98/300 | 손실: 0.5933 | 학습: 66.1% | 검증: 64.5% | lr: 1.00e-05
  에폭  99/300 | 손실: 0.5919 | 학습: 66.3% | 검증: 64.4% | lr: 1.00e-05
  에폭 100/300 | 손실: 0.5939 | 학습: 66.3% | 검증: 64.5% | lr: 1.00e-05
  에폭 101/300 | 손실: 0.5899 | 학습: 66.7% | 검증: 64.8% | lr: 1.00e-05
  에폭 102/300 | 손실: 0.5912 | 학습: 66.7% | 검증: 64.3% | lr: 1.00e-05
  에폭 103/300 | 손실: 0.5923 | 학습: 66.7% | 검증: 64.7% | lr: 1.00e-05
  에폭 104/300 | 손실: 0.5915 | 학습: 67.2% | 검증: 65.0% | lr: 1.00e-05
  에폭 105/300 | 손실: 0.5925 | 학습: 66.6% | 검증: 64.3% | lr: 1.00e-05
  에폭 106/300 | 손실: 0.5932 | 학습: 66.6% | 검증: 64.7% | lr: 1.00e-05
  에폭 107/300 | 손실: 0.5923 | 학습: 66.5% | 검증: 64.4% | lr: 1.00e-05
  에폭 108/300 | 손실: 0.5900 | 학습: 66.9% | 검증: 64.6% | lr: 1.00e-05
  에폭 109/300 | 손실: 0.5921 | 학습: 67.0% | 검증: 65.0% | lr: 1.00e-05
  에폭 110/300 | 손실: 0.5912 | 학습: 67.1% | 검증: 65.2% | lr: 1.00e-05
  에폭 111/300 | 손실: 0.5915 | 학습: 66.9% | 검증: 64.9% | lr: 1.00e-05
  에폭 112/300 | 손실: 0.5917 | 학습: 66.9% | 검증: 65.0% | lr: 1.00e-05
  에폭 113/300 | 손실: 0.5898 | 학습: 66.9% | 검증: 64.6% | lr: 1.00e-05
  에폭 114/300 | 손실: 0.5912 | 학습: 66.9% | 검증: 64.7% | lr: 1.00e-05
  에폭 115/300 | 손실: 0.5898 | 학습: 66.5% | 검증: 64.8% | lr: 1.00e-05
  에폭 116/300 | 손실: 0.5918 | 학습: 67.3% | 검증: 65.2% | lr: 1.00e-05
  에폭 117/300 | 손실: 0.5903 | 학습: 66.8% | 검증: 64.8% | lr: 1.00e-05
  에폭 118/300 | 손실: 0.5896 | 학습: 66.9% | 검증: 65.1% | lr: 1.00e-05
  에폭 119/300 | 손실: 0.5922 | 학습: 67.1% | 검증: 65.2% | lr: 1.00e-05
  에폭 120/300 | 손실: 0.5904 | 학습: 67.1% | 검증: 64.7% | lr: 1.00e-05
  에폭 121/300 | 손실: 0.5911 | 학습: 66.6% | 검증: 65.0% | lr: 1.00e-05
  에폭 122/300 | 손실: 0.5890 | 학습: 67.0% | 검증: 64.8% | lr: 1.00e-05
  에폭 123/300 | 손실: 0.5885 | 학습: 67.1% | 검증: 64.9% | lr: 1.00e-05
  에폭 124/300 | 손실: 0.5895 | 학습: 66.9% | 검증: 64.9% | lr: 1.00e-05
  에폭 125/300 | 손실: 0.5886 | 학습: 66.5% | 검증: 64.7% | lr: 1.00e-05
  에폭 126/300 | 손실: 0.5903 | 학습: 66.9% | 검증: 64.6% | lr: 1.00e-05
  에폭 127/300 | 손실: 0.5894 | 학습: 66.8% | 검증: 64.9% | lr: 1.00e-05
  에폭 128/300 | 손실: 0.5882 | 학습: 66.8% | 검증: 65.0% | lr: 1.00e-05
  에폭 129/300 | 손실: 0.5882 | 학습: 67.0% | 검증: 64.7% | lr: 1.00e-05
  에폭 130/300 | 손실: 0.5879 | 학습: 66.9% | 검증: 64.9% | lr: 1.00e-05
  에폭 131/300 | 손실: 0.5895 | 학습: 67.1% | 검증: 65.0% | lr: 1.00e-05
  에폭 132/300 | 손실: 0.5892 | 학습: 66.7% | 검증: 65.0% | lr: 1.00e-05
  에폭 133/300 | 손실: 0.5880 | 학습: 67.0% | 검증: 65.4% | lr: 1.00e-05 ★
  에폭 134/300 | 손실: 0.5893 | 학습: 67.1% | 검증: 65.3% | lr: 1.00e-05
  에폭 135/300 | 손실: 0.5886 | 학습: 66.9% | 검증: 65.0% | lr: 1.00e-05
  에폭 136/300 | 손실: 0.5892 | 학습: 66.8% | 검증: 64.7% | lr: 1.00e-05
  에폭 137/300 | 손실: 0.5877 | 학습: 67.1% | 검증: 65.2% | lr: 1.00e-05
  에폭 138/300 | 손실: 0.5888 | 학습: 66.8% | 검증: 64.6% | lr: 1.00e-05
  에폭 139/300 | 손실: 0.5881 | 학습: 67.5% | 검증: 65.6% | lr: 1.00e-05 ★
  에폭 140/300 | 손실: 0.5900 | 학습: 66.8% | 검증: 64.7% | lr: 1.00e-05
  에폭 141/300 | 손실: 0.5871 | 학습: 67.2% | 검증: 65.4% | lr: 1.00e-05
  에폭 142/300 | 손실: 0.5884 | 학습: 67.0% | 검증: 65.0% | lr: 1.00e-05
  에폭 143/300 | 손실: 0.5882 | 학습: 67.2% | 검증: 65.0% | lr: 1.00e-05
  에폭 144/300 | 손실: 0.5882 | 학습: 67.2% | 검증: 65.1% | lr: 1.00e-05
  에폭 145/300 | 손실: 0.5859 | 학습: 67.1% | 검증: 64.8% | lr: 1.00e-05
  에폭 146/300 | 손실: 0.5867 | 학습: 67.3% | 검증: 65.4% | lr: 1.00e-05
  에폭 147/300 | 손실: 0.5868 | 학습: 67.5% | 검증: 65.4% | lr: 1.00e-05
  에폭 148/300 | 손실: 0.5868 | 학습: 67.3% | 검증: 65.2% | lr: 1.00e-05
  에폭 149/300 | 손실: 0.5883 | 학습: 67.0% | 검증: 65.2% | lr: 1.00e-05
  에폭 150/300 | 손실: 0.5853 | 학습: 66.9% | 검증: 65.1% | lr: 1.00e-05
  에폭 151/300 | 손실: 0.5885 | 학습: 67.5% | 검증: 65.8% | lr: 1.00e-05 ★
  에폭 152/300 | 손실: 0.5881 | 학습: 67.3% | 검증: 65.0% | lr: 1.00e-05
  에폭 153/300 | 손실: 0.5852 | 학습: 67.5% | 검증: 65.6% | lr: 1.00e-05
  에폭 154/300 | 손실: 0.5860 | 학습: 67.0% | 검증: 65.1% | lr: 1.00e-05
  에폭 155/300 | 손실: 0.5873 | 학습: 67.3% | 검증: 65.5% | lr: 1.00e-05
  에폭 156/300 | 손실: 0.5870 | 학습: 67.3% | 검증: 65.3% | lr: 1.00e-05
  에폭 157/300 | 손실: 0.5873 | 학습: 67.5% | 검증: 65.6% | lr: 1.00e-05
  에폭 158/300 | 손실: 0.5864 | 학습: 67.6% | 검증: 65.4% | lr: 1.00e-05
  에폭 159/300 | 손실: 0.5863 | 학습: 67.9% | 검증: 65.7% | lr: 1.00e-05
  에폭 160/300 | 손실: 0.5867 | 학습: 67.2% | 검증: 64.8% | lr: 1.00e-05
  에폭 161/300 | 손실: 0.5875 | 학습: 67.4% | 검증: 65.3% | lr: 1.00e-05
  에폭 162/300 | 손실: 0.5878 | 학습: 67.5% | 검증: 65.0% | lr: 1.00e-05
  에폭 163/300 | 손실: 0.5848 | 학습: 67.1% | 검증: 65.0% | lr: 1.00e-05
  에폭 164/300 | 손실: 0.5871 | 학습: 67.7% | 검증: 65.5% | lr: 1.00e-05
  에폭 165/300 | 손실: 0.5864 | 학습: 67.3% | 검증: 64.9% | lr: 1.00e-05
  에폭 166/300 | 손실: 0.5863 | 학습: 67.4% | 검증: 65.2% | lr: 1.00e-05
  에폭 167/300 | 손실: 0.5871 | 학습: 67.4% | 검증: 65.2% | lr: 1.00e-05
  에폭 168/300 | 손실: 0.5872 | 학습: 67.2% | 검증: 65.0% | lr: 1.00e-05
  에폭 169/300 | 손실: 0.5853 | 학습: 67.5% | 검증: 65.3% | lr: 1.00e-05
  에폭 170/300 | 손실: 0.5854 | 학습: 67.4% | 검증: 65.3% | lr: 1.00e-05
  에폭 171/300 | 손실: 0.5855 | 학습: 67.6% | 검증: 65.6% | lr: 1.00e-05
  에폭 172/300 | 손실: 0.5838 | 학습: 67.3% | 검증: 64.9% | lr: 1.00e-05
  에폭 173/300 | 손실: 0.5856 | 학습: 67.8% | 검증: 65.3% | lr: 1.00e-05
  에폭 174/300 | 손실: 0.5856 | 학습: 67.5% | 검증: 65.4% | lr: 1.00e-05
  에폭 175/300 | 손실: 0.5847 | 학습: 68.0% | 검증: 66.1% | lr: 1.00e-05 ★
  에폭 176/300 | 손실: 0.5857 | 학습: 67.9% | 검증: 66.0% | lr: 1.00e-05
  에폭 177/300 | 손실: 0.5864 | 학습: 67.3% | 검증: 65.2% | lr: 1.00e-05
  에폭 178/300 | 손실: 0.5861 | 학습: 67.6% | 검증: 65.3% | lr: 1.00e-05
  에폭 179/300 | 손실: 0.5854 | 학습: 67.8% | 검증: 65.7% | lr: 1.00e-05
  에폭 180/300 | 손실: 0.5841 | 학습: 67.2% | 검증: 65.2% | lr: 1.00e-05
  에폭 181/300 | 손실: 0.5859 | 학습: 67.8% | 검증: 65.4% | lr: 1.00e-05
  에폭 182/300 | 손실: 0.5853 | 학습: 67.6% | 검증: 65.2% | lr: 1.00e-05
  에폭 183/300 | 손실: 0.5845 | 학습: 67.9% | 검증: 65.7% | lr: 1.00e-05
  에폭 184/300 | 손실: 0.5854 | 학습: 67.5% | 검증: 65.3% | lr: 1.00e-05
  에폭 185/300 | 손실: 0.5864 | 학습: 67.6% | 검증: 65.3% | lr: 1.00e-05
  에폭 186/300 | 손실: 0.5860 | 학습: 67.8% | 검증: 65.7% | lr: 1.00e-05
  에폭 187/300 | 손실: 0.5873 | 학습: 67.8% | 검증: 65.5% | lr: 1.00e-05
  에폭 188/300 | 손실: 0.5837 | 학습: 68.0% | 검증: 65.9% | lr: 1.00e-05
  에폭 189/300 | 손실: 0.5838 | 학습: 68.1% | 검증: 66.0% | lr: 1.00e-05
  에폭 190/300 | 손실: 0.5845 | 학습: 67.9% | 검증: 65.5% | lr: 1.00e-05
  에폭 191/300 | 손실: 0.5848 | 학습: 68.3% | 검증: 66.1% | lr: 1.00e-05 ★
  에폭 192/300 | 손실: 0.5863 | 학습: 68.0% | 검증: 66.1% | lr: 1.00e-05
  에폭 193/300 | 손실: 0.5833 | 학습: 68.0% | 검증: 65.8% | lr: 1.00e-05
  에폭 194/300 | 손실: 0.5838 | 학습: 67.5% | 검증: 65.0% | lr: 1.00e-05
  에폭 195/300 | 손실: 0.5855 | 학습: 67.6% | 검증: 65.4% | lr: 1.00e-05
  에폭 196/300 | 손실: 0.5857 | 학습: 68.1% | 검증: 65.9% | lr: 1.00e-05
  에폭 197/300 | 손실: 0.5845 | 학습: 68.0% | 검증: 66.1% | lr: 1.00e-05
  에폭 198/300 | 손실: 0.5849 | 학습: 68.1% | 검증: 66.2% | lr: 1.00e-05 ★
  에폭 199/300 | 손실: 0.5840 | 학습: 68.3% | 검증: 66.1% | lr: 1.00e-05
  에폭 200/300 | 손실: 0.5832 | 학습: 67.5% | 검증: 65.6% | lr: 1.00e-05
  에폭 201/300 | 손실: 0.5828 | 학습: 67.8% | 검증: 65.8% | lr: 1.00e-05
  에폭 202/300 | 손실: 0.5849 | 학습: 67.7% | 검증: 65.9% | lr: 1.00e-05
  에폭 203/300 | 손실: 0.5847 | 학습: 68.0% | 검증: 66.0% | lr: 1.00e-05
  에폭 204/300 | 손실: 0.5848 | 학습: 67.8% | 검증: 65.8% | lr: 1.00e-05
  에폭 205/300 | 손실: 0.5832 | 학습: 68.0% | 검증: 65.6% | lr: 1.00e-05
  에폭 206/300 | 손실: 0.5836 | 학습: 67.6% | 검증: 65.4% | lr: 1.00e-05
  에폭 207/300 | 손실: 0.5846 | 학습: 68.0% | 검증: 65.9% | lr: 1.00e-05
  에폭 208/300 | 손실: 0.5820 | 학습: 68.0% | 검증: 65.9% | lr: 1.00e-05
  에폭 209/300 | 손실: 0.5864 | 학습: 68.0% | 검증: 66.1% | lr: 1.00e-05
  에폭 210/300 | 손실: 0.5832 | 학습: 68.4% | 검증: 66.1% | lr: 1.00e-05
  에폭 211/300 | 손실: 0.5825 | 학습: 68.0% | 검증: 66.0% | lr: 1.00e-05
  에폭 212/300 | 손실: 0.5828 | 학습: 68.5% | 검증: 66.2% | lr: 1.00e-05
  에폭 213/300 | 손실: 0.5835 | 학습: 68.2% | 검증: 66.1% | lr: 1.00e-05
  에폭 214/300 | 손실: 0.5803 | 학습: 68.2% | 검증: 65.9% | lr: 1.00e-05
  에폭 215/300 | 손실: 0.5836 | 학습: 68.0% | 검증: 66.0% | lr: 1.00e-05
  에폭 216/300 | 손실: 0.5834 | 학습: 67.9% | 검증: 65.8% | lr: 1.00e-05
  에폭 217/300 | 손실: 0.5841 | 학습: 67.9% | 검증: 65.6% | lr: 1.00e-05
  에폭 218/300 | 손실: 0.5833 | 학습: 68.1% | 검증: 66.2% | lr: 1.00e-05
  에폭 219/300 | 손실: 0.5828 | 학습: 68.6% | 검증: 66.2% | lr: 1.00e-05
  에폭 220/300 | 손실: 0.5837 | 학습: 67.8% | 검증: 66.1% | lr: 1.00e-05
  에폭 221/300 | 손실: 0.5849 | 학습: 68.2% | 검증: 66.0% | lr: 1.00e-05
  에폭 222/300 | 손실: 0.5838 | 학습: 68.0% | 검증: 66.1% | lr: 1.00e-05
  에폭 223/300 | 손실: 0.5844 | 학습: 68.2% | 검증: 65.9% | lr: 1.00e-05
  에폭 224/300 | 손실: 0.5825 | 학습: 67.9% | 검증: 66.0% | lr: 1.00e-05
  에폭 225/300 | 손실: 0.5841 | 학습: 67.9% | 검증: 65.8% | lr: 1.00e-05
  에폭 226/300 | 손실: 0.5832 | 학습: 68.0% | 검증: 65.7% | lr: 1.00e-05
  에폭 227/300 | 손실: 0.5838 | 학습: 68.4% | 검증: 66.1% | lr: 1.00e-05
  에폭 228/300 | 손실: 0.5844 | 학습: 68.2% | 검증: 66.4% | lr: 1.00e-05 ★
  에폭 229/300 | 손실: 0.5835 | 학습: 68.3% | 검증: 66.4% | lr: 1.00e-05
  에폭 230/300 | 손실: 0.5818 | 학습: 67.9% | 검증: 66.3% | lr: 1.00e-05
  에폭 231/300 | 손실: 0.5807 | 학습: 68.0% | 검증: 66.0% | lr: 1.00e-05
  에폭 232/300 | 손실: 0.5816 | 학습: 68.4% | 검증: 66.3% | lr: 1.00e-05
  에폭 233/300 | 손실: 0.5826 | 학습: 68.1% | 검증: 66.0% | lr: 1.00e-05
  에폭 234/300 | 손실: 0.5846 | 학습: 68.2% | 검증: 66.0% | lr: 1.00e-05
  에폭 235/300 | 손실: 0.5822 | 학습: 68.2% | 검증: 66.2% | lr: 1.00e-05
  에폭 236/300 | 손실: 0.5813 | 학습: 68.6% | 검증: 66.0% | lr: 1.00e-05
  에폭 237/300 | 손실: 0.5830 | 학습: 68.2% | 검증: 66.3% | lr: 1.00e-05
  에폭 238/300 | 손실: 0.5802 | 학습: 68.4% | 검증: 66.3% | lr: 1.00e-05
  에폭 239/300 | 손실: 0.5836 | 학습: 68.5% | 검증: 66.4% | lr: 1.00e-05
