[MLP]   svm_data_20260507_133636.csv                       24741샘플
[MLP] CSV 로드  →  총 24741샘플
[MLP] 로드 완료 | 전체: 24741개  (배경: 12371, 사람: 12370)
[MLP] 특징 모드: ESP32 (21개)
[MLP] 학습: 19792개 (80%)  검증: 4949개 (20%)  [비율고정: 유지 | 분리시드: 42]
[MLP] 스케일러: StandardScaler (z-score)
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
[MLP]  디바이스: cpu
[MLP]  구조: 21 → 128 → 64 → 32 → 2
[MLP]  에폭: 1500  배치: 128  LR: 2.00e-03  Dropout: 0.2
[MLP]  Early Stop: 비활성화
[MLP]  LR 스케줄러: patience=50  factor=0.5  min_lr=1e-6
[MLP]  검증 비율: 20%  분리 비율고정: 유지  분리 시드: 42
[MLP]  스케일러: StandardScaler  특징 모드: ESP32
[MLP]  사용 특징 (21개): SPECTRAL_ROLLOFF, SPECTRAL_BANDWIDTH, PEAK_COUNT, MID_RATIO, LOW_TO_HIGH_RATIO, SECOND_PEAK_FREQ, KURTOSIS, CENTROID, PEAK_FREQ, LOW_RATIO, RMS, AVG_ENERGY, PEAK_ENERGY, ENERGY_VARIANCE, PEAK_TO_AVG_E, HIGH_RATIO, PEAK1_TO_PEAK2_RATIO, SKEWNESS, DC_RATIO, DELTA_PEAK_FREQ, SPECTRAL_FLATNESS
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  에폭   1/1500 | 손실: 0.5967 | 검증손실: 0.5873 | 학습: 66.7% | 검증: 65.4% | lr: 2.00e-03 | 0.3s ★
  에폭   2/1500 | 손실: 0.5796 | 검증손실: 0.5811 | 학습: 68.2% | 검증: 66.2% | lr: 2.00e-03 | 0.4s ★
  에폭   3/1500 | 손실: 0.5738 | 검증손실: 0.5688 | 학습: 69.4% | 검증: 67.4% | lr: 2.00e-03 | 0.3s ★
  에폭   4/1500 | 손실: 0.5648 | 검증손실: 0.5649 | 학습: 70.1% | 검증: 67.5% | lr: 2.00e-03 | 0.3s ★
  에폭   5/1500 | 손실: 0.5618 | 검증손실: 0.5611 | 학습: 70.5% | 검증: 68.3% | lr: 2.00e-03 | 0.3s ★
  에폭   6/1500 | 손실: 0.5542 | 검증손실: 0.5512 | 학습: 70.7% | 검증: 68.6% | lr: 2.00e-03 | 0.3s ★
  에폭   7/1500 | 손실: 0.5493 | 검증손실: 0.5490 | 학습: 72.7% | 검증: 69.3% | lr: 2.00e-03 | 0.4s ★
  에폭   8/1500 | 손실: 0.5419 | 검증손실: 0.5378 | 학습: 73.0% | 검증: 70.1% | lr: 2.00e-03 | 0.3s ★
  에폭   9/1500 | 손실: 0.5372 | 검증손실: 0.5405 | 학습: 73.0% | 검증: 70.5% | lr: 2.00e-03 | 0.3s ★
  에폭  10/1500 | 손실: 0.5322 | 검증손실: 0.5408 | 학습: 73.4% | 검증: 70.7% | lr: 2.00e-03 | 0.3s ★
  에폭  11/1500 | 손실: 0.5294 | 검증손실: 0.5235 | 학습: 74.7% | 검증: 71.7% | lr: 2.00e-03 | 0.3s ★
  에폭  12/1500 | 손실: 0.5244 | 검증손실: 0.5238 | 학습: 74.7% | 검증: 72.3% | lr: 2.00e-03 | 0.3s ★
  에폭  13/1500 | 손실: 0.5177 | 검증손실: 0.5189 | 학습: 75.4% | 검증: 72.9% | lr: 2.00e-03 | 0.3s ★
  에폭  14/1500 | 손실: 0.5127 | 검증손실: 0.5146 | 학습: 75.7% | 검증: 72.5% | lr: 2.00e-03 | 0.3s
  에폭  15/1500 | 손실: 0.5070 | 검증손실: 0.5132 | 학습: 75.9% | 검증: 72.2% | lr: 2.00e-03 | 0.3s
  에폭  16/1500 | 손실: 0.5057 | 검증손실: 0.5035 | 학습: 76.9% | 검증: 74.3% | lr: 2.00e-03 | 0.3s ★
  에폭  17/1500 | 손실: 0.5009 | 검증손실: 0.5020 | 학습: 76.8% | 검증: 73.8% | lr: 2.00e-03 | 0.3s
  에폭  18/1500 | 손실: 0.4954 | 검증손실: 0.4984 | 학습: 77.4% | 검증: 74.1% | lr: 2.00e-03 | 0.3s
  에폭  19/1500 | 손실: 0.4936 | 검증손실: 0.4894 | 학습: 78.6% | 검증: 74.9% | lr: 2.00e-03 | 0.3s ★
  에폭  20/1500 | 손실: 0.4909 | 검증손실: 0.4955 | 학습: 78.3% | 검증: 75.4% | lr: 2.00e-03 | 0.3s ★
  에폭  21/1500 | 손실: 0.4861 | 검증손실: 0.4935 | 학습: 78.4% | 검증: 74.6% | lr: 2.00e-03 | 0.3s
  에폭  22/1500 | 손실: 0.4809 | 검증손실: 0.4897 | 학습: 78.3% | 검증: 74.5% | lr: 2.00e-03 | 0.3s
  에폭  23/1500 | 손실: 0.4789 | 검증손실: 0.4774 | 학습: 79.3% | 검증: 75.9% | lr: 2.00e-03 | 0.3s ★
  에폭  24/1500 | 손실: 0.4779 | 검증손실: 0.4745 | 학습: 79.0% | 검증: 75.8% | lr: 2.00e-03 | 0.3s
  에폭  25/1500 | 손실: 0.4703 | 검증손실: 0.4810 | 학습: 79.6% | 검증: 75.3% | lr: 2.00e-03 | 0.3s
  에폭  26/1500 | 손실: 0.4704 | 검증손실: 0.4727 | 학습: 80.1% | 검증: 76.7% | lr: 2.00e-03 | 0.3s ★
  에폭  27/1500 | 손실: 0.4661 | 검증손실: 0.4630 | 학습: 80.3% | 검증: 76.5% | lr: 2.00e-03 | 0.3s
  에폭  28/1500 | 손실: 0.4629 | 검증손실: 0.4703 | 학습: 80.5% | 검증: 76.4% | lr: 2.00e-03 | 0.3s
