[MLP]   svm_data_20260507_133636.csv                       24741샘플
[MLP] CSV 로드  →  총 24741샘플
[MLP] 로드 완료 | 전체: 24741개  (배경: 12371, 사람: 12370)
[MLP] 특징 모드: ESP32 (14개)
[MLP] 학습: 19792개 (80%)  검증: 4949개 (20%)  [비율고정: 유지 | 분리시드: 42]
[MLP] 스케일러: StandardScaler (z-score)
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
[MLP]  디바이스: cpu
[MLP]  구조: 14 → 128 → 64 → 32 → 2
[MLP]  에폭: 1000  배치: 128  LR: 2.00e-03  Dropout: 0.3
[MLP]  Early Stop: 비활성화
[MLP]  LR 스케줄러: patience=50  factor=0.5  min_lr=1e-6
[MLP]  검증 비율: 20%  분리 비율고정: 유지  분리 시드: 42
[MLP]  스케일러: StandardScaler  특징 모드: ESP32
[MLP]  사용 특징 (14개): SPECTRAL_BANDWIDTH, PEAK_COUNT, MID_RATIO, SECOND_PEAK_FREQ, KURTOSIS, CENTROID, PEAK_FREQ, LOW_RATIO, RMS, PEAK_TO_AVG_E, HIGH_RATIO, PEAK1_TO_PEAK2_RATIO, SKEWNESS, SPECTRAL_FLATNESS
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  에폭   1/1000 | 손실: 0.6006 | 학습: 67.1% | 검증: 65.5% | lr: 2.00e-03 | 0.3s ★
  에폭   2/1000 | 손실: 0.5846 | 학습: 67.1% | 검증: 65.6% | lr: 2.00e-03 | 0.3s ★
  에폭   3/1000 | 손실: 0.5770 | 학습: 68.8% | 검증: 67.3% | lr: 2.00e-03 | 0.3s ★
  에폭   4/1000 | 손실: 0.5710 | 학습: 69.6% | 검증: 67.7% | lr: 2.00e-03 | 0.3s ★
  에폭   5/1000 | 손실: 0.5676 | 학습: 70.2% | 검증: 67.9% | lr: 2.00e-03 | 0.3s ★
  에폭   6/1000 | 손실: 0.5634 | 학습: 70.5% | 검증: 68.2% | lr: 2.00e-03 | 0.3s ★
  에폭   7/1000 | 손실: 0.5582 | 학습: 70.9% | 검증: 69.2% | lr: 2.00e-03 | 0.3s ★
  에폭   8/1000 | 손실: 0.5548 | 학습: 72.5% | 검증: 70.9% | lr: 2.00e-03 | 0.3s ★
  에폭   9/1000 | 손실: 0.5481 | 학습: 72.5% | 검증: 70.0% | lr: 2.00e-03 | 0.3s
  에폭  10/1000 | 손실: 0.5465 | 학습: 72.7% | 검증: 71.0% | lr: 2.00e-03 | 0.3s ★
  에폭  11/1000 | 손실: 0.5406 | 학습: 73.7% | 검증: 71.2% | lr: 2.00e-03 | 0.3s ★
  에폭  12/1000 | 손실: 0.5374 | 학습: 73.2% | 검증: 71.4% | lr: 2.00e-03 | 0.4s ★
  에폭  13/1000 | 손실: 0.5391 | 학습: 74.5% | 검증: 71.7% | lr: 2.00e-03 | 0.3s ★
  에폭  14/1000 | 손실: 0.5345 | 학습: 74.7% | 검증: 72.0% | lr: 2.00e-03 | 0.3s ★
  에폭  15/1000 | 손실: 0.5290 | 학습: 74.9% | 검증: 72.3% | lr: 2.00e-03 | 0.4s ★
  에폭  16/1000 | 손실: 0.5255 | 학습: 74.6% | 검증: 72.4% | lr: 2.00e-03 | 0.3s ★
  에폭  17/1000 | 손실: 0.5234 | 학습: 74.6% | 검증: 72.7% | lr: 2.00e-03 | 0.3s ★
  에폭  18/1000 | 손실: 0.5220 | 학습: 75.4% | 검증: 72.4% | lr: 2.00e-03 | 0.3s
  에폭  19/1000 | 손실: 0.5171 | 학습: 75.5% | 검증: 72.7% | lr: 2.00e-03 | 0.3s
  에폭  20/1000 | 손실: 0.5148 | 학습: 76.1% | 검증: 74.1% | lr: 2.00e-03 | 0.3s ★
  에폭  21/1000 | 손실: 0.5097 | 학습: 76.1% | 검증: 73.7% | lr: 2.00e-03 | 0.3s
  에폭  22/1000 | 손실: 0.5089 | 학습: 76.0% | 검증: 73.8% | lr: 2.00e-03 | 0.4s
  에폭  23/1000 | 손실: 0.5103 | 학습: 76.8% | 검증: 74.6% | lr: 2.00e-03 | 0.4s ★
  에폭  24/1000 | 손실: 0.5035 | 학습: 77.0% | 검증: 74.6% | lr: 2.00e-03 | 0.4s
  에폭  25/1000 | 손실: 0.5033 | 학습: 76.6% | 검증: 74.6% | lr: 2.00e-03 | 0.4s
  에폭  26/1000 | 손실: 0.4979 | 학습: 77.6% | 검증: 75.2% | lr: 2.00e-03 | 0.4s ★
  에폭  27/1000 | 손실: 0.4985 | 학습: 77.5% | 검증: 75.3% | lr: 2.00e-03 | 0.3s ★
  에폭  28/1000 | 손실: 0.4953 | 학습: 77.9% | 검증: 76.0% | lr: 2.00e-03 | 0.4s ★
  에폭  29/1000 | 손실: 0.4971 | 학습: 77.5% | 검증: 75.3% | lr: 2.00e-03 | 0.4s
  에폭  30/1000 | 손실: 0.4935 | 학습: 78.2% | 검증: 75.9% | lr: 2.00e-03 | 0.4s
  에폭  31/1000 | 손실: 0.4889 | 학습: 78.5% | 검증: 76.0% | lr: 2.00e-03 | 0.4s ★
  에폭  32/1000 | 손실: 0.4870 | 학습: 78.8% | 검증: 75.8% | lr: 2.00e-03 | 0.4s
  에폭  33/1000 | 손실: 0.4854 | 학습: 78.1% | 검증: 75.8% | lr: 2.00e-03 | 0.4s
  에폭  34/1000 | 손실: 0.4866 | 학습: 78.4% | 검증: 75.8% | lr: 2.00e-03 | 0.4s
  에폭  35/1000 | 손실: 0.4851 | 학습: 78.5% | 검증: 75.7% | lr: 2.00e-03 | 0.4s
  에폭  36/1000 | 손실: 0.4787 | 학습: 78.8% | 검증: 76.2% | lr: 2.00e-03 | 0.4s ★
  에폭  37/1000 | 손실: 0.4798 | 학습: 79.4% | 검증: 76.5% | lr: 2.00e-03 | 0.4s ★
  에폭  38/1000 | 손실: 0.4822 | 학습: 79.5% | 검증: 76.7% | lr: 2.00e-03 | 0.4s ★
  에폭  39/1000 | 손실: 0.4744 | 학습: 79.9% | 검증: 77.0% | lr: 2.00e-03 | 0.4s ★
  에폭  40/1000 | 손실: 0.4789 | 학습: 79.6% | 검증: 76.7% | lr: 2.00e-03 | 0.4s
  에폭  41/1000 | 손실: 0.4742 | 학습: 80.1% | 검증: 77.4% | lr: 2.00e-03 | 0.4s ★
  에폭  42/1000 | 손실: 0.4728 | 학습: 80.2% | 검증: 77.9% | lr: 2.00e-03 | 0.4s ★
  에폭  43/1000 | 손실: 0.4732 | 학습: 79.9% | 검증: 77.5% | lr: 2.00e-03 | 0.4s
  에폭  44/1000 | 손실: 0.4741 | 학습: 80.3% | 검증: 77.0% | lr: 2.00e-03 | 0.4s
  에폭  45/1000 | 손실: 0.4663 | 학습: 80.2% | 검증: 77.7% | lr: 2.00e-03 | 0.4s
  에폭  46/1000 | 손실: 0.4680 | 학습: 80.7% | 검증: 78.0% | lr: 2.00e-03 | 0.4s ★
  에폭  47/1000 | 손실: 0.4646 | 학습: 80.5% | 검증: 77.4% | lr: 2.00e-03 | 0.4s
  에폭  48/1000 | 손실: 0.4645 | 학습: 80.7% | 검증: 77.5% | lr: 2.00e-03 | 0.4s
  에폭  49/1000 | 손실: 0.4623 | 학습: 81.0% | 검증: 77.4% | lr: 2.00e-03 | 0.4s
  에폭  50/1000 | 손실: 0.4616 | 학습: 80.7% | 검증: 77.8% | lr: 2.00e-03 | 0.3s
  에폭  51/1000 | 손실: 0.4598 | 학습: 81.0% | 검증: 78.2% | lr: 2.00e-03 | 0.3s ★
  에폭  52/1000 | 손실: 0.4617 | 학습: 81.2% | 검증: 78.4% | lr: 2.00e-03 | 0.4s ★
  에폭  53/1000 | 손실: 0.4539 | 학습: 81.5% | 검증: 78.2% | lr: 2.00e-03 | 0.4s
  에폭  54/1000 | 손실: 0.4555 | 학습: 82.0% | 검증: 78.5% | lr: 2.00e-03 | 0.4s ★
  에폭  55/1000 | 손실: 0.4591 | 학습: 81.7% | 검증: 78.4% | lr: 2.00e-03 | 0.4s
  에폭  56/1000 | 손실: 0.4571 | 학습: 81.7% | 검증: 78.5% | lr: 2.00e-03 | 0.4s
  에폭  57/1000 | 손실: 0.4529 | 학습: 82.3% | 검증: 78.8% | lr: 2.00e-03 | 0.4s ★
  에폭  58/1000 | 손실: 0.4545 | 학습: 82.0% | 검증: 78.9% | lr: 2.00e-03 | 0.4s ★
  에폭  59/1000 | 손실: 0.4541 | 학습: 82.0% | 검증: 79.1% | lr: 2.00e-03 | 0.4s ★
  에폭  60/1000 | 손실: 0.4493 | 학습: 81.7% | 검증: 78.7% | lr: 2.00e-03 | 0.4s
  에폭  61/1000 | 손실: 0.4513 | 학습: 82.5% | 검증: 78.8% | lr: 2.00e-03 | 0.4s
  에폭  62/1000 | 손실: 0.4523 | 학습: 82.5% | 검증: 79.5% | lr: 2.00e-03 | 0.4s ★
  에폭  63/1000 | 손실: 0.4474 | 학습: 82.9% | 검증: 79.7% | lr: 2.00e-03 | 0.4s ★
  에폭  64/1000 | 손실: 0.4470 | 학습: 82.2% | 검증: 79.2% | lr: 2.00e-03 | 0.4s
  에폭  65/1000 | 손실: 0.4439 | 학습: 82.6% | 검증: 79.5% | lr: 2.00e-03 | 0.4s
  에폭  66/1000 | 손실: 0.4440 | 학습: 83.0% | 검증: 79.5% | lr: 2.00e-03 | 0.4s
  에폭  67/1000 | 손실: 0.4428 | 학습: 82.3% | 검증: 79.3% | lr: 2.00e-03 | 0.4s
  에폭  68/1000 | 손실: 0.4443 | 학습: 82.2% | 검증: 78.9% | lr: 2.00e-03 | 0.4s
  에폭  69/1000 | 손실: 0.4407 | 학습: 83.0% | 검증: 79.2% | lr: 2.00e-03 | 0.4s
  에폭  70/1000 | 손실: 0.4457 | 학습: 83.0% | 검증: 79.1% | lr: 2.00e-03 | 0.4s
  에폭  71/1000 | 손실: 0.4409 | 학습: 83.4% | 검증: 79.7% | lr: 2.00e-03 | 0.4s ★
  에폭  72/1000 | 손실: 0.4440 | 학습: 83.5% | 검증: 80.3% | lr: 2.00e-03 | 0.4s ★
  에폭  73/1000 | 손실: 0.4364 | 학습: 83.3% | 검증: 79.9% | lr: 2.00e-03 | 0.4s
  에폭  74/1000 | 손실: 0.4369 | 학습: 83.6% | 검증: 80.1% | lr: 2.00e-03 | 0.4s
  에폭  75/1000 | 손실: 0.4413 | 학습: 83.3% | 검증: 79.6% | lr: 2.00e-03 | 0.4s
  에폭  76/1000 | 손실: 0.4387 | 학습: 83.3% | 검증: 79.8% | lr: 2.00e-03 | 0.4s
  에폭  77/1000 | 손실: 0.4379 | 학습: 83.7% | 검증: 80.1% | lr: 2.00e-03 | 0.4s
  에폭  78/1000 | 손실: 0.4404 | 학습: 83.4% | 검증: 79.8% | lr: 2.00e-03 | 0.4s
  에폭  79/1000 | 손실: 0.4356 | 학습: 83.7% | 검증: 79.9% | lr: 2.00e-03 | 0.4s
  에폭  80/1000 | 손실: 0.4353 | 학습: 83.6% | 검증: 80.1% | lr: 2.00e-03 | 0.4s
  에폭  81/1000 | 손실: 0.4323 | 학습: 83.8% | 검증: 80.2% | lr: 2.00e-03 | 0.4s
  에폭  82/1000 | 손실: 0.4363 | 학습: 83.8% | 검증: 80.1% | lr: 2.00e-03 | 0.4s
  에폭  83/1000 | 손실: 0.4349 | 학습: 84.2% | 검증: 80.5% | lr: 2.00e-03 | 0.3s ★
  에폭  84/1000 | 손실: 0.4323 | 학습: 83.7% | 검증: 79.9% | lr: 2.00e-03 | 0.3s
  에폭  85/1000 | 손실: 0.4299 | 학습: 84.2% | 검증: 80.3% | lr: 2.00e-03 | 0.4s
  에폭  86/1000 | 손실: 0.4268 | 학습: 84.2% | 검증: 80.4% | lr: 2.00e-03 | 0.4s
  에폭  87/1000 | 손실: 0.4287 | 학습: 84.1% | 검증: 80.2% | lr: 2.00e-03 | 0.5s
  에폭  88/1000 | 손실: 0.4233 | 학습: 84.9% | 검증: 81.6% | lr: 2.00e-03 | 0.4s ★
  에폭  89/1000 | 손실: 0.4244 | 학습: 84.4% | 검증: 80.5% | lr: 2.00e-03 | 0.4s
  에폭  90/1000 | 손실: 0.4290 | 학습: 84.6% | 검증: 80.6% | lr: 2.00e-03 | 0.3s
  에폭  91/1000 | 손실: 0.4255 | 학습: 84.3% | 검증: 81.0% | lr: 2.00e-03 | 0.3s
  에폭  92/1000 | 손실: 0.4284 | 학습: 84.6% | 검증: 80.5% | lr: 2.00e-03 | 0.3s
  에폭  93/1000 | 손실: 0.4257 | 학습: 84.8% | 검증: 81.0% | lr: 2.00e-03 | 0.4s
  에폭  94/1000 | 손실: 0.4200 | 학습: 84.1% | 검증: 80.3% | lr: 2.00e-03 | 0.4s
  에폭  95/1000 | 손실: 0.4253 | 학습: 84.3% | 검증: 80.3% | lr: 2.00e-03 | 0.4s
  에폭  96/1000 | 손실: 0.4264 | 학습: 84.5% | 검증: 80.9% | lr: 2.00e-03 | 0.4s
  에폭  97/1000 | 손실: 0.4236 | 학습: 84.3% | 검증: 80.6% | lr: 2.00e-03 | 0.4s
  에폭  98/1000 | 손실: 0.4226 | 학습: 84.9% | 검증: 80.8% | lr: 2.00e-03 | 0.4s
  에폭  99/1000 | 손실: 0.4179 | 학습: 84.8% | 검증: 80.9% | lr: 2.00e-03 | 0.4s
  에폭 100/1000 | 손실: 0.4140 | 학습: 85.0% | 검증: 80.5% | lr: 2.00e-03 | 0.4s
  에폭 101/1000 | 손실: 0.4158 | 학습: 84.9% | 검증: 80.5% | lr: 2.00e-03 | 0.3s
  에폭 102/1000 | 손실: 0.4184 | 학습: 85.1% | 검증: 81.0% | lr: 2.00e-03 | 0.4s
  에폭 103/1000 | 손실: 0.4202 | 학습: 84.7% | 검증: 80.8% | lr: 2.00e-03 | 0.4s
  에폭 104/1000 | 손실: 0.4240 | 학습: 85.0% | 검증: 80.9% | lr: 2.00e-03 | 0.3s
  에폭 105/1000 | 손실: 0.4204 | 학습: 85.4% | 검증: 81.1% | lr: 2.00e-03 | 0.4s
  에폭 106/1000 | 손실: 0.4172 | 학습: 85.0% | 검증: 80.8% | lr: 2.00e-03 | 0.4s
