[MLP]   svm_data_20260507_133636.csv                       24741샘플
[MLP] CSV 로드  →  총 24741샘플
[MLP] 로드 완료 | 전체: 24741개  (배경: 12371, 사람: 12370)
[MLP] 특징 모드: PC-ADC재계산 (25개)
[MLP] 학습: 19792개 (80%)  검증: 4949개 (20%)  [비율고정: 유지 | 분리시드: 42]
[MLP] 스케일러: StandardScaler (z-score)
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
[MLP]  디바이스: cpu
[MLP]  구조: 25 → 128 → 64 → 32 → 2
[MLP]  에폭: 1500  배치: 128  LR: 2.00e-03  Dropout: 0.3
[MLP]  Early Stop: 비활성화
[MLP]  LR 스케줄러: patience=50  factor=0.5  min_lr=1e-6
[MLP]  검증 비율: 20%  분리 비율고정: 유지  분리 시드: 42
[MLP]  스케일러: StandardScaler  특징 모드: PC-ADC재계산
[MLP]  사용 특징 (25개): magnitudes_1, magnitudes_2, magnitudes_3, magnitudes_4, magnitudes_5, magnitudes_6, magnitudes_7, magnitudes_8, magnitudes_9, magnitudes_10, magnitudes_11, magnitudes_12, magnitudes_13, magnitudes_14, magnitudes_15, peak_freq, peak_mag, std_mag, centroid, low_energy, mid_energy, rms, low_ratio, spectral_entropy, peak_to_mean
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  에폭   1/1500 | 손실: 0.6010 | 학습: 66.1% | 검증: 65.1% | lr: 2.00e-03 | 0.4s ★
  에폭   2/1500 | 손실: 0.5838 | 학습: 66.9% | 검증: 65.7% | lr: 2.00e-03 | 0.4s ★
  에폭   3/1500 | 손실: 0.5775 | 학습: 67.9% | 검증: 66.2% | lr: 2.00e-03 | 0.4s ★
  에폭   4/1500 | 손실: 0.5698 | 학습: 68.4% | 검증: 66.7% | lr: 2.00e-03 | 0.4s ★
  에폭   5/1500 | 손실: 0.5644 | 학습: 69.7% | 검증: 68.5% | lr: 2.00e-03 | 0.4s ★
  에폭   6/1500 | 손실: 0.5604 | 학습: 70.5% | 검증: 69.6% | lr: 2.00e-03 | 0.4s ★
  에폭   7/1500 | 손실: 0.5499 | 학습: 69.4% | 검증: 68.4% | lr: 2.00e-03 | 0.4s
  에폭   8/1500 | 손실: 0.5426 | 학습: 71.5% | 검증: 70.6% | lr: 2.00e-03 | 0.4s ★
  에폭   9/1500 | 손실: 0.5334 | 학습: 73.0% | 검증: 71.7% | lr: 2.00e-03 | 0.4s ★
  에폭  10/1500 | 손실: 0.5248 | 학습: 72.9% | 검증: 71.4% | lr: 2.00e-03 | 0.4s
  에폭  11/1500 | 손실: 0.5176 | 학습: 74.6% | 검증: 73.5% | lr: 2.00e-03 | 0.4s ★
  에폭  12/1500 | 손실: 0.5127 | 학습: 75.2% | 검증: 73.9% | lr: 2.00e-03 | 0.4s ★
  에폭  13/1500 | 손실: 0.5096 | 학습: 74.9% | 검증: 73.7% | lr: 2.00e-03 | 0.4s
  에폭  14/1500 | 손실: 0.5036 | 학습: 77.2% | 검증: 75.5% | lr: 2.00e-03 | 0.4s ★
  에폭  15/1500 | 손실: 0.4994 | 학습: 76.6% | 검증: 75.6% | lr: 2.00e-03 | 0.4s ★
  에폭  16/1500 | 손실: 0.4908 | 학습: 77.5% | 검증: 76.2% | lr: 2.00e-03 | 0.4s ★
  에폭  17/1500 | 손실: 0.4857 | 학습: 78.3% | 검증: 76.8% | lr: 2.00e-03 | 0.4s ★
  에폭  18/1500 | 손실: 0.4860 | 학습: 78.6% | 검증: 77.2% | lr: 2.00e-03 | 0.4s ★
