[MLP]   svm_data_20260507_133636.csv                       24741샘플
[MLP] CSV 로드  →  총 24741샘플
[MLP] 로드 완료 | 전체: 24741개  (배경: 12371, 사람: 12370)
[MLP] 특징 모드: ESP32 (21개)
[MLP] 학습: 19792개 (80%)  검증: 4949개 (20%)  [비율고정: 유지 | 분리시드: 42]
[MLP] 스케일러: StandardScaler (z-score)
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
[MLP]  디바이스: cpu
[MLP]  구조: 21 → 128 → 64 → 32 → 2
[MLP]  에폭: 3000  배치: 128  LR: 5.00e-04  Dropout: 0.3
[MLP]  Early Stop: 비활성화
[MLP]  LR 스케줄러: patience=50  factor=0.9  min_lr=1e-6
[MLP]  검증 비율: 20%  분리 비율고정: 유지  분리 시드: 42
[MLP]  스케일러: StandardScaler  특징 모드: ESP32
[MLP]  사용 특징 (21개): SPECTRAL_ROLLOFF, SPECTRAL_BANDWIDTH, PEAK_COUNT, MID_RATIO, LOW_TO_HIGH_RATIO, SECOND_PEAK_FREQ, KURTOSIS, CENTROID, PEAK_FREQ, LOW_RATIO, RMS, AVG_ENERGY, PEAK_ENERGY, ENERGY_VARIANCE, PEAK_TO_AVG_E, HIGH_RATIO, PEAK1_TO_PEAK2_RATIO, SKEWNESS, DC_RATIO, DELTA_PEAK_FREQ, SPECTRAL_FLATNESS
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  에폭   1/3000 | 손실: 0.6114 | 학습: 64.9% | 검증: 63.9% | lr: 5.00e-04 | 0.4s ★
  에폭   2/3000 | 손실: 0.5901 | 학습: 66.5% | 검증: 64.4% | lr: 5.00e-04 | 0.5s ★
  에폭   3/3000 | 손실: 0.5836 | 학습: 67.1% | 검증: 65.1% | lr: 5.00e-04 | 0.4s ★
  에폭   4/3000 | 손실: 0.5815 | 학습: 68.1% | 검증: 66.1% | lr: 5.00e-04 | 0.4s ★
  에폭   5/3000 | 손실: 0.5782 | 학습: 68.1% | 검증: 65.9% | lr: 5.00e-04 | 0.4s
  에폭   6/3000 | 손실: 0.5743 | 학습: 68.8% | 검증: 67.0% | lr: 5.00e-04 | 0.4s ★
  에폭   7/3000 | 손실: 0.5718 | 학습: 68.5% | 검증: 66.3% | lr: 5.00e-04 | 0.4s
  에폭   8/3000 | 손실: 0.5687 | 학습: 69.4% | 검증: 67.3% | lr: 5.00e-04 | 0.4s ★
  에폭   9/3000 | 손실: 0.5662 | 학습: 69.7% | 검증: 67.5% | lr: 5.00e-04 | 0.4s ★
  에폭  10/3000 | 손실: 0.5627 | 학습: 69.8% | 검증: 67.3% | lr: 5.00e-04 | 0.4s
  에폭  11/3000 | 손실: 0.5595 | 학습: 70.5% | 검증: 67.5% | lr: 5.00e-04 | 0.4s ★
  에폭  12/3000 | 손실: 0.5568 | 학습: 69.9% | 검증: 68.1% | lr: 5.00e-04 | 0.4s ★
  에폭  13/3000 | 손실: 0.5560 | 학습: 71.2% | 검증: 68.0% | lr: 5.00e-04 | 0.4s
  에폭  14/3000 | 손실: 0.5519 | 학습: 71.4% | 검증: 68.6% | lr: 5.00e-04 | 0.4s ★
  에폭  15/3000 | 손실: 0.5516 | 학습: 71.6% | 검증: 68.7% | lr: 5.00e-04 | 0.4s ★
  에폭  16/3000 | 손실: 0.5495 | 학습: 71.8% | 검증: 69.0% | lr: 5.00e-04 | 0.4s ★
  에폭  17/3000 | 손실: 0.5494 | 학습: 71.8% | 검증: 69.2% | lr: 5.00e-04 | 0.4s ★
  에폭  18/3000 | 손실: 0.5436 | 학습: 72.3% | 검증: 69.5% | lr: 5.00e-04 | 0.4s ★
  에폭  19/3000 | 손실: 0.5411 | 학습: 72.9% | 검증: 69.9% | lr: 5.00e-04 | 0.4s ★
  에폭  20/3000 | 손실: 0.5412 | 학습: 73.1% | 검증: 70.3% | lr: 5.00e-04 | 0.4s ★
  에폭  21/3000 | 손실: 0.5391 | 학습: 73.2% | 검증: 70.7% | lr: 5.00e-04 | 0.4s ★
  에폭  22/3000 | 손실: 0.5386 | 학습: 73.4% | 검증: 70.9% | lr: 5.00e-04 | 0.4s ★
  에폭  23/3000 | 손실: 0.5363 | 학습: 73.8% | 검증: 71.4% | lr: 5.00e-04 | 0.4s ★
  에폭  24/3000 | 손실: 0.5317 | 학습: 74.2% | 검증: 71.9% | lr: 5.00e-04 | 0.4s ★
  에폭  25/3000 | 손실: 0.5289 | 학습: 74.1% | 검증: 71.4% | lr: 5.00e-04 | 0.4s
  에폭  26/3000 | 손실: 0.5323 | 학습: 74.0% | 검증: 71.5% | lr: 5.00e-04 | 0.4s
  에폭  27/3000 | 손실: 0.5286 | 학습: 74.2% | 검증: 71.5% | lr: 5.00e-04 | 0.4s
  에폭  28/3000 | 손실: 0.5263 | 학습: 74.9% | 검증: 71.7% | lr: 5.00e-04 | 0.4s
  에폭  29/3000 | 손실: 0.5240 | 학습: 75.0% | 검증: 71.7% | lr: 5.00e-04 | 0.4s
  에폭  30/3000 | 손실: 0.5243 | 학습: 74.8% | 검증: 72.3% | lr: 5.00e-04 | 0.4s ★
  에폭  31/3000 | 손실: 0.5201 | 학습: 75.8% | 검증: 72.4% | lr: 5.00e-04 | 0.4s ★
  에폭  32/3000 | 손실: 0.5186 | 학습: 75.2% | 검증: 72.4% | lr: 5.00e-04 | 0.4s ★
  에폭  33/3000 | 손실: 0.5205 | 학습: 75.7% | 검증: 72.6% | lr: 5.00e-04 | 0.4s ★
  에폭  34/3000 | 손실: 0.5167 | 학습: 75.3% | 검증: 72.7% | lr: 5.00e-04 | 0.4s ★
  에폭  35/3000 | 손실: 0.5149 | 학습: 76.1% | 검증: 72.7% | lr: 5.00e-04 | 0.4s
  에폭  36/3000 | 손실: 0.5135 | 학습: 76.2% | 검증: 73.2% | lr: 5.00e-04 | 0.4s ★
  에폭  37/3000 | 손실: 0.5122 | 학습: 76.8% | 검증: 73.3% | lr: 5.00e-04 | 0.4s ★
  에폭  38/3000 | 손실: 0.5097 | 학습: 76.5% | 검증: 73.2% | lr: 5.00e-04 | 0.4s
  에폭  39/3000 | 손실: 0.5106 | 학습: 76.4% | 검증: 72.9% | lr: 5.00e-04 | 0.4s
  에폭  40/3000 | 손실: 0.5048 | 학습: 76.5% | 검증: 73.6% | lr: 5.00e-04 | 0.4s ★
  에폭  41/3000 | 손실: 0.5078 | 학습: 76.9% | 검증: 73.5% | lr: 5.00e-04 | 0.4s
  에폭  42/3000 | 손실: 0.5050 | 학습: 76.7% | 검증: 73.2% | lr: 5.00e-04 | 0.4s
  에폭  43/3000 | 손실: 0.5004 | 학습: 76.6% | 검증: 73.3% | lr: 5.00e-04 | 0.4s
  에폭  44/3000 | 손실: 0.5051 | 학습: 77.2% | 검증: 74.0% | lr: 5.00e-04 | 0.4s ★
  에폭  45/3000 | 손실: 0.5017 | 학습: 76.8% | 검증: 74.2% | lr: 5.00e-04 | 0.4s ★
  에폭  46/3000 | 손실: 0.5008 | 학습: 77.6% | 검증: 74.4% | lr: 5.00e-04 | 0.4s ★
  에폭  47/3000 | 손실: 0.4993 | 학습: 77.8% | 검증: 74.1% | lr: 5.00e-04 | 0.4s
  에폭  48/3000 | 손실: 0.4959 | 학습: 76.9% | 검증: 74.0% | lr: 5.00e-04 | 0.4s
  에폭  49/3000 | 손실: 0.4970 | 학습: 78.1% | 검증: 74.7% | lr: 5.00e-04 | 0.4s ★
  에폭  50/3000 | 손실: 0.4939 | 학습: 78.4% | 검증: 74.7% | lr: 5.00e-04 | 0.4s
  에폭  51/3000 | 손실: 0.4950 | 학습: 78.5% | 검증: 75.0% | lr: 5.00e-04 | 0.4s ★
  에폭  52/3000 | 손실: 0.4927 | 학습: 78.4% | 검증: 74.9% | lr: 5.00e-04 | 0.4s
  에폭  53/3000 | 손실: 0.4896 | 학습: 78.6% | 검증: 75.4% | lr: 5.00e-04 | 0.4s ★
  에폭  54/3000 | 손실: 0.4877 | 학습: 78.6% | 검증: 75.4% | lr: 5.00e-04 | 0.4s
  에폭  55/3000 | 손실: 0.4870 | 학습: 78.6% | 검증: 75.0% | lr: 5.00e-04 | 0.4s
  에폭  56/3000 | 손실: 0.4898 | 학습: 79.0% | 검증: 75.3% | lr: 5.00e-04 | 0.4s
  에폭  57/3000 | 손실: 0.4873 | 학습: 78.7% | 검증: 75.3% | lr: 5.00e-04 | 0.4s
  에폭  58/3000 | 손실: 0.4846 | 학습: 78.8% | 검증: 74.8% | lr: 5.00e-04 | 0.4s
  에폭  59/3000 | 손실: 0.4822 | 학습: 79.2% | 검증: 75.6% | lr: 5.00e-04 | 0.4s ★
  에폭  60/3000 | 손실: 0.4805 | 학습: 79.5% | 검증: 75.9% | lr: 5.00e-04 | 0.4s ★
  에폭  61/3000 | 손실: 0.4813 | 학습: 78.8% | 검증: 75.6% | lr: 5.00e-04 | 0.4s
  에폭  62/3000 | 손실: 0.4824 | 학습: 79.6% | 검증: 76.0% | lr: 5.00e-04 | 0.4s ★
  에폭  63/3000 | 손실: 0.4793 | 학습: 80.0% | 검증: 76.0% | lr: 5.00e-04 | 0.4s
  에폭  64/3000 | 손실: 0.4788 | 학습: 79.3% | 검증: 76.3% | lr: 5.00e-04 | 0.4s ★
  에폭  65/3000 | 손실: 0.4813 | 학습: 80.0% | 검증: 76.5% | lr: 5.00e-04 | 0.4s ★
  에폭  66/3000 | 손실: 0.4760 | 학습: 79.7% | 검증: 75.9% | lr: 5.00e-04 | 0.4s
  에폭  67/3000 | 손실: 0.4771 | 학습: 80.2% | 검증: 76.6% | lr: 5.00e-04 | 0.4s ★
  에폭  68/3000 | 손실: 0.4704 | 학습: 80.0% | 검증: 76.6% | lr: 5.00e-04 | 0.4s ★
  에폭  69/3000 | 손실: 0.4744 | 학습: 80.2% | 검증: 76.5% | lr: 5.00e-04 | 0.4s
  에폭  70/3000 | 손실: 0.4711 | 학습: 80.3% | 검증: 76.6% | lr: 5.00e-04 | 0.4s
  에폭  71/3000 | 손실: 0.4721 | 학습: 80.6% | 검증: 76.7% | lr: 5.00e-04 | 0.4s ★
  에폭  72/3000 | 손실: 0.4697 | 학습: 80.5% | 검증: 76.4% | lr: 5.00e-04 | 0.4s
  에폭  73/3000 | 손실: 0.4671 | 학습: 80.3% | 검증: 76.7% | lr: 5.00e-04 | 0.4s
  에폭  74/3000 | 손실: 0.4662 | 학습: 81.2% | 검증: 76.9% | lr: 5.00e-04 | 0.4s ★
  에폭  75/3000 | 손실: 0.4685 | 학습: 80.9% | 검증: 76.9% | lr: 5.00e-04 | 0.4s
  에폭  76/3000 | 손실: 0.4647 | 학습: 80.2% | 검증: 76.7% | lr: 5.00e-04 | 0.4s
  에폭  77/3000 | 손실: 0.4630 | 학습: 80.8% | 검증: 76.8% | lr: 5.00e-04 | 0.4s
  에폭  78/3000 | 손실: 0.4617 | 학습: 80.9% | 검증: 76.6% | lr: 5.00e-04 | 0.4s
  에폭  79/3000 | 손실: 0.4617 | 학습: 81.5% | 검증: 77.0% | lr: 5.00e-04 | 0.4s ★
  에폭  80/3000 | 손실: 0.4591 | 학습: 81.5% | 검증: 77.1% | lr: 5.00e-04 | 0.4s ★
  에폭  81/3000 | 손실: 0.4577 | 학습: 80.7% | 검증: 76.7% | lr: 5.00e-04 | 0.4s
  에폭  82/3000 | 손실: 0.4588 | 학습: 81.1% | 검증: 77.2% | lr: 5.00e-04 | 0.4s ★
  에폭  83/3000 | 손실: 0.4612 | 학습: 81.3% | 검증: 76.9% | lr: 5.00e-04 | 0.4s
  에폭  84/3000 | 손실: 0.4554 | 학습: 82.3% | 검증: 78.1% | lr: 5.00e-04 | 0.4s ★
  에폭  85/3000 | 손실: 0.4564 | 학습: 81.3% | 검증: 77.6% | lr: 5.00e-04 | 0.4s
  에폭  86/3000 | 손실: 0.4553 | 학습: 81.7% | 검증: 77.6% | lr: 5.00e-04 | 0.4s
  에폭  87/3000 | 손실: 0.4561 | 학습: 81.7% | 검증: 77.7% | lr: 5.00e-04 | 0.4s
  에폭  88/3000 | 손실: 0.4549 | 학습: 81.7% | 검증: 77.8% | lr: 5.00e-04 | 0.4s
  에폭  89/3000 | 손실: 0.4485 | 학습: 82.2% | 검증: 78.0% | lr: 5.00e-04 | 0.4s
  에폭  90/3000 | 손실: 0.4500 | 학습: 82.4% | 검증: 78.3% | lr: 5.00e-04 | 0.4s ★
  에폭  91/3000 | 손실: 0.4533 | 학습: 82.2% | 검증: 78.0% | lr: 5.00e-04 | 0.4s
  에폭  92/3000 | 손실: 0.4500 | 학습: 82.6% | 검증: 77.7% | lr: 5.00e-04 | 0.4s
  에폭  93/3000 | 손실: 0.4478 | 학습: 82.7% | 검증: 78.2% | lr: 5.00e-04 | 0.4s
  에폭  94/3000 | 손실: 0.4477 | 학습: 82.7% | 검증: 78.6% | lr: 5.00e-04 | 0.4s ★
  에폭  95/3000 | 손실: 0.4555 | 학습: 82.0% | 검증: 77.8% | lr: 5.00e-04 | 0.4s
  에폭  96/3000 | 손실: 0.4496 | 학습: 83.0% | 검증: 78.7% | lr: 5.00e-04 | 0.4s ★
  에폭  97/3000 | 손실: 0.4465 | 학습: 82.9% | 검증: 78.6% | lr: 5.00e-04 | 0.4s
  에폭  98/3000 | 손실: 0.4454 | 학습: 83.1% | 검증: 78.6% | lr: 5.00e-04 | 0.4s
  에폭  99/3000 | 손실: 0.4454 | 학습: 82.8% | 검증: 78.3% | lr: 5.00e-04 | 0.4s
  에폭 100/3000 | 손실: 0.4452 | 학습: 82.8% | 검증: 78.5% | lr: 5.00e-04 | 0.4s
  에폭 101/3000 | 손실: 0.4431 | 학습: 82.5% | 검증: 78.3% | lr: 5.00e-04 | 0.4s
  에폭 102/3000 | 손실: 0.4427 | 학습: 83.5% | 검증: 78.9% | lr: 5.00e-04 | 0.4s ★
  에폭 103/3000 | 손실: 0.4443 | 학습: 82.8% | 검증: 78.3% | lr: 5.00e-04 | 0.4s
  에폭 104/3000 | 손실: 0.4425 | 학습: 82.8% | 검증: 79.0% | lr: 5.00e-04 | 0.4s ★
  에폭 105/3000 | 손실: 0.4400 | 학습: 83.2% | 검증: 79.2% | lr: 5.00e-04 | 0.4s ★
  에폭 106/3000 | 손실: 0.4409 | 학습: 83.0% | 검증: 79.0% | lr: 5.00e-04 | 0.4s
  에폭 107/3000 | 손실: 0.4356 | 학습: 83.4% | 검증: 79.1% | lr: 5.00e-04 | 0.4s
  에폭 108/3000 | 손실: 0.4358 | 학습: 82.8% | 검증: 78.4% | lr: 5.00e-04 | 0.4s
  에폭 109/3000 | 손실: 0.4379 | 학습: 83.9% | 검증: 79.4% | lr: 5.00e-04 | 0.4s ★
  에폭 110/3000 | 손실: 0.4358 | 학습: 83.6% | 검증: 78.7% | lr: 5.00e-04 | 0.4s
  에폭 111/3000 | 손실: 0.4322 | 학습: 83.4% | 검증: 79.0% | lr: 5.00e-04 | 0.4s
  에폭 112/3000 | 손실: 0.4386 | 학습: 83.2% | 검증: 79.2% | lr: 5.00e-04 | 0.4s
