# ══════════════════════════════════════════════════════════
#  MLP 학습 로그  [v3.0-b]  (터미널 출력 재구성)
#  파일: mlp_L128-64-32_ep200_lr5e-04_0422_0057.log
# ══════════════════════════════════════════════════════════

[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
[MLP]  구조: 25 → 128 → 64 → 32 → 2
[MLP]  에폭: 200  배치: 16  LR: 5e-04  Dropout: 0.3
[MLP]  학습 일시: 2026-04-22 00:57  (타임스탬프 0422_0057)
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━

  에폭  10/200 | 손실: 0.2590 | 학습: 96.1% | 검증: 95.8% | lr: 5.00e-04
  에폭  20/200 | 손실: 0.2031 | 학습: 98.5% | 검증: 97.9% | lr: 5.00e-04
  에폭  30/200 | 손실: 0.1750 | 학습: 98.8% | 검증: 98.1% | lr: 5.00e-04
  에폭  40/200 | 손실: 0.1653 | 학습: 99.2% | 검증: 98.7% | lr: 5.00e-04
  에폭  50/200 | 손실: 0.1519 | 학습: 99.2% | 검증: 98.6% | lr: 5.00e-04
  에폭  60/200 | 손실: 0.1525 | 학습: 99.3% | 검증: 98.7% | lr: 5.00e-04
  에폭  70/200 | 손실: 0.1437 | 학습: 99.5% | 검증: 99.0% | lr: 5.00e-04
  에폭  80/200 | 손실: 0.1387 | 학습: 99.7% | 검증: 99.2% | lr: 5.00e-04
  에폭  90/200 | 손실: 0.1181 | 학습: 99.8% | 검증: 99.2% | lr: 5.00e-04
  에폭 100/200 | 손실: 0.1129 | 학습: 99.7% | 검증: 99.3% | lr: 5.00e-04
  에폭 110/200 | 손실: 0.1191 | 학습: 99.8% | 검증: 99.5% | lr: 5.00e-04
  에폭 120/200 | 손실: 0.1054 | 학습: 99.8% | 검증: 99.5% | lr: 5.00e-04
  에폭 130/200 | 손실: 0.1028 | 학습: 99.8% | 검증: 99.5% | lr: 5.00e-04
  에폭 140/200 | 손실: 0.1010 | 학습: 99.9% | 검증: 99.5% | lr: 5.00e-04
  에폭 150/200 | 손실: 0.1063 | 학습: 99.9% | 검증: 99.5% | lr: 5.00e-04
  에폭 160/200 | 손실: 0.0978 | 학습: 99.9% | 검증: 99.5% | lr: 5.00e-04
  에폭 170/200 | 손실: 0.0985 | 학습: 99.9% | 검증: 99.5% | lr: 5.00e-04
  에폭 180/200 | 손실: 0.0978 | 학습: 99.8% | 검증: 99.5% | lr: 5.00e-04
  에폭 190/200 | 손실: 0.1006 | 학습: 99.9% | 검증: 99.5% | lr: 5.00e-04
  에폭 200/200 | 손실: 0.0927 | 학습: 99.9% | 검증: 99.5% | lr: 5.00e-04

[MLP] ✅ 학습 완료 | [128 → 64 → 32] | 최고 검증 정확도: 99.6%

# ──────────────────────────────────────────────────────
# 모델 파일 : AI/models/mlp_L128-64-32_ep200_lr5e-04_0422_0057.pt
# 결과 이미지: AI/results/mlp_L128-64-32_ep200_lr5e-04_dp3_acc99.6_0422_00*.png
