[MLP]   svm_data_20260507_133636.csv                       24741샘플
[MLP] CSV 로드  →  총 24741샘플
[MLP] 로드 완료 | 전체: 24741개  (배경: 12371, 사람: 12370)
[MLP] 특징 모드: ESP32 (14개)
[MLP] 학습: 19792개 (80%)  검증: 4949개 (20%)  [비율고정: 유지 | 분리시드: 42]
[MLP] 스케일러: StandardScaler (z-score)
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
[MLP]  디바이스: cpu
[MLP]  구조: 14 → 64 → 32 → 2
[MLP]  에폭: 1000  배치: 64  LR: 1.00e-03  Dropout: 0.3
[MLP]  Early Stop: 비활성화
[MLP]  LR 스케줄러: patience=50  factor=0.5  min_lr=1e-6
[MLP]  검증 비율: 20%  분리 비율고정: 유지  분리 시드: 42
[MLP]  스케일러: StandardScaler  특징 모드: ESP32
[MLP]  사용 특징 (14개): SPECTRAL_BANDWIDTH, PEAK_COUNT, MID_RATIO, SECOND_PEAK_FREQ, KURTOSIS, CENTROID, PEAK_FREQ, LOW_RATIO, RMS, PEAK_TO_AVG_E, HIGH_RATIO, PEAK1_TO_PEAK2_RATIO, SKEWNESS, SPECTRAL_FLATNESS
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  에폭   1/1000 | 손실: 0.6057 | 학습: 66.5% | 검증: 64.6% | lr: 1.00e-03 | 0.5s ★
  에폭   2/1000 | 손실: 0.5927 | 학습: 66.7% | 검증: 65.3% | lr: 1.00e-03 | 0.5s ★
  에폭   3/1000 | 손실: 0.5885 | 학습: 67.5% | 검증: 66.0% | lr: 1.00e-03 | 0.5s ★
  에폭   4/1000 | 손실: 0.5823 | 학습: 68.2% | 검증: 66.0% | lr: 1.00e-03 | 0.5s
  에폭   5/1000 | 손실: 0.5824 | 학습: 68.7% | 검증: 66.6% | lr: 1.00e-03 | 0.5s ★
  에폭   6/1000 | 손실: 0.5782 | 학습: 68.5% | 검증: 66.5% | lr: 1.00e-03 | 0.5s
  에폭   7/1000 | 손실: 0.5766 | 학습: 69.3% | 검증: 66.9% | lr: 1.00e-03 | 0.5s ★
  에폭   8/1000 | 손실: 0.5746 | 학습: 69.0% | 검증: 66.8% | lr: 1.00e-03 | 0.5s
  에폭   9/1000 | 손실: 0.5719 | 학습: 69.3% | 검증: 66.9% | lr: 1.00e-03 | 0.5s
  에폭  10/1000 | 손실: 0.5731 | 학습: 69.5% | 검증: 67.7% | lr: 1.00e-03 | 0.5s ★
  에폭  11/1000 | 손실: 0.5707 | 학습: 69.4% | 검증: 67.2% | lr: 1.00e-03 | 0.5s
  에폭  12/1000 | 손실: 0.5696 | 학습: 69.3% | 검증: 67.7% | lr: 1.00e-03 | 0.5s
  에폭  13/1000 | 손실: 0.5679 | 학습: 69.8% | 검증: 67.5% | lr: 1.00e-03 | 0.5s
  에폭  14/1000 | 손실: 0.5635 | 학습: 69.8% | 검증: 67.3% | lr: 1.00e-03 | 0.5s
  에폭  15/1000 | 손실: 0.5619 | 학습: 70.2% | 검증: 67.8% | lr: 1.00e-03 | 0.5s ★
  에폭  16/1000 | 손실: 0.5621 | 학습: 70.2% | 검증: 68.5% | lr: 1.00e-03 | 0.5s ★
  에폭  17/1000 | 손실: 0.5625 | 학습: 70.7% | 검증: 68.2% | lr: 1.00e-03 | 0.6s
  에폭  18/1000 | 손실: 0.5602 | 학습: 70.3% | 검증: 68.0% | lr: 1.00e-03 | 0.5s
  에폭  19/1000 | 손실: 0.5593 | 학습: 71.2% | 검증: 68.6% | lr: 1.00e-03 | 0.6s ★
  에폭  20/1000 | 손실: 0.5567 | 학습: 70.8% | 검증: 68.9% | lr: 1.00e-03 | 0.5s ★
  에폭  21/1000 | 손실: 0.5571 | 학습: 71.8% | 검증: 69.3% | lr: 1.00e-03 | 0.5s ★
  에폭  22/1000 | 손실: 0.5547 | 학습: 71.9% | 검증: 68.7% | lr: 1.00e-03 | 0.5s
  에폭  23/1000 | 손실: 0.5538 | 학습: 71.6% | 검증: 69.5% | lr: 1.00e-03 | 0.6s ★
  에폭  24/1000 | 손실: 0.5537 | 학습: 71.9% | 검증: 69.0% | lr: 1.00e-03 | 0.5s
  에폭  25/1000 | 손실: 0.5516 | 학습: 72.2% | 검증: 69.9% | lr: 1.00e-03 | 0.5s ★
  에폭  26/1000 | 손실: 0.5491 | 학습: 72.5% | 검증: 70.4% | lr: 1.00e-03 | 0.5s ★
  에폭  27/1000 | 손실: 0.5490 | 학습: 72.3% | 검증: 69.7% | lr: 1.00e-03 | 0.5s
  에폭  28/1000 | 손실: 0.5479 | 학습: 72.4% | 검증: 69.9% | lr: 1.00e-03 | 0.5s
  에폭  29/1000 | 손실: 0.5471 | 학습: 72.5% | 검증: 70.1% | lr: 1.00e-03 | 0.5s
  에폭  30/1000 | 손실: 0.5462 | 학습: 72.7% | 검증: 70.5% | lr: 1.00e-03 | 0.5s ★
  에폭  31/1000 | 손실: 0.5477 | 학습: 72.6% | 검증: 70.1% | lr: 1.00e-03 | 0.5s
  에폭  32/1000 | 손실: 0.5448 | 학습: 73.1% | 검증: 70.4% | lr: 1.00e-03 | 0.5s
  에폭  33/1000 | 손실: 0.5466 | 학습: 72.8% | 검증: 70.5% | lr: 1.00e-03 | 0.5s ★
  에폭  34/1000 | 손실: 0.5440 | 학습: 73.2% | 검증: 70.0% | lr: 1.00e-03 | 0.5s
  에폭  35/1000 | 손실: 0.5413 | 학습: 73.5% | 검증: 71.4% | lr: 1.00e-03 | 0.5s ★
  에폭  36/1000 | 손실: 0.5428 | 학습: 73.8% | 검증: 71.2% | lr: 1.00e-03 | 0.5s
  에폭  37/1000 | 손실: 0.5444 | 학습: 73.5% | 검증: 71.5% | lr: 1.00e-03 | 0.5s ★
  에폭  38/1000 | 손실: 0.5433 | 학습: 73.7% | 검증: 70.7% | lr: 1.00e-03 | 0.6s
  에폭  39/1000 | 손실: 0.5410 | 학습: 73.6% | 검증: 71.6% | lr: 1.00e-03 | 0.6s ★
  에폭  40/1000 | 손실: 0.5402 | 학습: 73.8% | 검증: 71.0% | lr: 1.00e-03 | 0.5s
  에폭  41/1000 | 손실: 0.5400 | 학습: 74.2% | 검증: 71.6% | lr: 1.00e-03 | 0.5s ★
  에폭  42/1000 | 손실: 0.5396 | 학습: 73.9% | 검증: 71.2% | lr: 1.00e-03 | 0.5s
  에폭  43/1000 | 손실: 0.5375 | 학습: 74.0% | 검증: 71.7% | lr: 1.00e-03 | 0.5s ★
  에폭  44/1000 | 손실: 0.5382 | 학습: 73.9% | 검증: 71.9% | lr: 1.00e-03 | 0.5s ★
  에폭  45/1000 | 손실: 0.5362 | 학습: 74.2% | 검증: 71.1% | lr: 1.00e-03 | 0.5s
  에폭  46/1000 | 손실: 0.5360 | 학습: 74.3% | 검증: 71.4% | lr: 1.00e-03 | 0.5s
  에폭  47/1000 | 손실: 0.5378 | 학습: 73.6% | 검증: 71.9% | lr: 1.00e-03 | 0.5s
  에폭  48/1000 | 손실: 0.5348 | 학습: 73.8% | 검증: 71.4% | lr: 1.00e-03 | 0.5s
  에폭  49/1000 | 손실: 0.5341 | 학습: 74.0% | 검증: 71.5% | lr: 1.00e-03 | 0.5s
  에폭  50/1000 | 손실: 0.5321 | 학습: 74.3% | 검증: 71.8% | lr: 1.00e-03 | 0.5s
  에폭  51/1000 | 손실: 0.5349 | 학습: 74.7% | 검증: 71.5% | lr: 1.00e-03 | 0.5s
  에폭  52/1000 | 손실: 0.5341 | 학습: 74.5% | 검증: 71.5% | lr: 1.00e-03 | 0.5s
  에폭  53/1000 | 손실: 0.5348 | 학습: 74.8% | 검증: 72.0% | lr: 1.00e-03 | 0.5s ★
  에폭  54/1000 | 손실: 0.5330 | 학습: 74.4% | 검증: 72.3% | lr: 1.00e-03 | 0.5s ★
  에폭  55/1000 | 손실: 0.5311 | 학습: 74.7% | 검증: 72.2% | lr: 1.00e-03 | 0.5s
  에폭  56/1000 | 손실: 0.5337 | 학습: 75.1% | 검증: 71.9% | lr: 1.00e-03 | 0.5s
  에폭  57/1000 | 손실: 0.5308 | 학습: 74.7% | 검증: 71.8% | lr: 1.00e-03 | 0.5s
  에폭  58/1000 | 손실: 0.5322 | 학습: 74.4% | 검증: 71.7% | lr: 1.00e-03 | 0.5s
  에폭  59/1000 | 손실: 0.5282 | 학습: 75.2% | 검증: 72.0% | lr: 1.00e-03 | 0.5s
  에폭  60/1000 | 손실: 0.5286 | 학습: 74.9% | 검증: 72.3% | lr: 1.00e-03 | 0.5s ★
  에폭  61/1000 | 손실: 0.5292 | 학습: 75.3% | 검증: 72.7% | lr: 1.00e-03 | 0.5s ★
  에폭  62/1000 | 손실: 0.5290 | 학습: 75.2% | 검증: 72.7% | lr: 1.00e-03 | 0.5s
  에폭  63/1000 | 손실: 0.5279 | 학습: 74.8% | 검증: 72.6% | lr: 1.00e-03 | 0.6s
  에폭  64/1000 | 손실: 0.5282 | 학습: 75.6% | 검증: 72.4% | lr: 1.00e-03 | 0.5s
  에폭  65/1000 | 손실: 0.5276 | 학습: 75.5% | 검증: 72.7% | lr: 1.00e-03 | 0.5s
  에폭  66/1000 | 손실: 0.5278 | 학습: 75.4% | 검증: 72.9% | lr: 1.00e-03 | 0.5s ★
  에폭  67/1000 | 손실: 0.5287 | 학습: 75.6% | 검증: 72.5% | lr: 1.00e-03 | 0.5s
  에폭  68/1000 | 손실: 0.5280 | 학습: 75.0% | 검증: 72.5% | lr: 1.00e-03 | 0.6s
  에폭  69/1000 | 손실: 0.5281 | 학습: 75.4% | 검증: 72.4% | lr: 1.00e-03 | 0.6s
  에폭  70/1000 | 손실: 0.5264 | 학습: 75.6% | 검증: 72.8% | lr: 1.00e-03 | 0.5s
  에폭  71/1000 | 손실: 0.5254 | 학습: 75.7% | 검증: 72.9% | lr: 1.00e-03 | 0.5s ★
  에폭  72/1000 | 손실: 0.5250 | 학습: 75.8% | 검증: 73.1% | lr: 1.00e-03 | 0.5s ★
  에폭  73/1000 | 손실: 0.5242 | 학습: 75.7% | 검증: 73.0% | lr: 1.00e-03 | 0.5s
  에폭  74/1000 | 손실: 0.5264 | 학습: 75.4% | 검증: 72.5% | lr: 1.00e-03 | 0.5s
  에폭  75/1000 | 손실: 0.5250 | 학습: 75.7% | 검증: 73.0% | lr: 1.00e-03 | 0.5s
  에폭  76/1000 | 손실: 0.5257 | 학습: 75.9% | 검증: 73.3% | lr: 1.00e-03 | 0.5s ★
  에폭  77/1000 | 손실: 0.5228 | 학습: 75.8% | 검증: 73.2% | lr: 1.00e-03 | 0.5s
  에폭  78/1000 | 손실: 0.5247 | 학습: 75.7% | 검증: 73.0% | lr: 1.00e-03 | 0.5s
  에폭  79/1000 | 손실: 0.5211 | 학습: 75.4% | 검증: 72.9% | lr: 1.00e-03 | 0.5s
  에폭  80/1000 | 손실: 0.5233 | 학습: 75.5% | 검증: 72.6% | lr: 1.00e-03 | 0.5s
  에폭  81/1000 | 손실: 0.5199 | 학습: 76.6% | 검증: 73.2% | lr: 1.00e-03 | 0.5s
  에폭  82/1000 | 손실: 0.5229 | 학습: 76.1% | 검증: 73.6% | lr: 1.00e-03 | 0.5s ★
  에폭  83/1000 | 손실: 0.5249 | 학습: 76.2% | 검증: 73.3% | lr: 1.00e-03 | 0.5s
  에폭  84/1000 | 손실: 0.5232 | 학습: 76.1% | 검증: 73.6% | lr: 1.00e-03 | 0.5s ★
  에폭  85/1000 | 손실: 0.5230 | 학습: 76.2% | 검증: 73.5% | lr: 1.00e-03 | 0.5s
  에폭  86/1000 | 손실: 0.5179 | 학습: 75.9% | 검증: 72.8% | lr: 1.00e-03 | 0.5s
  에폭  87/1000 | 손실: 0.5232 | 학습: 75.7% | 검증: 73.2% | lr: 1.00e-03 | 0.5s
  에폭  88/1000 | 손실: 0.5201 | 학습: 76.1% | 검증: 73.7% | lr: 1.00e-03 | 0.5s ★
  에폭  89/1000 | 손실: 0.5228 | 학습: 75.6% | 검증: 72.8% | lr: 1.00e-03 | 0.5s
  에폭  90/1000 | 손실: 0.5202 | 학습: 76.5% | 검증: 74.2% | lr: 1.00e-03 | 0.5s ★
  에폭  91/1000 | 손실: 0.5210 | 학습: 76.1% | 검증: 73.1% | lr: 1.00e-03 | 0.6s
  에폭  92/1000 | 손실: 0.5199 | 학습: 76.1% | 검증: 73.5% | lr: 1.00e-03 | 0.6s
  에폭  93/1000 | 손실: 0.5202 | 학습: 75.6% | 검증: 73.2% | lr: 1.00e-03 | 0.5s
  에폭  94/1000 | 손실: 0.5197 | 학습: 76.5% | 검증: 73.7% | lr: 1.00e-03 | 0.5s
  에폭  95/1000 | 손실: 0.5204 | 학습: 76.5% | 검증: 73.6% | lr: 1.00e-03 | 0.5s
  에폭  96/1000 | 손실: 0.5220 | 학습: 76.1% | 검증: 73.3% | lr: 1.00e-03 | 0.5s
  에폭  97/1000 | 손실: 0.5185 | 학습: 75.8% | 검증: 73.8% | lr: 1.00e-03 | 0.5s
  에폭  98/1000 | 손실: 0.5205 | 학습: 76.6% | 검증: 74.3% | lr: 1.00e-03 | 0.6s ★
  에폭  99/1000 | 손실: 0.5193 | 학습: 76.1% | 검증: 73.8% | lr: 1.00e-03 | 0.6s
  에폭 100/1000 | 손실: 0.5145 | 학습: 76.2% | 검증: 73.8% | lr: 1.00e-03 | 0.5s
  에폭 101/1000 | 손실: 0.5153 | 학습: 76.3% | 검증: 74.1% | lr: 1.00e-03 | 0.5s
  에폭 102/1000 | 손실: 0.5162 | 학습: 76.5% | 검증: 73.9% | lr: 1.00e-03 | 0.5s
  에폭 103/1000 | 손실: 0.5145 | 학습: 76.1% | 검증: 73.6% | lr: 1.00e-03 | 0.5s
  에폭 104/1000 | 손실: 0.5186 | 학습: 76.6% | 검증: 74.0% | lr: 1.00e-03 | 0.5s
  에폭 105/1000 | 손실: 0.5157 | 학습: 76.5% | 검증: 74.2% | lr: 1.00e-03 | 0.5s
  에폭 106/1000 | 손실: 0.5179 | 학습: 76.7% | 검증: 74.3% | lr: 1.00e-03 | 0.6s ★
  에폭 107/1000 | 손실: 0.5145 | 학습: 76.4% | 검증: 73.9% | lr: 1.00e-03 | 0.5s
  에폭 108/1000 | 손실: 0.5159 | 학습: 76.6% | 검증: 74.5% | lr: 1.00e-03 | 0.5s ★
  에폭 109/1000 | 손실: 0.5166 | 학습: 76.8% | 검증: 74.1% | lr: 1.00e-03 | 0.5s
  에폭 110/1000 | 손실: 0.5127 | 학습: 76.9% | 검증: 74.0% | lr: 1.00e-03 | 0.5s
  에폭 111/1000 | 손실: 0.5118 | 학습: 76.9% | 검증: 74.4% | lr: 1.00e-03 | 0.5s
  에폭 112/1000 | 손실: 0.5152 | 학습: 76.5% | 검증: 73.9% | lr: 1.00e-03 | 0.5s
  에폭 113/1000 | 손실: 0.5140 | 학습: 77.1% | 검증: 74.3% | lr: 1.00e-03 | 0.5s
  에폭 114/1000 | 손실: 0.5138 | 학습: 76.6% | 검증: 73.9% | lr: 1.00e-03 | 0.5s
  에폭 115/1000 | 손실: 0.5171 | 학습: 76.8% | 검증: 73.9% | lr: 1.00e-03 | 0.5s
  에폭 116/1000 | 손실: 0.5128 | 학습: 76.4% | 검증: 74.0% | lr: 1.00e-03 | 0.5s
  에폭 117/1000 | 손실: 0.5163 | 학습: 77.2% | 검증: 74.5% | lr: 1.00e-03 | 0.5s ★
  에폭 118/1000 | 손실: 0.5157 | 학습: 76.5% | 검증: 73.9% | lr: 1.00e-03 | 0.5s
  에폭 119/1000 | 손실: 0.5099 | 학습: 76.9% | 검증: 74.3% | lr: 1.00e-03 | 0.5s
  에폭 120/1000 | 손실: 0.5092 | 학습: 77.0% | 검증: 74.7% | lr: 1.00e-03 | 0.5s ★
  에폭 121/1000 | 손실: 0.5133 | 학습: 77.2% | 검증: 74.7% | lr: 1.00e-03 | 0.5s
  에폭 122/1000 | 손실: 0.5135 | 학습: 76.5% | 검증: 74.3% | lr: 1.00e-03 | 0.5s
  에폭 123/1000 | 손실: 0.5126 | 학습: 77.2% | 검증: 74.6% | lr: 1.00e-03 | 0.5s
  에폭 124/1000 | 손실: 0.5117 | 학습: 76.9% | 검증: 74.7% | lr: 1.00e-03 | 0.5s ★
  에폭 125/1000 | 손실: 0.5114 | 학습: 77.4% | 검증: 74.6% | lr: 1.00e-03 | 0.5s
  에폭 126/1000 | 손실: 0.5106 | 학습: 77.0% | 검증: 74.7% | lr: 1.00e-03 | 0.5s
  에폭 127/1000 | 손실: 0.5088 | 학습: 77.0% | 검증: 74.4% | lr: 1.00e-03 | 0.5s
  에폭 128/1000 | 손실: 0.5091 | 학습: 77.1% | 검증: 74.7% | lr: 1.00e-03 | 0.5s
  에폭 129/1000 | 손실: 0.5096 | 학습: 76.6% | 검증: 74.1% | lr: 1.00e-03 | 0.5s
  에폭 130/1000 | 손실: 0.5124 | 학습: 77.1% | 검증: 74.5% | lr: 1.00e-03 | 0.5s
  에폭 131/1000 | 손실: 0.5082 | 학습: 77.0% | 검증: 74.7% | lr: 1.00e-03 | 0.5s
  에폭 132/1000 | 손실: 0.5097 | 학습: 76.9% | 검증: 74.8% | lr: 1.00e-03 | 0.5s ★
  에폭 133/1000 | 손실: 0.5104 | 학습: 77.2% | 검증: 74.3% | lr: 1.00e-03 | 0.5s
  에폭 134/1000 | 손실: 0.5127 | 학습: 77.4% | 검증: 74.4% | lr: 1.00e-03 | 0.5s
  에폭 135/1000 | 손실: 0.5105 | 학습: 77.3% | 검증: 74.7% | lr: 1.00e-03 | 0.5s
  에폭 136/1000 | 손실: 0.5100 | 학습: 77.7% | 검증: 74.9% | lr: 1.00e-03 | 0.5s ★
  에폭 137/1000 | 손실: 0.5117 | 학습: 77.7% | 검증: 75.2% | lr: 1.00e-03 | 0.5s ★
  에폭 138/1000 | 손실: 0.5071 | 학습: 77.5% | 검증: 74.9% | lr: 1.00e-03 | 0.5s
  에폭 139/1000 | 손실: 0.5085 | 학습: 77.2% | 검증: 74.8% | lr: 1.00e-03 | 0.5s
  에폭 140/1000 | 손실: 0.5069 | 학습: 77.4% | 검증: 74.9% | lr: 1.00e-03 | 0.5s
  에폭 141/1000 | 손실: 0.5084 | 학습: 77.6% | 검증: 75.0% | lr: 1.00e-03 | 0.5s
  에폭 142/1000 | 손실: 0.5104 | 학습: 77.1% | 검증: 74.2% | lr: 1.00e-03 | 0.5s
  에폭 143/1000 | 손실: 0.5089 | 학습: 77.8% | 검증: 74.7% | lr: 1.00e-03 | 0.5s
  에폭 144/1000 | 손실: 0.5089 | 학습: 77.2% | 검증: 74.7% | lr: 1.00e-03 | 0.5s
  에폭 145/1000 | 손실: 0.5084 | 학습: 77.4% | 검증: 74.7% | lr: 1.00e-03 | 0.5s
  에폭 146/1000 | 손실: 0.5068 | 학습: 77.8% | 검증: 75.6% | lr: 1.00e-03 | 0.5s ★
  에폭 147/1000 | 손실: 0.5101 | 학습: 77.6% | 검증: 75.2% | lr: 1.00e-03 | 0.5s
  에폭 148/1000 | 손실: 0.5096 | 학습: 77.6% | 검증: 74.7% | lr: 1.00e-03 | 0.5s
  에폭 149/1000 | 손실: 0.5089 | 학습: 77.8% | 검증: 75.0% | lr: 1.00e-03 | 0.5s
