[MLP]   svm_data_20260507_133636.csv                       24741샘플
[MLP] CSV 로드  →  총 24741샘플
[MLP] 로드 완료 | 전체: 24741개  (배경: 12371, 사람: 12370)
[MLP] 특징 모드: ESP32 (16개)
[MLP] 학습: 19792개 (80%)  검증: 4949개 (20%)  [비율고정: 유지 | 분리시드: 42]
[MLP] 스케일러: StandardScaler (z-score)
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
[MLP]  디바이스: cpu
[MLP]  구조: 16 → 64 → 32 → 2
[MLP]  에폭: 1500  배치: 64  LR: 1.00e-03  Dropout: 0.3
[MLP]  Early Stop: 비활성화
[MLP]  LR 스케줄러: patience=50  factor=0.5  min_lr=1e-6
[MLP]  검증 비율: 20%  분리 비율고정: 유지  분리 시드: 42
[MLP]  스케일러: StandardScaler  특징 모드: ESP32
[MLP]  사용 특징 (16개): SPECTRAL_BANDWIDTH, PEAK_COUNT, MID_RATIO, SECOND_PEAK_FREQ, KURTOSIS, CENTROID, PEAK_FREQ, LOW_RATIO, RMS, AVG_ENERGY, PEAK_TO_AVG_E, HIGH_RATIO, PEAK1_TO_PEAK2_RATIO, SKEWNESS, DC_RATIO, SPECTRAL_FLATNESS
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  에폭   1/1500 | 손실: 0.6122 | 학습: 66.7% | 검증: 65.2% | lr: 1.00e-03 | 0.5s ★
  에폭   2/1500 | 손실: 0.5908 | 학습: 67.2% | 검증: 65.5% | lr: 1.00e-03 | 0.5s ★
  에폭   3/1500 | 손실: 0.5885 | 학습: 67.5% | 검증: 65.7% | lr: 1.00e-03 | 0.5s ★
  에폭   4/1500 | 손실: 0.5847 | 학습: 67.7% | 검증: 66.6% | lr: 1.00e-03 | 0.6s ★
  에폭   5/1500 | 손실: 0.5788 | 학습: 68.2% | 검증: 66.4% | lr: 1.00e-03 | 0.5s
  에폭   6/1500 | 손실: 0.5800 | 학습: 68.8% | 검증: 66.6% | lr: 1.00e-03 | 0.5s ★
  에폭   7/1500 | 손실: 0.5768 | 학습: 68.6% | 검증: 67.4% | lr: 1.00e-03 | 0.6s ★
  에폭   8/1500 | 손실: 0.5737 | 학습: 68.6% | 검증: 67.4% | lr: 1.00e-03 | 0.6s
  에폭   9/1500 | 손실: 0.5728 | 학습: 69.5% | 검증: 67.0% | lr: 1.00e-03 | 0.5s
  에폭  10/1500 | 손실: 0.5703 | 학습: 69.1% | 검증: 67.8% | lr: 1.00e-03 | 0.5s ★
  에폭  11/1500 | 손실: 0.5672 | 학습: 69.5% | 검증: 67.4% | lr: 1.00e-03 | 0.5s
  에폭  12/1500 | 손실: 0.5683 | 학습: 70.0% | 검증: 68.2% | lr: 1.00e-03 | 0.5s ★
  에폭  13/1500 | 손실: 0.5656 | 학습: 70.1% | 검증: 67.5% | lr: 1.00e-03 | 0.6s
  에폭  14/1500 | 손실: 0.5666 | 학습: 70.1% | 검증: 68.5% | lr: 1.00e-03 | 0.5s ★
  에폭  15/1500 | 손실: 0.5616 | 학습: 70.3% | 검증: 67.8% | lr: 1.00e-03 | 0.5s
  에폭  16/1500 | 손실: 0.5616 | 학습: 70.7% | 검증: 68.3% | lr: 1.00e-03 | 0.5s
  에폭  17/1500 | 손실: 0.5603 | 학습: 70.5% | 검증: 68.7% | lr: 1.00e-03 | 0.5s ★
  에폭  18/1500 | 손실: 0.5598 | 학습: 71.2% | 검증: 69.0% | lr: 1.00e-03 | 0.5s ★
  에폭  19/1500 | 손실: 0.5589 | 학습: 71.1% | 검증: 68.9% | lr: 1.00e-03 | 0.5s
  에폭  20/1500 | 손실: 0.5587 | 학습: 71.4% | 검증: 69.6% | lr: 1.00e-03 | 0.5s ★
  에폭  21/1500 | 손실: 0.5565 | 학습: 71.4% | 검증: 69.3% | lr: 1.00e-03 | 0.5s
  에폭  22/1500 | 손실: 0.5521 | 학습: 71.5% | 검증: 69.3% | lr: 1.00e-03 | 0.5s
  에폭  23/1500 | 손실: 0.5536 | 학습: 71.7% | 검증: 69.5% | lr: 1.00e-03 | 0.5s
  에폭  24/1500 | 손실: 0.5551 | 학습: 71.8% | 검증: 68.9% | lr: 1.00e-03 | 0.5s
  에폭  25/1500 | 손실: 0.5534 | 학습: 72.4% | 검증: 70.2% | lr: 1.00e-03 | 0.5s ★
  에폭  26/1500 | 손실: 0.5501 | 학습: 72.3% | 검증: 69.8% | lr: 1.00e-03 | 0.5s
  에폭  27/1500 | 손실: 0.5512 | 학습: 72.2% | 검증: 70.1% | lr: 1.00e-03 | 0.5s
  에폭  28/1500 | 손실: 0.5485 | 학습: 72.1% | 검증: 69.6% | lr: 1.00e-03 | 0.5s
  에폭  29/1500 | 손실: 0.5494 | 학습: 73.0% | 검증: 70.6% | lr: 1.00e-03 | 0.5s ★
  에폭  30/1500 | 손실: 0.5495 | 학습: 73.0% | 검증: 70.3% | lr: 1.00e-03 | 0.5s
  에폭  31/1500 | 손실: 0.5484 | 학습: 72.8% | 검증: 69.9% | lr: 1.00e-03 | 0.5s
  에폭  32/1500 | 손실: 0.5488 | 학습: 72.5% | 검증: 69.9% | lr: 1.00e-03 | 0.5s
  에폭  33/1500 | 손실: 0.5466 | 학습: 73.3% | 검증: 70.5% | lr: 1.00e-03 | 0.5s
  에폭  34/1500 | 손실: 0.5447 | 학습: 73.3% | 검증: 70.5% | lr: 1.00e-03 | 0.5s
  에폭  35/1500 | 손실: 0.5464 | 학습: 73.4% | 검증: 70.9% | lr: 1.00e-03 | 0.5s ★
  에폭  36/1500 | 손실: 0.5466 | 학습: 73.9% | 검증: 70.9% | lr: 1.00e-03 | 0.5s
  에폭  37/1500 | 손실: 0.5433 | 학습: 73.5% | 검증: 70.5% | lr: 1.00e-03 | 0.5s
  에폭  38/1500 | 손실: 0.5437 | 학습: 73.8% | 검증: 71.3% | lr: 1.00e-03 | 0.5s ★
  에폭  39/1500 | 손실: 0.5426 | 학습: 73.4% | 검증: 70.9% | lr: 1.00e-03 | 0.5s
  에폭  40/1500 | 손실: 0.5429 | 학습: 73.9% | 검증: 71.4% | lr: 1.00e-03 | 0.5s ★
  에폭  41/1500 | 손실: 0.5416 | 학습: 74.0% | 검증: 71.3% | lr: 1.00e-03 | 0.5s
  에폭  42/1500 | 손실: 0.5429 | 학습: 73.5% | 검증: 71.1% | lr: 1.00e-03 | 0.5s
  에폭  43/1500 | 손실: 0.5392 | 학습: 73.7% | 검증: 71.5% | lr: 1.00e-03 | 0.5s ★
  에폭  44/1500 | 손실: 0.5404 | 학습: 73.6% | 검증: 71.3% | lr: 1.00e-03 | 0.5s
  에폭  45/1500 | 손실: 0.5392 | 학습: 74.1% | 검증: 70.8% | lr: 1.00e-03 | 0.5s
  에폭  46/1500 | 손실: 0.5386 | 학습: 74.3% | 검증: 71.6% | lr: 1.00e-03 | 0.5s ★
  에폭  47/1500 | 손실: 0.5369 | 학습: 74.6% | 검증: 71.4% | lr: 1.00e-03 | 0.5s
  에폭  48/1500 | 손실: 0.5359 | 학습: 74.6% | 검증: 71.4% | lr: 1.00e-03 | 0.5s
  에폭  49/1500 | 손실: 0.5401 | 학습: 74.0% | 검증: 71.4% | lr: 1.00e-03 | 0.5s
  에폭  50/1500 | 손실: 0.5365 | 학습: 74.7% | 검증: 71.6% | lr: 1.00e-03 | 0.5s
  에폭  51/1500 | 손실: 0.5352 | 학습: 74.9% | 검증: 71.8% | lr: 1.00e-03 | 0.5s ★
  에폭  52/1500 | 손실: 0.5346 | 학습: 75.0% | 검증: 72.4% | lr: 1.00e-03 | 0.5s ★
  에폭  53/1500 | 손실: 0.5342 | 학습: 74.5% | 검증: 71.8% | lr: 1.00e-03 | 0.5s
  에폭  54/1500 | 손실: 0.5315 | 학습: 75.0% | 검증: 72.6% | lr: 1.00e-03 | 0.6s ★
  에폭  55/1500 | 손실: 0.5355 | 학습: 74.7% | 검증: 71.8% | lr: 1.00e-03 | 0.5s
  에폭  56/1500 | 손실: 0.5344 | 학습: 75.1% | 검증: 72.0% | lr: 1.00e-03 | 0.5s
  에폭  57/1500 | 손실: 0.5340 | 학습: 74.5% | 검증: 71.5% | lr: 1.00e-03 | 0.5s
  에폭  58/1500 | 손실: 0.5313 | 학습: 75.2% | 검증: 72.3% | lr: 1.00e-03 | 0.5s
  에폭  59/1500 | 손실: 0.5319 | 학습: 75.2% | 검증: 72.4% | lr: 1.00e-03 | 0.5s
  에폭  60/1500 | 손실: 0.5294 | 학습: 75.0% | 검증: 72.3% | lr: 1.00e-03 | 0.5s
  에폭  61/1500 | 손실: 0.5291 | 학습: 75.3% | 검증: 72.6% | lr: 1.00e-03 | 0.5s
  에폭  62/1500 | 손실: 0.5341 | 학습: 74.8% | 검증: 71.6% | lr: 1.00e-03 | 0.5s
  에폭  63/1500 | 손실: 0.5293 | 학습: 75.2% | 검증: 72.0% | lr: 1.00e-03 | 0.5s
  에폭  64/1500 | 손실: 0.5279 | 학습: 75.5% | 검증: 72.5% | lr: 1.00e-03 | 0.5s
  에폭  65/1500 | 손실: 0.5301 | 학습: 75.9% | 검증: 72.8% | lr: 1.00e-03 | 0.5s ★
  에폭  66/1500 | 손실: 0.5282 | 학습: 75.3% | 검증: 73.0% | lr: 1.00e-03 | 0.6s ★
  에폭  67/1500 | 손실: 0.5287 | 학습: 76.0% | 검증: 73.3% | lr: 1.00e-03 | 0.5s ★
  에폭  68/1500 | 손실: 0.5287 | 학습: 76.4% | 검증: 73.4% | lr: 1.00e-03 | 0.5s ★
  에폭  69/1500 | 손실: 0.5290 | 학습: 75.2% | 검증: 72.5% | lr: 1.00e-03 | 0.5s
  에폭  70/1500 | 손실: 0.5257 | 학습: 75.4% | 검증: 72.7% | lr: 1.00e-03 | 0.5s
  에폭  71/1500 | 손실: 0.5272 | 학습: 74.6% | 검증: 71.8% | lr: 1.00e-03 | 0.5s
  에폭  72/1500 | 손실: 0.5254 | 학습: 75.9% | 검증: 72.8% | lr: 1.00e-03 | 0.5s
  에폭  73/1500 | 손실: 0.5249 | 학습: 76.1% | 검증: 72.8% | lr: 1.00e-03 | 0.5s
  에폭  74/1500 | 손실: 0.5268 | 학습: 75.6% | 검증: 72.6% | lr: 1.00e-03 | 0.5s
  에폭  75/1500 | 손실: 0.5251 | 학습: 76.0% | 검증: 72.5% | lr: 1.00e-03 | 0.5s
  에폭  76/1500 | 손실: 0.5259 | 학습: 75.3% | 검증: 72.1% | lr: 1.00e-03 | 0.5s
  에폭  77/1500 | 손실: 0.5249 | 학습: 76.3% | 검증: 72.9% | lr: 1.00e-03 | 0.5s
  에폭  78/1500 | 손실: 0.5231 | 학습: 76.5% | 검증: 72.9% | lr: 1.00e-03 | 0.5s
  에폭  79/1500 | 손실: 0.5238 | 학습: 76.1% | 검증: 73.2% | lr: 1.00e-03 | 0.5s
  에폭  80/1500 | 손실: 0.5244 | 학습: 76.1% | 검증: 72.9% | lr: 1.00e-03 | 0.5s
  에폭  81/1500 | 손실: 0.5232 | 학습: 76.0% | 검증: 72.9% | lr: 1.00e-03 | 0.5s
  에폭  82/1500 | 손실: 0.5212 | 학습: 75.9% | 검증: 72.7% | lr: 1.00e-03 | 0.5s
  에폭  83/1500 | 손실: 0.5198 | 학습: 76.3% | 검증: 73.0% | lr: 1.00e-03 | 0.5s
  에폭  84/1500 | 손실: 0.5233 | 학습: 76.4% | 검증: 72.5% | lr: 1.00e-03 | 0.5s
  에폭  85/1500 | 손실: 0.5215 | 학습: 75.8% | 검증: 72.8% | lr: 1.00e-03 | 0.5s
  에폭  86/1500 | 손실: 0.5193 | 학습: 76.5% | 검증: 73.3% | lr: 1.00e-03 | 0.5s
  에폭  87/1500 | 손실: 0.5194 | 학습: 76.0% | 검증: 72.7% | lr: 1.00e-03 | 0.5s
  에폭  88/1500 | 손실: 0.5226 | 학습: 75.9% | 검증: 72.8% | lr: 1.00e-03 | 0.5s
  에폭  89/1500 | 손실: 0.5198 | 학습: 76.4% | 검증: 73.1% | lr: 1.00e-03 | 0.5s
  에폭  90/1500 | 손실: 0.5185 | 학습: 76.5% | 검증: 73.2% | lr: 1.00e-03 | 0.5s
  에폭  91/1500 | 손실: 0.5190 | 학습: 77.0% | 검증: 73.4% | lr: 1.00e-03 | 0.6s
  에폭  92/1500 | 손실: 0.5171 | 학습: 76.8% | 검증: 73.4% | lr: 1.00e-03 | 0.5s
  에폭  93/1500 | 손실: 0.5206 | 학습: 76.6% | 검증: 73.2% | lr: 1.00e-03 | 0.5s
  에폭  94/1500 | 손실: 0.5179 | 학습: 76.7% | 검증: 73.4% | lr: 1.00e-03 | 0.5s
  에폭  95/1500 | 손실: 0.5189 | 학습: 76.4% | 검증: 73.7% | lr: 1.00e-03 | 0.5s ★
  에폭  96/1500 | 손실: 0.5198 | 학습: 77.3% | 검증: 74.1% | lr: 1.00e-03 | 0.5s ★
  에폭  97/1500 | 손실: 0.5153 | 학습: 77.2% | 검증: 73.9% | lr: 1.00e-03 | 0.5s
  에폭  98/1500 | 손실: 0.5150 | 학습: 76.8% | 검증: 73.8% | lr: 1.00e-03 | 0.6s
  에폭  99/1500 | 손실: 0.5163 | 학습: 76.8% | 검증: 74.0% | lr: 1.00e-03 | 0.5s
  에폭 100/1500 | 손실: 0.5161 | 학습: 77.3% | 검증: 73.8% | lr: 1.00e-03 | 0.5s
  에폭 101/1500 | 손실: 0.5192 | 학습: 76.3% | 검증: 73.4% | lr: 1.00e-03 | 0.5s
  에폭 102/1500 | 손실: 0.5164 | 학습: 76.2% | 검증: 73.6% | lr: 1.00e-03 | 0.5s
  에폭 103/1500 | 손실: 0.5146 | 학습: 76.8% | 검증: 73.2% | lr: 1.00e-03 | 0.5s
  에폭 104/1500 | 손실: 0.5137 | 학습: 76.8% | 검증: 73.7% | lr: 1.00e-03 | 0.5s
  에폭 105/1500 | 손실: 0.5159 | 학습: 77.5% | 검증: 74.3% | lr: 1.00e-03 | 0.5s ★
  에폭 106/1500 | 손실: 0.5125 | 학습: 76.6% | 검증: 73.5% | lr: 1.00e-03 | 0.5s
  에폭 107/1500 | 손실: 0.5171 | 학습: 77.2% | 검증: 73.9% | lr: 1.00e-03 | 0.6s
  에폭 108/1500 | 손실: 0.5132 | 학습: 77.0% | 검증: 73.9% | lr: 1.00e-03 | 0.5s
  에폭 109/1500 | 손실: 0.5155 | 학습: 77.2% | 검증: 74.1% | lr: 1.00e-03 | 0.5s
  에폭 110/1500 | 손실: 0.5165 | 학습: 77.4% | 검증: 74.1% | lr: 1.00e-03 | 0.5s
  에폭 111/1500 | 손실: 0.5141 | 학습: 76.9% | 검증: 73.5% | lr: 1.00e-03 | 0.5s
  에폭 112/1500 | 손실: 0.5149 | 학습: 77.3% | 검증: 73.7% | lr: 1.00e-03 | 0.5s
  에폭 113/1500 | 손실: 0.5136 | 학습: 77.1% | 검증: 73.9% | lr: 1.00e-03 | 0.5s
  에폭 114/1500 | 손실: 0.5143 | 학습: 77.0% | 검증: 73.3% | lr: 1.00e-03 | 0.5s
  에폭 115/1500 | 손실: 0.5111 | 학습: 77.5% | 검증: 74.1% | lr: 1.00e-03 | 0.5s
  에폭 116/1500 | 손실: 0.5126 | 학습: 78.0% | 검증: 74.7% | lr: 1.00e-03 | 0.5s ★
  에폭 117/1500 | 손실: 0.5106 | 학습: 77.8% | 검증: 74.5% | lr: 1.00e-03 | 0.5s
  에폭 118/1500 | 손실: 0.5080 | 학습: 77.0% | 검증: 73.7% | lr: 1.00e-03 | 0.5s
  에폭 119/1500 | 손실: 0.5130 | 학습: 77.3% | 검증: 74.6% | lr: 1.00e-03 | 0.5s
  에폭 120/1500 | 손실: 0.5099 | 학습: 78.0% | 검증: 74.8% | lr: 1.00e-03 | 0.5s ★
  에폭 121/1500 | 손실: 0.5110 | 학습: 77.9% | 검증: 74.8% | lr: 1.00e-03 | 0.5s
  에폭 122/1500 | 손실: 0.5074 | 학습: 77.7% | 검증: 74.4% | lr: 1.00e-03 | 0.5s
  에폭 123/1500 | 손실: 0.5134 | 학습: 77.7% | 검증: 74.3% | lr: 1.00e-03 | 0.5s
