[MLP]   svm_data_20260507_133636.csv                       24741샘플
[MLP] CSV 로드  →  총 24741샘플
[MLP] 로드 완료 | 전체: 24741개  (배경: 12371, 사람: 12370)
[MLP] 특징 모드: PC-ADC재계산 (25개)
[MLP] 학습: 19792개 (80%)  검증: 4949개 (20%)  [비율고정: 유지 | 분리시드: 42]
[MLP] 스케일러: StandardScaler (z-score)
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
[MLP]  디바이스: cpu
[MLP]  구조: 25 → 64 → 32 → 2
[MLP]  에폭: 300  배치: 8  LR: 1e-03  Dropout: 0.3  Early Stop: 비활성화
[MLP]  사용 특징 (25개): magnitudes_1, magnitudes_2, magnitudes_3, magnitudes_4, magnitudes_5, magnitudes_6, magnitudes_7, magnitudes_8, magnitudes_9, magnitudes_10, magnitudes_11, magnitudes_12, magnitudes_13, magnitudes_14, magnitudes_15, peak_freq, peak_mag, std_mag, centroid, low_energy, mid_energy, rms, low_ratio, spectral_entropy, peak_to_mean
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  에폭   1/300 | 손실: 0.6156 | 학습: 65.0% | 검증: 64.0% | lr: 1.00e-03 | 2.8s ★
  에폭   2/300 | 손실: 0.6044 | 학습: 65.1% | 검증: 64.8% | lr: 1.00e-03 | 2.8s ★
  에폭   3/300 | 손실: 0.5980 | 학습: 64.8% | 검증: 64.9% | lr: 1.00e-03 | 2.7s ★
  에폭   4/300 | 손실: 0.5931 | 학습: 64.6% | 검증: 64.7% | lr: 1.00e-03 | 2.8s
  에폭   5/300 | 손실: 0.5901 | 학습: 65.4% | 검증: 65.6% | lr: 1.00e-03 | 2.6s ★
  에폭   6/300 | 손실: 0.5881 | 학습: 65.7% | 검증: 65.4% | lr: 1.00e-03 | 2.6s
  에폭   7/300 | 손실: 0.5823 | 학습: 65.1% | 검증: 64.8% | lr: 1.00e-03 | 2.6s
  에폭   8/300 | 손실: 0.5849 | 학습: 66.0% | 검증: 65.5% | lr: 1.00e-03 | 2.8s
  에폭   9/300 | 손실: 0.5835 | 학습: 66.8% | 검증: 66.1% | lr: 1.00e-03 | 2.6s ★
  에폭  10/300 | 손실: 0.5775 | 학습: 66.6% | 검증: 66.2% | lr: 1.00e-03 | 2.6s ★
  에폭  11/300 | 손실: 0.5774 | 학습: 66.8% | 검증: 66.4% | lr: 1.00e-03 | 2.7s ★
  에폭  12/300 | 손실: 0.5809 | 학습: 66.8% | 검증: 66.4% | lr: 1.00e-03 | 2.6s
  에폭  13/300 | 손실: 0.5779 | 학습: 66.1% | 검증: 65.5% | lr: 1.00e-03 | 2.6s
  에폭  14/300 | 손실: 0.5744 | 학습: 66.8% | 검증: 65.9% | lr: 1.00e-03 | 2.6s
  에폭  15/300 | 손실: 0.5726 | 학습: 65.4% | 검증: 65.4% | lr: 1.00e-03 | 2.6s
  에폭  16/300 | 손실: 0.5710 | 학습: 61.5% | 검증: 61.7% | lr: 1.00e-03 | 2.6s
  에폭  17/300 | 손실: 0.5695 | 학습: 68.2% | 검증: 67.3% | lr: 1.00e-03 | 2.6s ★
  에폭  18/300 | 손실: 0.5705 | 학습: 66.3% | 검증: 65.9% | lr: 1.00e-03 | 2.6s
  에폭  19/300 | 손실: 0.5711 | 학습: 65.5% | 검증: 64.5% | lr: 1.00e-03 | 2.6s
