[MLP]   svm_data_20260428_164908_W256_S32_I1.csv            529샘플
[MLP]   svm_data_20260428_171251_W256_S32_I1.csv             10샘플
[MLP]   svm_data_20260428_171310_W256_S32_I1.csv            964샘플
[MLP]   svm_data_20260429_104801_W256_S32_I1.csv            170샘플
[MLP]   svm_data_20260429_112044_W256_S1_I1.csv             287샘플
[MLP] CSV 5개 병합  →  총 1960샘플
[MLP] 로드 완료 | 전체: 1960개  (배경: 996, 사람: 964)
[MLP] 학습: 1568개 (80%)  검증: 392개 (20%)  [비율고정: 유지 | 분리시드: 랜덤]
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
[MLP]  구조: 21 → 128 → 64 → 32 → 2
[MLP]  에폭: 300  배치: 8  LR: 1e-03  Dropout: 0.3  Early Stop: 비활성화
[MLP]  사용 특징 (21개): SPECTRAL_ROLLOFF, SPECTRAL_BANDWIDTH, PEAK_COUNT, MID_RATIO, LOW_TO_HIGH_RATIO, SECOND_PEAK_FREQ, KURTOSIS, CENTROID, PEAK_FREQ, LOW_RATIO, RMS, AVG_ENERGY, PEAK_ENERGY, ENERGY_VARIANCE, PEAK_TO_AVG_E, HIGH_RATIO, PEAK1_TO_PEAK2_RATIO, SKEWNESS, DC_RATIO, DELTA_PEAK_FREQ, SPECTRAL_FLATNESS
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  에폭   1/300 | 손실: 0.5686 | 학습: 70.3% | 검증: 73.7% | lr: 1.00e-03 ★
  에폭   2/300 | 손실: 0.5337 | 학습: 71.7% | 검증: 78.1% | lr: 1.00e-03 ★
  에폭   3/300 | 손실: 0.5215 | 학습: 74.7% | 검증: 75.0% | lr: 1.00e-03
  에폭   4/300 | 손실: 0.5096 | 학습: 74.9% | 검증: 75.3% | lr: 1.00e-03
  에폭   5/300 | 손실: 0.5125 | 학습: 74.2% | 검증: 74.0% | lr: 1.00e-03
  에폭   6/300 | 손실: 0.5152 | 학습: 73.8% | 검증: 75.8% | lr: 1.00e-03
  에폭   7/300 | 손실: 0.5005 | 학습: 73.0% | 검증: 72.2% | lr: 1.00e-03
  에폭   8/300 | 손실: 0.5011 | 학습: 74.2% | 검증: 73.5% | lr: 1.00e-03
  에폭   9/300 | 손실: 0.4962 | 학습: 72.5% | 검증: 71.9% | lr: 1.00e-03
  에폭  10/300 | 손실: 0.5064 | 학습: 74.0% | 검증: 72.7% | lr: 1.00e-03
  에폭  11/300 | 손실: 0.4931 | 학습: 74.6% | 검증: 74.0% | lr: 1.00e-03
  에폭  12/300 | 손실: 0.5030 | 학습: 75.9% | 검증: 76.8% | lr: 1.00e-03
  에폭  13/300 | 손실: 0.4850 | 학습: 73.6% | 검증: 72.4% | lr: 1.00e-03
  에폭  14/300 | 손실: 0.4844 | 학습: 74.9% | 검증: 73.2% | lr: 1.00e-03
  에폭  15/300 | 손실: 0.4926 | 학습: 76.0% | 검증: 74.7% | lr: 1.00e-03
  에폭  16/300 | 손실: 0.4885 | 학습: 75.8% | 검증: 77.6% | lr: 1.00e-03
  에폭  17/300 | 손실: 0.4816 | 학습: 76.2% | 검증: 74.0% | lr: 1.00e-03
  에폭  18/300 | 손실: 0.5015 | 학습: 76.4% | 검증: 77.0% | lr: 1.00e-03
  에폭  19/300 | 손실: 0.4829 | 학습: 76.5% | 검증: 78.1% | lr: 1.00e-03
  에폭  20/300 | 손실: 0.4817 | 학습: 77.3% | 검증: 78.8% | lr: 1.00e-03 ★
  에폭  21/300 | 손실: 0.4725 | 학습: 77.2% | 검증: 76.5% | lr: 1.00e-03
  에폭  22/300 | 손실: 0.4964 | 학습: 77.6% | 검증: 79.1% | lr: 1.00e-03 ★
  에폭  23/300 | 손실: 0.4881 | 학습: 77.6% | 검증: 75.5% | lr: 1.00e-03
  에폭  24/300 | 손실: 0.4709 | 학습: 76.4% | 검증: 77.8% | lr: 1.00e-03
  에폭  25/300 | 손실: 0.4735 | 학습: 75.8% | 검증: 73.2% | lr: 1.00e-03
  에폭  26/300 | 손실: 0.4724 | 학습: 76.0% | 검증: 74.2% | lr: 1.00e-03
  에폭  27/300 | 손실: 0.4719 | 학습: 77.0% | 검증: 75.8% | lr: 1.00e-03
  에폭  28/300 | 손실: 0.4758 | 학습: 77.9% | 검증: 78.8% | lr: 1.00e-03
  에폭  29/300 | 손실: 0.4675 | 학습: 77.6% | 검증: 76.0% | lr: 1.00e-03
  에폭  30/300 | 손실: 0.4760 | 학습: 77.7% | 검증: 78.1% | lr: 1.00e-03
  에폭  31/300 | 손실: 0.4670 | 학습: 78.3% | 검증: 79.6% | lr: 1.00e-03 ★
  에폭  32/300 | 손실: 0.4654 | 학습: 78.6% | 검증: 77.3% | lr: 1.00e-03
  에폭  33/300 | 손실: 0.4709 | 학습: 77.7% | 검증: 77.8% | lr: 1.00e-03
  에폭  34/300 | 손실: 0.4696 | 학습: 77.8% | 검증: 76.0% | lr: 1.00e-03
  에폭  35/300 | 손실: 0.4543 | 학습: 78.0% | 검증: 76.5% | lr: 1.00e-03
  에폭  36/300 | 손실: 0.4718 | 학습: 79.1% | 검증: 78.3% | lr: 1.00e-03
  에폭  37/300 | 손실: 0.4705 | 학습: 77.0% | 검증: 75.0% | lr: 1.00e-03
  에폭  38/300 | 손실: 0.4650 | 학습: 78.9% | 검증: 80.1% | lr: 1.00e-03 ★
  에폭  39/300 | 손실: 0.4713 | 학습: 77.8% | 검증: 76.3% | lr: 1.00e-03
  에폭  40/300 | 손실: 0.4652 | 학습: 77.3% | 검증: 76.8% | lr: 1.00e-03
  에폭  41/300 | 손실: 0.4706 | 학습: 79.0% | 검증: 77.3% | lr: 1.00e-03
  에폭  42/300 | 손실: 0.4728 | 학습: 79.1% | 검증: 78.8% | lr: 1.00e-03
  에폭  43/300 | 손실: 0.4556 | 학습: 78.4% | 검증: 76.8% | lr: 1.00e-03
  에폭  44/300 | 손실: 0.4570 | 학습: 79.3% | 검증: 78.3% | lr: 1.00e-03
  에폭  45/300 | 손실: 0.4669 | 학습: 78.9% | 검증: 76.8% | lr: 1.00e-03
  에폭  46/300 | 손실: 0.4597 | 학습: 79.1% | 검증: 79.8% | lr: 5.00e-04
  에폭  47/300 | 손실: 0.4579 | 학습: 78.5% | 검증: 75.5% | lr: 5.00e-04
  에폭  48/300 | 손실: 0.4504 | 학습: 79.4% | 검증: 76.0% | lr: 5.00e-04
  에폭  49/300 | 손실: 0.4487 | 학습: 79.3% | 검증: 77.6% | lr: 5.00e-04
  에폭  50/300 | 손실: 0.4554 | 학습: 78.3% | 검증: 77.3% | lr: 5.00e-04
  에폭  51/300 | 손실: 0.4461 | 학습: 80.1% | 검증: 78.3% | lr: 5.00e-04
  에폭  52/300 | 손실: 0.4518 | 학습: 79.0% | 검증: 76.3% | lr: 5.00e-04
  에폭  53/300 | 손실: 0.4509 | 학습: 78.6% | 검증: 77.3% | lr: 5.00e-04
  에폭  54/300 | 손실: 0.4577 | 학습: 79.9% | 검증: 77.6% | lr: 5.00e-04
  에폭  55/300 | 손실: 0.4439 | 학습: 80.1% | 검증: 79.3% | lr: 5.00e-04
  에폭  56/300 | 손실: 0.4348 | 학습: 79.8% | 검증: 77.6% | lr: 5.00e-04
  에폭  57/300 | 손실: 0.4517 | 학습: 79.7% | 검증: 77.3% | lr: 5.00e-04
  에폭  58/300 | 손실: 0.4437 | 학습: 80.1% | 검증: 78.8% | lr: 5.00e-04
  에폭  59/300 | 손실: 0.4467 | 학습: 81.1% | 검증: 78.6% | lr: 5.00e-04
  에폭  60/300 | 손실: 0.4417 | 학습: 80.0% | 검증: 78.6% | lr: 5.00e-04
  에폭  61/300 | 손실: 0.4377 | 학습: 80.5% | 검증: 76.8% | lr: 5.00e-04
  에폭  62/300 | 손실: 0.4457 | 학습: 79.0% | 검증: 76.0% | lr: 5.00e-04
  에폭  63/300 | 손실: 0.4456 | 학습: 80.3% | 검증: 78.8% | lr: 5.00e-04
  에폭  64/300 | 손실: 0.4412 | 학습: 80.4% | 검증: 79.1% | lr: 5.00e-04
  에폭  65/300 | 손실: 0.4377 | 학습: 81.1% | 검증: 79.8% | lr: 5.00e-04
  에폭  66/300 | 손실: 0.4353 | 학습: 81.2% | 검증: 79.8% | lr: 5.00e-04
  에폭  67/300 | 손실: 0.4360 | 학습: 80.8% | 검증: 80.6% | lr: 2.50e-04 ★
  에폭  68/300 | 손실: 0.4279 | 학습: 81.2% | 검증: 79.1% | lr: 2.50e-04
  에폭  69/300 | 손실: 0.4258 | 학습: 79.5% | 검증: 78.8% | lr: 2.50e-04
  에폭  70/300 | 손실: 0.4272 | 학습: 80.8% | 검증: 79.1% | lr: 2.50e-04
  에폭  71/300 | 손실: 0.4266 | 학습: 81.4% | 검증: 79.8% | lr: 2.50e-04
  에폭  72/300 | 손실: 0.4379 | 학습: 81.1% | 검증: 78.3% | lr: 2.50e-04
  에폭  73/300 | 손실: 0.4427 | 학습: 80.8% | 검증: 78.8% | lr: 2.50e-04
  에폭  74/300 | 손실: 0.4301 | 학습: 81.4% | 검증: 81.1% | lr: 2.50e-04 ★
  에폭  75/300 | 손실: 0.4415 | 학습: 81.0% | 검증: 78.6% | lr: 2.50e-04
  에폭  76/300 | 손실: 0.4324 | 학습: 81.2% | 검증: 78.8% | lr: 2.50e-04
  에폭  77/300 | 손실: 0.4335 | 학습: 80.5% | 검증: 76.5% | lr: 2.50e-04
  에폭  78/300 | 손실: 0.4369 | 학습: 80.7% | 검증: 77.8% | lr: 2.50e-04
  에폭  79/300 | 손실: 0.4190 | 학습: 80.9% | 검증: 79.1% | lr: 2.50e-04
  에폭  80/300 | 손실: 0.4386 | 학습: 80.6% | 검증: 78.8% | lr: 2.50e-04
  에폭  81/300 | 손실: 0.4347 | 학습: 81.3% | 검증: 78.8% | lr: 2.50e-04
  에폭  82/300 | 손실: 0.4250 | 학습: 80.9% | 검증: 79.6% | lr: 2.50e-04
  에폭  83/300 | 손실: 0.4272 | 학습: 81.4% | 검증: 79.6% | lr: 2.50e-04
  에폭  84/300 | 손실: 0.4206 | 학습: 81.5% | 검증: 79.8% | lr: 2.50e-04
  에폭  85/300 | 손실: 0.4247 | 학습: 80.7% | 검증: 79.8% | lr: 2.50e-04
  에폭  86/300 | 손실: 0.4285 | 학습: 80.9% | 검증: 79.1% | lr: 2.50e-04
  에폭  87/300 | 손실: 0.4319 | 학습: 79.7% | 검증: 77.0% | lr: 2.50e-04
  에폭  88/300 | 손실: 0.4212 | 학습: 81.8% | 검증: 79.8% | lr: 2.50e-04
  에폭  89/300 | 손실: 0.4296 | 학습: 81.0% | 검증: 78.6% | lr: 2.50e-04
  에폭  90/300 | 손실: 0.4260 | 학습: 81.2% | 검증: 80.6% | lr: 1.25e-04
  에폭  91/300 | 손실: 0.4248 | 학습: 81.1% | 검증: 79.8% | lr: 1.25e-04
  에폭  92/300 | 손실: 0.4224 | 학습: 81.5% | 검증: 79.6% | lr: 1.25e-04
  에폭  93/300 | 손실: 0.4303 | 학습: 81.4% | 검증: 79.1% | lr: 1.25e-04
  에폭  94/300 | 손실: 0.4127 | 학습: 80.6% | 검증: 78.8% | lr: 1.25e-04
  에폭  95/300 | 손실: 0.4220 | 학습: 81.3% | 검증: 79.1% | lr: 1.25e-04
  에폭  96/300 | 손실: 0.4242 | 학습: 81.7% | 검증: 79.6% | lr: 1.25e-04
  에폭  97/300 | 손실: 0.4167 | 학습: 82.0% | 검증: 79.6% | lr: 1.25e-04
  에폭  98/300 | 손실: 0.4278 | 학습: 81.4% | 검증: 78.6% | lr: 1.25e-04
  에폭  99/300 | 손실: 0.4186 | 학습: 81.8% | 검증: 78.6% | lr: 1.25e-04
  에폭 100/300 | 손실: 0.4216 | 학습: 82.1% | 검증: 79.1% | lr: 1.25e-04
  에폭 101/300 | 손실: 0.4266 | 학습: 81.9% | 검증: 79.6% | lr: 1.25e-04
  에폭 102/300 | 손실: 0.4230 | 학습: 81.1% | 검증: 79.1% | lr: 1.25e-04
  에폭 103/300 | 손실: 0.4134 | 학습: 81.8% | 검증: 79.1% | lr: 1.25e-04
  에폭 104/300 | 손실: 0.4188 | 학습: 81.5% | 검증: 79.1% | lr: 1.25e-04
  에폭 105/300 | 손실: 0.4164 | 학습: 82.1% | 검증: 79.1% | lr: 6.25e-05
