[MLP]   svm_data_20260428_164908_W256_S32_I1.csv            529샘플
[MLP]   svm_data_20260428_171251_W256_S32_I1.csv             10샘플
[MLP]   svm_data_20260428_171310_W256_S32_I1.csv            964샘플
[MLP]   svm_data_20260429_104801_W256_S32_I1.csv            170샘플
[MLP]   svm_data_20260429_112044_W256_S1_I1.csv             287샘플
[MLP]   svm_data_20260429_121425.csv                          1샘플
[MLP] CSV 6개 병합  →  총 1961샘플
[MLP] 로드 완료 | 전체: 1961개  (배경: 997, 사람: 964)
[MLP] 학습: 1568개 (80%)  검증: 393개 (20%)  [비율고정: 유지 | 분리시드: 42]
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
[MLP]  구조: 21 → 128 → 64 → 32 → 2
[MLP]  에폭: 500  배치: 32  LR: 1e-03  Dropout: 0.3  Early Stop: 비활성화
[MLP]  사용 특징 (21개): SPECTRAL_ROLLOFF, SPECTRAL_BANDWIDTH, PEAK_COUNT, MID_RATIO, LOW_TO_HIGH_RATIO, SECOND_PEAK_FREQ, KURTOSIS, CENTROID, PEAK_FREQ, LOW_RATIO, RMS, AVG_ENERGY, PEAK_ENERGY, ENERGY_VARIANCE, PEAK_TO_AVG_E, HIGH_RATIO, PEAK1_TO_PEAK2_RATIO, SKEWNESS, DC_RATIO, DELTA_PEAK_FREQ, SPECTRAL_FLATNESS
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  에폭   1/500 | 손실: 0.5936 | 학습: 69.6% | 검증: 74.6% | lr: 1.00e-03 ★
  에폭   2/500 | 손실: 0.5091 | 학습: 71.5% | 검증: 73.3% | lr: 1.00e-03
  에폭   3/500 | 손실: 0.4909 | 학습: 72.3% | 검증: 74.3% | lr: 1.00e-03
  에폭   4/500 | 손실: 0.4766 | 학습: 73.2% | 검증: 74.6% | lr: 1.00e-03
  에폭   5/500 | 손실: 0.4868 | 학습: 75.1% | 검증: 75.6% | lr: 1.00e-03 ★
  에폭   6/500 | 손실: 0.4743 | 학습: 75.2% | 검증: 76.3% | lr: 1.00e-03 ★
  에폭   7/500 | 손실: 0.4782 | 학습: 75.6% | 검증: 76.1% | lr: 1.00e-03
  에폭   8/500 | 손실: 0.4615 | 학습: 76.5% | 검증: 76.6% | lr: 1.00e-03 ★
  에폭   9/500 | 손실: 0.4674 | 학습: 76.9% | 검증: 78.1% | lr: 1.00e-03 ★
  에폭  10/500 | 손실: 0.4706 | 학습: 75.2% | 검증: 75.6% | lr: 1.00e-03
  에폭  11/500 | 손실: 0.4704 | 학습: 77.4% | 검증: 77.1% | lr: 1.00e-03
  에폭  12/500 | 손실: 0.4697 | 학습: 78.0% | 검증: 77.4% | lr: 1.00e-03
  에폭  13/500 | 손실: 0.4529 | 학습: 77.6% | 검증: 78.1% | lr: 1.00e-03
  에폭  14/500 | 손실: 0.4604 | 학습: 78.2% | 검증: 76.8% | lr: 1.00e-03
  에폭  15/500 | 손실: 0.4553 | 학습: 78.4% | 검증: 78.4% | lr: 1.00e-03 ★
  에폭  16/500 | 손실: 0.4553 | 학습: 77.6% | 검증: 75.6% | lr: 1.00e-03
  에폭  17/500 | 손실: 0.4439 | 학습: 77.4% | 검증: 74.6% | lr: 1.00e-03
  에폭  18/500 | 손실: 0.4452 | 학습: 78.1% | 검증: 76.8% | lr: 1.00e-03
  에폭  19/500 | 손실: 0.4450 | 학습: 78.1% | 검증: 76.3% | lr: 1.00e-03
  에폭  20/500 | 손실: 0.4495 | 학습: 80.0% | 검증: 78.1% | lr: 1.00e-03
  에폭  21/500 | 손실: 0.4461 | 학습: 79.6% | 검증: 77.4% | lr: 1.00e-03
  에폭  22/500 | 손실: 0.4342 | 학습: 79.5% | 검증: 76.3% | lr: 1.00e-03
  에폭  23/500 | 손실: 0.4402 | 학습: 79.7% | 검증: 79.6% | lr: 1.00e-03 ★
  에폭  24/500 | 손실: 0.4439 | 학습: 80.2% | 검증: 77.9% | lr: 1.00e-03
  에폭  25/500 | 손실: 0.4334 | 학습: 80.4% | 검증: 77.9% | lr: 1.00e-03
  에폭  26/500 | 손실: 0.4321 | 학습: 80.6% | 검증: 78.4% | lr: 1.00e-03
  에폭  27/500 | 손실: 0.4396 | 학습: 80.7% | 검증: 78.1% | lr: 1.00e-03
  에폭  28/500 | 손실: 0.4335 | 학습: 80.1% | 검증: 76.1% | lr: 1.00e-03
  에폭  29/500 | 손실: 0.4291 | 학습: 81.3% | 검증: 79.1% | lr: 1.00e-03
  에폭  30/500 | 손실: 0.4245 | 학습: 80.6% | 검증: 77.6% | lr: 1.00e-03
  에폭  31/500 | 손실: 0.4259 | 학습: 82.0% | 검증: 80.2% | lr: 1.00e-03 ★
  에폭  32/500 | 손실: 0.4218 | 학습: 81.2% | 검증: 78.6% | lr: 1.00e-03
  에폭  33/500 | 손실: 0.4104 | 학습: 81.6% | 검증: 78.4% | lr: 1.00e-03
  에폭  34/500 | 손실: 0.4180 | 학습: 81.4% | 검증: 79.1% | lr: 1.00e-03
  에폭  35/500 | 손실: 0.4213 | 학습: 81.4% | 검증: 77.9% | lr: 1.00e-03
  에폭  36/500 | 손실: 0.4087 | 학습: 81.3% | 검증: 78.4% | lr: 1.00e-03
  에폭  37/500 | 손실: 0.4203 | 학습: 81.6% | 검증: 78.9% | lr: 1.00e-03
  에폭  38/500 | 손실: 0.4315 | 학습: 81.4% | 검증: 76.8% | lr: 1.00e-03
  에폭  39/500 | 손실: 0.4267 | 학습: 81.6% | 검증: 80.4% | lr: 1.00e-03 ★
  에폭  40/500 | 손실: 0.4198 | 학습: 82.1% | 검증: 80.7% | lr: 1.00e-03 ★
  에폭  41/500 | 손실: 0.4137 | 학습: 81.7% | 검증: 78.1% | lr: 1.00e-03
  에폭  42/500 | 손실: 0.4018 | 학습: 81.8% | 검증: 78.6% | lr: 1.00e-03
  에폭  43/500 | 손실: 0.3957 | 학습: 82.6% | 검증: 81.7% | lr: 1.00e-03 ★
  에폭  44/500 | 손실: 0.4018 | 학습: 82.7% | 검증: 79.9% | lr: 1.00e-03
  에폭  45/500 | 손실: 0.4141 | 학습: 82.8% | 검증: 80.7% | lr: 1.00e-03
  에폭  46/500 | 손실: 0.4080 | 학습: 81.9% | 검증: 79.1% | lr: 1.00e-03
  에폭  47/500 | 손실: 0.4115 | 학습: 82.7% | 검증: 79.6% | lr: 1.00e-03
  에폭  48/500 | 손실: 0.3955 | 학습: 82.7% | 검증: 81.2% | lr: 1.00e-03
  에폭  49/500 | 손실: 0.4069 | 학습: 82.5% | 검증: 80.9% | lr: 1.00e-03
  에폭  50/500 | 손실: 0.4061 | 학습: 83.5% | 검증: 80.9% | lr: 1.00e-03
  에폭  51/500 | 손실: 0.4052 | 학습: 83.6% | 검증: 80.9% | lr: 1.00e-03
  에폭  52/500 | 손실: 0.3969 | 학습: 82.7% | 검증: 79.9% | lr: 1.00e-03
  에폭  53/500 | 손실: 0.3914 | 학습: 83.9% | 검증: 79.9% | lr: 1.00e-03
  에폭  54/500 | 손실: 0.4029 | 학습: 84.0% | 검증: 80.2% | lr: 1.00e-03
  에폭  55/500 | 손실: 0.3869 | 학습: 83.5% | 검증: 79.4% | lr: 1.00e-03
  에폭  56/500 | 손실: 0.3918 | 학습: 84.2% | 검증: 78.4% | lr: 1.00e-03
  에폭  57/500 | 손실: 0.3986 | 학습: 83.4% | 검증: 78.6% | lr: 1.00e-03
  에폭  58/500 | 손실: 0.3956 | 학습: 85.0% | 검증: 79.6% | lr: 1.00e-03
  에폭  59/500 | 손실: 0.3919 | 학습: 84.1% | 검증: 76.8% | lr: 1.00e-03
  에폭  60/500 | 손실: 0.3884 | 학습: 85.0% | 검증: 78.4% | lr: 1.00e-03
  에폭  61/500 | 손실: 0.3786 | 학습: 84.6% | 검증: 78.6% | lr: 1.00e-03
  에폭  62/500 | 손실: 0.3720 | 학습: 84.6% | 검증: 80.7% | lr: 1.00e-03
  에폭  63/500 | 손실: 0.3689 | 학습: 84.4% | 검증: 79.4% | lr: 1.00e-03
  에폭  64/500 | 손실: 0.3856 | 학습: 84.2% | 검증: 78.9% | lr: 1.00e-03
  에폭  65/500 | 손실: 0.3846 | 학습: 84.6% | 검증: 78.1% | lr: 1.00e-03
  에폭  66/500 | 손실: 0.3832 | 학습: 85.3% | 검증: 79.6% | lr: 1.00e-03
  에폭  67/500 | 손실: 0.3818 | 학습: 85.1% | 검증: 77.6% | lr: 1.00e-03
  에폭  68/500 | 손실: 0.3823 | 학습: 86.2% | 검증: 79.6% | lr: 1.00e-03
  에폭  69/500 | 손실: 0.3711 | 학습: 85.7% | 검증: 79.9% | lr: 1.00e-03
  에폭  70/500 | 손실: 0.3767 | 학습: 85.0% | 검증: 79.4% | lr: 1.00e-03
  에폭  71/500 | 손실: 0.3744 | 학습: 86.6% | 검증: 79.1% | lr: 1.00e-03
  에폭  72/500 | 손실: 0.3811 | 학습: 87.2% | 검증: 79.9% | lr: 1.00e-03
  에폭  73/500 | 손실: 0.3579 | 학습: 85.8% | 검증: 79.4% | lr: 1.00e-03
  에폭  74/500 | 손실: 0.3810 | 학습: 85.7% | 검증: 78.4% | lr: 1.00e-03
  에폭  75/500 | 손실: 0.3781 | 학습: 86.5% | 검증: 80.9% | lr: 1.00e-03
  에폭  76/500 | 손실: 0.3791 | 학습: 86.3% | 검증: 78.4% | lr: 1.00e-03
  에폭  77/500 | 손실: 0.3718 | 학습: 86.6% | 검증: 79.4% | lr: 1.00e-03
  에폭  78/500 | 손실: 0.3817 | 학습: 87.9% | 검증: 79.9% | lr: 1.00e-03
  에폭  79/500 | 손실: 0.3639 | 학습: 86.8% | 검증: 80.4% | lr: 1.00e-03
  에폭  80/500 | 손실: 0.3589 | 학습: 87.1% | 검증: 79.4% | lr: 1.00e-03
  에폭  81/500 | 손실: 0.3617 | 학습: 88.1% | 검증: 79.6% | lr: 1.00e-03
  에폭  82/500 | 손실: 0.3661 | 학습: 86.4% | 검증: 80.2% | lr: 1.00e-03
  에폭  83/500 | 손실: 0.3535 | 학습: 86.9% | 검증: 79.9% | lr: 1.00e-03
  에폭  84/500 | 손실: 0.3522 | 학습: 88.1% | 검증: 80.4% | lr: 1.00e-03
  에폭  85/500 | 손실: 0.3574 | 학습: 88.1% | 검증: 82.7% | lr: 1.00e-03 ★
  에폭  86/500 | 손실: 0.3530 | 학습: 87.4% | 검증: 80.7% | lr: 1.00e-03
  에폭  87/500 | 손실: 0.3503 | 학습: 87.9% | 검증: 78.6% | lr: 1.00e-03
  에폭  88/500 | 손실: 0.3560 | 학습: 88.8% | 검증: 79.1% | lr: 1.00e-03
  에폭  89/500 | 손실: 0.3535 | 학습: 88.5% | 검증: 80.2% | lr: 1.00e-03
  에폭  90/500 | 손실: 0.3655 | 학습: 88.4% | 검증: 80.4% | lr: 1.00e-03
  에폭  91/500 | 손실: 0.3625 | 학습: 88.7% | 검증: 79.4% | lr: 1.00e-03
  에폭  92/500 | 손실: 0.3454 | 학습: 87.1% | 검증: 77.9% | lr: 1.00e-03
  에폭  93/500 | 손실: 0.3536 | 학습: 88.4% | 검증: 78.6% | lr: 1.00e-03
  에폭  94/500 | 손실: 0.3662 | 학습: 88.4% | 검증: 79.9% | lr: 1.00e-03
  에폭  95/500 | 손실: 0.3463 | 학습: 89.2% | 검증: 79.1% | lr: 1.00e-03
  에폭  96/500 | 손실: 0.3586 | 학습: 87.8% | 검증: 80.4% | lr: 1.00e-03
  에폭  97/500 | 손실: 0.3373 | 학습: 88.6% | 검증: 81.9% | lr: 1.00e-03
  에폭  98/500 | 손실: 0.3437 | 학습: 89.2% | 검증: 78.9% | lr: 1.00e-03
  에폭  99/500 | 손실: 0.3498 | 학습: 89.9% | 검증: 80.2% | lr: 1.00e-03
  에폭 100/500 | 손실: 0.3453 | 학습: 89.9% | 검증: 81.2% | lr: 1.00e-03
  에폭 101/500 | 손실: 0.3439 | 학습: 89.2% | 검증: 78.4% | lr: 1.00e-03
  에폭 102/500 | 손실: 0.3320 | 학습: 89.9% | 검증: 81.2% | lr: 1.00e-03
  에폭 103/500 | 손실: 0.3296 | 학습: 90.0% | 검증: 79.1% | lr: 1.00e-03
  에폭 104/500 | 손실: 0.3329 | 학습: 89.4% | 검증: 79.6% | lr: 1.00e-03
  에폭 105/500 | 손실: 0.3349 | 학습: 89.5% | 검증: 79.4% | lr: 1.00e-03
  에폭 106/500 | 손실: 0.3453 | 학습: 90.1% | 검증: 79.6% | lr: 1.00e-03
  에폭 107/500 | 손실: 0.3330 | 학습: 89.5% | 검증: 80.9% | lr: 1.00e-03
  에폭 108/500 | 손실: 0.3209 | 학습: 90.1% | 검증: 79.6% | lr: 1.00e-03
  에폭 109/500 | 손실: 0.3421 | 학습: 89.7% | 검증: 80.2% | lr: 1.00e-03
  에폭 110/500 | 손실: 0.3119 | 학습: 90.8% | 검증: 79.9% | lr: 1.00e-03
  에폭 111/500 | 손실: 0.3191 | 학습: 90.4% | 검증: 79.1% | lr: 1.00e-03
  에폭 112/500 | 손실: 0.3348 | 학습: 90.9% | 검증: 79.9% | lr: 1.00e-03
  에폭 113/500 | 손실: 0.3377 | 학습: 89.9% | 검증: 78.9% | lr: 1.00e-03
  에폭 114/500 | 손실: 0.3317 | 학습: 91.8% | 검증: 80.2% | lr: 1.00e-03
  에폭 115/500 | 손실: 0.3320 | 학습: 91.3% | 검증: 81.7% | lr: 1.00e-03
  에폭 116/500 | 손실: 0.3124 | 학습: 91.6% | 검증: 78.6% | lr: 1.00e-03
  에폭 117/500 | 손실: 0.3040 | 학습: 90.7% | 검증: 79.9% | lr: 1.00e-03
  에폭 118/500 | 손실: 0.3105 | 학습: 91.2% | 검증: 80.4% | lr: 1.00e-03
  에폭 119/500 | 손실: 0.3235 | 학습: 91.0% | 검증: 78.9% | lr: 1.00e-03
  에폭 120/500 | 손실: 0.3277 | 학습: 91.6% | 검증: 80.7% | lr: 1.00e-03
  에폭 121/500 | 손실: 0.3070 | 학습: 90.4% | 검증: 79.4% | lr: 1.00e-03
  에폭 122/500 | 손실: 0.3074 | 학습: 91.8% | 검증: 80.2% | lr: 1.00e-03
  에폭 123/500 | 손실: 0.3230 | 학습: 91.6% | 검증: 80.2% | lr: 1.00e-03
  에폭 124/500 | 손실: 0.3112 | 학습: 92.2% | 검증: 79.1% | lr: 1.00e-03
  에폭 125/500 | 손실: 0.3233 | 학습: 91.6% | 검증: 79.6% | lr: 1.00e-03
  에폭 126/500 | 손실: 0.3092 | 학습: 91.9% | 검증: 78.4% | lr: 1.00e-03
  에폭 127/500 | 손실: 0.3270 | 학습: 91.5% | 검증: 78.9% | lr: 1.00e-03
  에폭 128/500 | 손실: 0.3187 | 학습: 92.3% | 검증: 78.9% | lr: 5.00e-04
  에폭 129/500 | 손실: 0.3084 | 학습: 92.0% | 검증: 80.4% | lr: 5.00e-04
  에폭 130/500 | 손실: 0.3023 | 학습: 92.6% | 검증: 80.7% | lr: 5.00e-04
  에폭 131/500 | 손실: 0.2923 | 학습: 92.9% | 검증: 80.4% | lr: 5.00e-04
  에폭 132/500 | 손실: 0.3066 | 학습: 92.9% | 검증: 80.7% | lr: 5.00e-04
  에폭 133/500 | 손실: 0.2962 | 학습: 92.6% | 검증: 81.2% | lr: 5.00e-04
  에폭 134/500 | 손실: 0.2995 | 학습: 92.7% | 검증: 81.4% | lr: 5.00e-04
  에폭 135/500 | 손실: 0.2833 | 학습: 93.1% | 검증: 80.4% | lr: 5.00e-04
  에폭 136/500 | 손실: 0.2859 | 학습: 93.2% | 검증: 80.2% | lr: 5.00e-04
  에폭 137/500 | 손실: 0.2832 | 학습: 93.1% | 검증: 81.2% | lr: 5.00e-04
  에폭 138/500 | 손실: 0.2899 | 학습: 92.9% | 검증: 81.4% | lr: 5.00e-04
  에폭 139/500 | 손실: 0.2961 | 학습: 93.3% | 검증: 80.9% | lr: 5.00e-04
  에폭 140/500 | 손실: 0.2944 | 학습: 93.8% | 검증: 78.4% | lr: 5.00e-04
  에폭 141/500 | 손실: 0.2870 | 학습: 93.3% | 검증: 79.6% | lr: 5.00e-04
  에폭 142/500 | 손실: 0.2996 | 학습: 92.5% | 검증: 80.4% | lr: 5.00e-04
  에폭 143/500 | 손실: 0.2907 | 학습: 93.0% | 검증: 79.9% | lr: 5.00e-04
  에폭 144/500 | 손실: 0.3110 | 학습: 92.9% | 검증: 78.4% | lr: 5.00e-04
  에폭 145/500 | 손실: 0.2989 | 학습: 93.5% | 검증: 80.9% | lr: 5.00e-04
  에폭 146/500 | 손실: 0.2771 | 학습: 93.4% | 검증: 80.2% | lr: 5.00e-04
  에폭 147/500 | 손실: 0.3023 | 학습: 93.6% | 검증: 78.9% | lr: 5.00e-04
  에폭 148/500 | 손실: 0.3104 | 학습: 93.2% | 검증: 78.6% | lr: 5.00e-04
  에폭 149/500 | 손실: 0.2997 | 학습: 94.1% | 검증: 80.7% | lr: 5.00e-04
  에폭 150/500 | 손실: 0.2937 | 학습: 93.7% | 검증: 80.9% | lr: 5.00e-04
  에폭 151/500 | 손실: 0.2994 | 학습: 94.3% | 검증: 79.6% | lr: 5.00e-04
  에폭 152/500 | 손실: 0.2897 | 학습: 94.1% | 검증: 80.9% | lr: 5.00e-04
  에폭 153/500 | 손실: 0.2810 | 학습: 94.0% | 검증: 82.2% | lr: 5.00e-04
  에폭 154/500 | 손실: 0.2817 | 학습: 93.5% | 검증: 81.2% | lr: 5.00e-04
  에폭 155/500 | 손실: 0.2929 | 학습: 93.9% | 검증: 79.4% | lr: 5.00e-04
  에폭 156/500 | 손실: 0.2804 | 학습: 93.6% | 검증: 80.9% | lr: 5.00e-04
  에폭 157/500 | 손실: 0.2788 | 학습: 93.4% | 검증: 81.2% | lr: 2.50e-04
  에폭 158/500 | 손실: 0.2867 | 학습: 93.7% | 검증: 80.2% | lr: 2.50e-04
  에폭 159/500 | 손실: 0.2859 | 학습: 93.2% | 검증: 81.7% | lr: 2.50e-04
