[MLP]   svm_data_20260428_164908_W256_S32_I1.csv            529샘플
[MLP]   svm_data_20260428_171251_W256_S32_I1.csv             10샘플
[MLP]   svm_data_20260428_171310_W256_S32_I1.csv            964샘플
[MLP]   svm_data_20260429_104801_W256_S32_I1.csv            170샘플
[MLP]   svm_data_20260429_112044_W256_S1_I1.csv             287샘플
[MLP]   svm_data_20260429_121425.csv                          1샘플
[MLP] CSV 6개 병합  →  총 1961샘플
[MLP] 로드 완료 | 전체: 1961개  (배경: 997, 사람: 964)
[MLP] 특징 모드: PC 재계산 (25개)
[MLP] 학습: 1568개 (80%)  검증: 393개 (20%)  [비율고정: 유지 | 분리시드: 42]
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
[MLP]  디바이스: cpu
[MLP]  구조: 25 → 128 → 64 → 32 → 2
[MLP]  에폭: 300  배치: 32  LR: 5e-04  Dropout: 0.3  Early Stop: 비활성화
[MLP]  사용 특징 (25개): magnitudes_1, magnitudes_2, magnitudes_3, magnitudes_4, magnitudes_5, magnitudes_6, magnitudes_7, magnitudes_8, magnitudes_9, magnitudes_10, magnitudes_11, magnitudes_12, magnitudes_13, magnitudes_14, magnitudes_15, peak_freq, peak_mag, std_mag, centroid, low_energy, mid_energy, rms, low_ratio, spectral_entropy, peak_to_mean
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  에폭   1/300 | 손실: 0.6366 | 학습: 69.6% | 검증: 70.0% | lr: 5.00e-04 ★
  에폭   2/300 | 손실: 0.5502 | 학습: 70.6% | 검증: 71.0% | lr: 5.00e-04 ★
  에폭   3/300 | 손실: 0.5250 | 학습: 68.9% | 검증: 72.5% | lr: 5.00e-04 ★
  에폭   4/300 | 손실: 0.5169 | 학습: 70.5% | 검증: 73.0% | lr: 5.00e-04 ★
  에폭   5/300 | 손실: 0.5078 | 학습: 70.8% | 검증: 72.3% | lr: 5.00e-04
  에폭   6/300 | 손실: 0.5056 | 학습: 72.3% | 검증: 72.8% | lr: 5.00e-04
  에폭   7/300 | 손실: 0.5002 | 학습: 74.4% | 검증: 73.0% | lr: 5.00e-04
  에폭   8/300 | 손실: 0.4963 | 학습: 74.6% | 검증: 74.0% | lr: 5.00e-04 ★
  에폭   9/300 | 손실: 0.4886 | 학습: 75.3% | 검증: 73.0% | lr: 5.00e-04
  에폭  10/300 | 손실: 0.4948 | 학습: 76.3% | 검증: 73.8% | lr: 5.00e-04
  에폭  11/300 | 손실: 0.4923 | 학습: 75.6% | 검증: 73.3% | lr: 5.00e-04
  에폭  12/300 | 손실: 0.4939 | 학습: 76.7% | 검증: 75.8% | lr: 5.00e-04 ★
  에폭  13/300 | 손실: 0.4738 | 학습: 77.7% | 검증: 75.8% | lr: 5.00e-04
  에폭  14/300 | 손실: 0.4775 | 학습: 76.0% | 검증: 74.6% | lr: 5.00e-04
  에폭  15/300 | 손실: 0.4778 | 학습: 76.8% | 검증: 73.5% | lr: 5.00e-04
