[MLP]   svm_data_20260428_164908_W256_S32_I1.csv            529샘플
[MLP]   svm_data_20260428_171251_W256_S32_I1.csv             10샘플
[MLP]   svm_data_20260428_171310_W256_S32_I1.csv            964샘플
[MLP]   svm_data_20260429_104801_W256_S32_I1.csv            170샘플
[MLP]   svm_data_20260429_112044_W256_S1_I1.csv             287샘플
[MLP]   svm_data_20260429_121425.csv                          1샘플
[MLP] CSV 6개 병합  →  총 1961샘플
[MLP] 로드 완료 | 전체: 1961개  (배경: 997, 사람: 964)
[MLP] 특징 모드: ESP32 (21개)
[MLP] 학습: 1568개 (80%)  검증: 393개 (20%)  [비율고정: 유지 | 분리시드: 42]
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
[MLP]  디바이스: cpu
[MLP]  구조: 21 → 128 → 64 → 32 → 2
[MLP]  에폭: 300  배치: 16  LR: 5e-04  Dropout: 0.3  Early Stop: 비활성화
[MLP]  사용 특징 (21개): SPECTRAL_ROLLOFF, SPECTRAL_BANDWIDTH, PEAK_COUNT, MID_RATIO, LOW_TO_HIGH_RATIO, SECOND_PEAK_FREQ, KURTOSIS, CENTROID, PEAK_FREQ, LOW_RATIO, RMS, AVG_ENERGY, PEAK_ENERGY, ENERGY_VARIANCE, PEAK_TO_AVG_E, HIGH_RATIO, PEAK1_TO_PEAK2_RATIO, SKEWNESS, DC_RATIO, DELTA_PEAK_FREQ, SPECTRAL_FLATNESS
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  에폭   1/300 | 손실: 0.5947 | 학습: 69.6% | 검증: 71.5% | lr: 5.00e-04 ★
  에폭   2/300 | 손실: 0.5248 | 학습: 72.0% | 검증: 76.8% | lr: 5.00e-04 ★
  에폭   3/300 | 손실: 0.5049 | 학습: 71.6% | 검증: 74.3% | lr: 5.00e-04
  에폭   4/300 | 손실: 0.5025 | 학습: 73.0% | 검증: 75.1% | lr: 5.00e-04
  에폭   5/300 | 손실: 0.4923 | 학습: 73.0% | 검증: 74.6% | lr: 5.00e-04
  에폭   6/300 | 손실: 0.4910 | 학습: 75.1% | 검증: 74.3% | lr: 5.00e-04
  에폭   7/300 | 손실: 0.4886 | 학습: 74.6% | 검증: 74.3% | lr: 5.00e-04
  에폭   8/300 | 손실: 0.4871 | 학습: 77.0% | 검증: 75.6% | lr: 5.00e-04
  에폭   9/300 | 손실: 0.4873 | 학습: 75.7% | 검증: 75.6% | lr: 5.00e-04
  에폭  10/300 | 손실: 0.4796 | 학습: 76.4% | 검증: 75.3% | lr: 5.00e-04
  에폭  11/300 | 손실: 0.4877 | 학습: 76.7% | 검증: 76.1% | lr: 5.00e-04
  에폭  12/300 | 손실: 0.4874 | 학습: 75.5% | 검증: 76.8% | lr: 5.00e-04
  에폭  13/300 | 손실: 0.4810 | 학습: 76.0% | 검증: 75.6% | lr: 5.00e-04
  에폭  14/300 | 손실: 0.4693 | 학습: 76.8% | 검증: 76.8% | lr: 5.00e-04
  에폭  15/300 | 손실: 0.4622 | 학습: 77.6% | 검증: 76.8% | lr: 5.00e-04
  에폭  16/300 | 손실: 0.4684 | 학습: 76.9% | 검증: 76.8% | lr: 5.00e-04
  에폭  17/300 | 손실: 0.4677 | 학습: 77.4% | 검증: 75.6% | lr: 5.00e-04
