[MLP]   svm_data_20260428_164908_W256_S32_I1.csv            529샘플
[MLP]   svm_data_20260428_171251_W256_S32_I1.csv             10샘플
[MLP]   svm_data_20260428_171310_W256_S32_I1.csv            964샘플
[MLP]   svm_data_20260429_104801_W256_S32_I1.csv            170샘플
[MLP]   svm_data_20260429_112044_W256_S1_I1.csv             287샘플
[MLP]   svm_data_20260429_121425.csv                          1샘플
[MLP]   svm_data_20260504_104600_W256_S2_I1.csv            1502샘플
[MLP]   svm_data_20260507_110627.csv                          1샘플
[MLP]   svm_data_20260507_110739_W256_S1_I1.csv             125샘플
[MLP]   svm_data_20260507_110824_W256_S1_I1.csv             956샘플
[MLP]   svm_data_20260507_111128_W256_S2_I1.csv            1128샘플
[MLP]   svm_data_20260507_111854.csv                       2908샘플
[MLP] CSV 12개 병합  →  총 8581샘플
[MLP] 로드 완료 | 전체: 8581개  (배경: 4709, 사람: 3872)
[MLP] 특징 모드: ESP32 (21개)
[MLP] 학습: 6864개 (80%)  검증: 1717개 (20%)  [비율고정: 유지 | 분리시드: 42]
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
[MLP]  디바이스: cuda (NVIDIA GeForce GTX 1660 SUPER)
[MLP]  구조: 21 → 128 → 64 → 32 → 2
[MLP]  에폭: 1000  배치: 64  LR: 5e-05  Dropout: 0.4  Early Stop: 비활성화
[MLP]  사용 특징 (21개): SPECTRAL_ROLLOFF, SPECTRAL_BANDWIDTH, PEAK_COUNT, MID_RATIO, LOW_TO_HIGH_RATIO, SECOND_PEAK_FREQ, KURTOSIS, CENTROID, PEAK_FREQ, LOW_RATIO, RMS, AVG_ENERGY, PEAK_ENERGY, ENERGY_VARIANCE, PEAK_TO_AVG_E, HIGH_RATIO, PEAK1_TO_PEAK2_RATIO, SKEWNESS, DC_RATIO, DELTA_PEAK_FREQ, SPECTRAL_FLATNESS
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  에폭   1/1000 | 손실: 0.6791 | 학습: 56.7% | 검증: 56.4% | lr: 5.00e-05 ★
  에폭   2/1000 | 손실: 0.6223 | 학습: 70.8% | 검증: 70.5% | lr: 5.00e-05 ★
  에폭   3/1000 | 손실: 0.5486 | 학습: 79.4% | 검증: 78.6% | lr: 5.00e-05 ★
  에폭   4/1000 | 손실: 0.4803 | 학습: 80.2% | 검증: 80.7% | lr: 5.00e-05 ★
  에폭   5/1000 | 손실: 0.4356 | 학습: 80.4% | 검증: 81.4% | lr: 5.00e-05 ★
  에폭   6/1000 | 손실: 0.4184 | 학습: 80.3% | 검증: 80.8% | lr: 5.00e-05
  에폭   7/1000 | 손실: 0.4087 | 학습: 80.8% | 검증: 81.2% | lr: 5.00e-05
  에폭   8/1000 | 손실: 0.4056 | 학습: 81.2% | 검증: 81.0% | lr: 5.00e-05
  에폭   9/1000 | 손실: 0.4031 | 학습: 81.2% | 검증: 81.4% | lr: 5.00e-05 ★
  에폭  10/1000 | 손실: 0.4007 | 학습: 81.6% | 검증: 81.4% | lr: 5.00e-05
  에폭  11/1000 | 손실: 0.3953 | 학습: 81.7% | 검증: 81.5% | lr: 5.00e-05 ★
  에폭  12/1000 | 손실: 0.3939 | 학습: 81.8% | 검증: 81.6% | lr: 5.00e-05 ★
  에폭  13/1000 | 손실: 0.3992 | 학습: 81.8% | 검증: 81.2% | lr: 5.00e-05
  에폭  14/1000 | 손실: 0.3927 | 학습: 82.1% | 검증: 81.7% | lr: 5.00e-05 ★
  에폭  15/1000 | 손실: 0.3943 | 학습: 82.2% | 검증: 81.7% | lr: 5.00e-05 ★
  에폭  16/1000 | 손실: 0.3901 | 학습: 82.4% | 검증: 81.7% | lr: 5.00e-05
  에폭  17/1000 | 손실: 0.3899 | 학습: 82.5% | 검증: 81.7% | lr: 5.00e-05
  에폭  18/1000 | 손실: 0.3907 | 학습: 82.5% | 검증: 81.9% | lr: 5.00e-05 ★
  에폭  19/1000 | 손실: 0.3887 | 학습: 82.3% | 검증: 81.7% | lr: 5.00e-05
  에폭  20/1000 | 손실: 0.3849 | 학습: 82.6% | 검증: 81.7% | lr: 5.00e-05
  에폭  21/1000 | 손실: 0.3878 | 학습: 82.9% | 검증: 82.1% | lr: 5.00e-05 ★
  에폭  22/1000 | 손실: 0.3835 | 학습: 82.9% | 검증: 81.9% | lr: 5.00e-05
  에폭  23/1000 | 손실: 0.3919 | 학습: 82.7% | 검증: 81.6% | lr: 5.00e-05
  에폭  24/1000 | 손실: 0.3827 | 학습: 83.1% | 검증: 81.9% | lr: 5.00e-05
  에폭  25/1000 | 손실: 0.3847 | 학습: 82.9% | 검증: 81.8% | lr: 5.00e-05
  에폭  26/1000 | 손실: 0.3869 | 학습: 82.9% | 검증: 82.1% | lr: 5.00e-05
  에폭  27/1000 | 손실: 0.3834 | 학습: 83.3% | 검증: 82.3% | lr: 5.00e-05 ★
  에폭  28/1000 | 손실: 0.3822 | 학습: 83.0% | 검증: 82.4% | lr: 5.00e-05 ★
  에폭  29/1000 | 손실: 0.3803 | 학습: 83.5% | 검증: 82.6% | lr: 5.00e-05 ★
  에폭  30/1000 | 손실: 0.3792 | 학습: 83.2% | 검증: 82.6% | lr: 5.00e-05
  에폭  31/1000 | 손실: 0.3792 | 학습: 83.4% | 검증: 82.8% | lr: 5.00e-05 ★
  에폭  32/1000 | 손실: 0.3818 | 학습: 83.6% | 검증: 82.9% | lr: 5.00e-05 ★
  에폭  33/1000 | 손실: 0.3784 | 학습: 83.5% | 검증: 83.0% | lr: 5.00e-05 ★
