[MLP]   svm_data_20260428_164908_W256_S32_I1.csv            529샘플
[MLP]   svm_data_20260428_171251_W256_S32_I1.csv             10샘플
[MLP]   svm_data_20260428_171310_W256_S32_I1.csv            964샘플
[MLP]   svm_data_20260429_104801_W256_S32_I1.csv            170샘플
[MLP]   svm_data_20260429_112044_W256_S1_I1.csv             287샘플
[MLP]   svm_data_20260429_121425.csv                          1샘플
[MLP]   svm_data_20260504_104600_W256_S2_I1.csv            1502샘플
[MLP]   svm_data_20260507_110627.csv                          1샘플
[MLP]   svm_data_20260507_110739_W256_S1_I1.csv             125샘플
[MLP]   svm_data_20260507_110824_W256_S1_I1.csv             956샘플
[MLP]   svm_data_20260507_111128_W256_S2_I1.csv            1128샘플
[MLP]   svm_data_20260507_111854.csv                       2908샘플
[MLP] CSV 12개 병합  →  총 8581샘플
[MLP] 로드 완료 | 전체: 8581개  (배경: 4709, 사람: 3872)
[MLP] 특징 모드: ESP32 (21개)
[MLP] 학습: 6864개 (80%)  검증: 1717개 (20%)  [비율고정: 유지 | 분리시드: 42]
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
[MLP]  디바이스: cuda (NVIDIA GeForce GTX 1660 SUPER)
[MLP]  구조: 21 → 128 → 64 → 32 → 2
[MLP]  에폭: 300  배치: 8  LR: 5e-05  Dropout: 0.3  Early Stop: 비활성화
[MLP]  사용 특징 (21개): SPECTRAL_ROLLOFF, SPECTRAL_BANDWIDTH, PEAK_COUNT, MID_RATIO, LOW_TO_HIGH_RATIO, SECOND_PEAK_FREQ, KURTOSIS, CENTROID, PEAK_FREQ, LOW_RATIO, RMS, AVG_ENERGY, PEAK_ENERGY, ENERGY_VARIANCE, PEAK_TO_AVG_E, HIGH_RATIO, PEAK1_TO_PEAK2_RATIO, SKEWNESS, DC_RATIO, DELTA_PEAK_FREQ, SPECTRAL_FLATNESS
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  에폭   1/300 | 손실: 0.5572 | 학습: 80.3% | 검증: 80.1% | lr: 5.00e-05 ★
  에폭   2/300 | 손실: 0.4439 | 학습: 80.5% | 검증: 79.9% | lr: 5.00e-05
  에폭   3/300 | 손실: 0.4330 | 학습: 81.5% | 검증: 81.2% | lr: 5.00e-05 ★
  에폭   4/300 | 손실: 0.4258 | 학습: 82.1% | 검증: 81.7% | lr: 5.00e-05 ★
  에폭   5/300 | 손실: 0.4206 | 학습: 82.5% | 검증: 81.7% | lr: 5.00e-05 ★
  에폭   6/300 | 손실: 0.4211 | 학습: 82.6% | 검증: 82.6% | lr: 5.00e-05 ★
  에폭   7/300 | 손실: 0.4135 | 학습: 83.5% | 검증: 83.3% | lr: 5.00e-05 ★
  에폭   8/300 | 손실: 0.4146 | 학습: 83.2% | 검증: 83.3% | lr: 5.00e-05
  에폭   9/300 | 손실: 0.4118 | 학습: 82.0% | 검증: 81.5% | lr: 5.00e-05
  에폭  10/300 | 손실: 0.4082 | 학습: 83.5% | 검증: 82.9% | lr: 5.00e-05
  에폭  11/300 | 손실: 0.4066 | 학습: 83.5% | 검증: 83.6% | lr: 5.00e-05 ★
  에폭  12/300 | 손실: 0.4069 | 학습: 83.9% | 검증: 83.2% | lr: 5.00e-05
  에폭  13/300 | 손실: 0.4060 | 학습: 83.5% | 검증: 83.2% | lr: 5.00e-05
  에폭  14/300 | 손실: 0.4039 | 학습: 83.7% | 검증: 83.8% | lr: 5.00e-05 ★
  에폭  15/300 | 손실: 0.4038 | 학습: 84.0% | 검증: 83.4% | lr: 5.00e-05
  에폭  16/300 | 손실: 0.4010 | 학습: 83.6% | 검증: 83.5% | lr: 5.00e-05
  에폭  17/300 | 손실: 0.3934 | 학습: 83.9% | 검증: 83.5% | lr: 5.00e-05
  에폭  18/300 | 손실: 0.3983 | 학습: 83.8% | 검증: 83.8% | lr: 5.00e-05
  에폭  19/300 | 손실: 0.3947 | 학습: 84.3% | 검증: 83.9% | lr: 5.00e-05 ★
  에폭  20/300 | 손실: 0.3962 | 학습: 84.0% | 검증: 83.6% | lr: 5.00e-05
  에폭  21/300 | 손실: 0.3922 | 학습: 84.6% | 검증: 84.0% | lr: 5.00e-05 ★
