[MLP]   svm_data_20260428_164908_W256_S32_I1.csv            529샘플
[MLP]   svm_data_20260428_171251_W256_S32_I1.csv             10샘플
[MLP]   svm_data_20260428_171310_W256_S32_I1.csv            964샘플
[MLP]   svm_data_20260429_104801_W256_S32_I1.csv            170샘플
[MLP]   svm_data_20260429_112044_W256_S1_I1.csv             287샘플
[MLP]   svm_data_20260429_121425.csv                          1샘플
[MLP]   svm_data_20260504_104600_W256_S2_I1.csv            1502샘플
[MLP]   svm_data_20260507_110627.csv                          1샘플
[MLP]   svm_data_20260507_110739_W256_S1_I1.csv             125샘플
[MLP]   svm_data_20260507_110824_W256_S1_I1.csv             956샘플
[MLP]   svm_data_20260507_111128_W256_S2_I1.csv            1128샘플
[MLP]   svm_data_20260507_111854.csv                       2908샘플
[MLP] CSV 12개 병합  →  총 8581샘플
[MLP] 로드 완료 | 전체: 8581개  (배경: 4709, 사람: 3872)
[MLP] 특징 모드: ESP32 (18개)
[MLP] 학습: 6864개 (80%)  검증: 1717개 (20%)  [비율고정: 유지 | 분리시드: 42]
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
[MLP]  디바이스: cuda (NVIDIA GeForce GTX 1660 SUPER)
[MLP]  구조: 18 → 128 → 64 → 32 → 2
[MLP]  에폭: 300  배치: 16  LR: 5e-04  Dropout: 0.3  Early Stop: patience=30
[MLP]  사용 특징 (18개): SPECTRAL_ROLLOFF, SPECTRAL_BANDWIDTH, PEAK_COUNT, MID_RATIO, LOW_TO_HIGH_RATIO, SECOND_PEAK_FREQ, KURTOSIS, CENTROID, PEAK_FREQ, LOW_RATIO, RMS, PEAK_ENERGY, PEAK_TO_AVG_E, HIGH_RATIO, PEAK1_TO_PEAK2_RATIO, SKEWNESS, DC_RATIO, DELTA_PEAK_FREQ
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  에폭   1/300 | 손실: 0.4460 | 학습: 82.1% | 검증: 81.7% | lr: 5.00e-04 ★
  에폭   2/300 | 손실: 0.4160 | 학습: 83.2% | 검증: 83.3% | lr: 5.00e-04 ★
  에폭   3/300 | 손실: 0.4015 | 학습: 82.1% | 검증: 81.8% | lr: 5.00e-04
  에폭   4/300 | 손실: 0.3993 | 학습: 84.4% | 검증: 85.0% | lr: 5.00e-04 ★
  에폭   5/300 | 손실: 0.3931 | 학습: 84.4% | 검증: 84.7% | lr: 5.00e-04
  에폭   6/300 | 손실: 0.3903 | 학습: 84.9% | 검증: 85.4% | lr: 5.00e-04 ★
  에폭   7/300 | 손실: 0.3816 | 학습: 85.1% | 검증: 85.2% | lr: 5.00e-04
  에폭   8/300 | 손실: 0.3747 | 학습: 85.2% | 검증: 85.0% | lr: 5.00e-04
  에폭   9/300 | 손실: 0.3757 | 학습: 84.8% | 검증: 85.7% | lr: 5.00e-04 ★
  에폭  10/300 | 손실: 0.3700 | 학습: 84.5% | 검증: 84.1% | lr: 5.00e-04
  에폭  11/300 | 손실: 0.3743 | 학습: 84.9% | 검증: 85.6% | lr: 5.00e-04
  에폭  12/300 | 손실: 0.3643 | 학습: 84.9% | 검증: 85.3% | lr: 5.00e-04
  에폭  13/300 | 손실: 0.3648 | 학습: 85.1% | 검증: 85.4% | lr: 5.00e-04
  에폭  14/300 | 손실: 0.3566 | 학습: 85.0% | 검증: 84.9% | lr: 5.00e-04
  에폭  15/300 | 손실: 0.3594 | 학습: 84.9% | 검증: 84.9% | lr: 5.00e-04
  에폭  16/300 | 손실: 0.3622 | 학습: 85.0% | 검증: 85.0% | lr: 5.00e-04
  에폭  17/300 | 손실: 0.3557 | 학습: 85.2% | 검증: 84.7% | lr: 5.00e-04
  에폭  18/300 | 손실: 0.3551 | 학습: 85.5% | 검증: 84.2% | lr: 5.00e-04
  에폭  19/300 | 손실: 0.3564 | 학습: 85.5% | 검증: 85.7% | lr: 5.00e-04
  에폭  20/300 | 손실: 0.3506 | 학습: 85.8% | 검증: 85.2% | lr: 5.00e-04
  에폭  21/300 | 손실: 0.3523 | 학습: 86.0% | 검증: 85.1% | lr: 5.00e-04
  에폭  22/300 | 손실: 0.3555 | 학습: 86.0% | 검증: 85.3% | lr: 5.00e-04
  에폭  23/300 | 손실: 0.3488 | 학습: 86.3% | 검증: 85.2% | lr: 5.00e-04
  에폭  24/300 | 손실: 0.3523 | 학습: 86.2% | 검증: 85.2% | lr: 5.00e-04
