[MLP]   svm_data_20260507_133636.csv                       24741샘플
[MLP] CSV 로드  →  총 24741샘플
[MLP] 로드 완료 | 전체: 24741개  (배경: 12371, 사람: 12370)data_parser.py | settings_parser() | SettingData_handle.b_pir_status: False
[MLP] 특징 모드: ESP32 (21개)
[MLP] 학습: 19792개 (80%)  검증: 4949개 (20%)  [비율고정: 유지 | 분리시드: 42]
[MLP] 스케일러: StandardScaler (z-score)
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
[MLP]  디바이스: cuda (NVIDIA GeForce GTX 1660 SUPER)
[MLP]  구조: 21 → 64 → 32 → 2
[MLP]  에폭: 300  배치: 8  LR: 1e-03  Dropout: 0.3  Early Stop: 비활성화
[MLP]  사용 특징 (21개): SPECTRAL_ROLLOFF, SPECTRAL_BANDWIDTH, PEAK_COUNT, MID_RATIO, LOW_TO_HIGH_RATIO, SECOND_PEAK_FREQ, KURTOSIS, CENTROID, PEAK_FREQ, LOW_RATIO, RMS, AVG_ENERGY, PEAK_ENERGY, ENERGY_VARIANCE, PEAK_TO_AVG_E, HIGH_RATIO, PEAK1_TO_PEAK2_RATIO, SKEWNESS, DC_RATIO, DELTA_PEAK_FREQ, SPECTRAL_FLATNESS
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  에폭   1/300 | 손실: 0.6158 | 학습: 66.5% | 검증: 64.5% | lr: 1.00e-03 ★
  에폭   2/300 | 손실: 0.6030 | 학습: 66.3% | 검증: 65.0% | lr: 1.00e-03 ★
  에폭   3/300 | 손실: 0.5969 | 학습: 67.0% | 검증: 65.1% | lr: 1.00e-03 ★
  에폭   4/300 | 손실: 0.5938 | 학습: 67.0% | 검증: 65.5% | lr: 1.00e-03 ★
  에폭   5/300 | 손실: 0.5948 | 학습: 66.8% | 검증: 65.4% | lr: 1.00e-03
  에폭   6/300 | 손실: 0.5933 | 학습: 67.2% | 검증: 65.7% | lr: 1.00e-03 ★
  에폭   7/300 | 손실: 0.5921 | 학습: 67.1% | 검증: 65.9% | lr: 1.00e-03 ★
  에폭   8/300 | 손실: 0.5905 | 학습: 67.4% | 검증: 66.0% | lr: 1.00e-03 ★
  에폭   9/300 | 손실: 0.5905 | 학습: 67.6% | 검증: 66.2% | lr: 1.00e-03 ★
  에폭  10/300 | 손실: 0.5886 | 학습: 67.5% | 검증: 66.1% | lr: 1.00e-03
  에폭  11/300 | 손실: 0.5878 | 학습: 68.5% | 검증: 66.2% | lr: 1.00e-03 ★
  에폭  12/300 | 손실: 0.5884 | 학습: 68.2% | 검증: 65.8% | lr: 1.00e-03
  에폭  13/300 | 손실: 0.5844 | 학습: 68.1% | 검증: 66.7% | lr: 1.00e-03 ★
  에폭  14/300 | 손실: 0.5875 | 학습: 67.9% | 검증: 66.5% | lr: 1.00e-03
  에폭  15/300 | 손실: 0.5830 | 학습: 68.5% | 검증: 67.0% | lr: 1.00e-03 ★
  에폭  16/300 | 손실: 0.5864 | 학습: 68.2% | 검증: 66.6% | lr: 1.00e-03
  에폭  17/300 | 손실: 0.5839 | 학습: 68.2% | 검증: 67.2% | lr: 1.00e-03 ★
  에폭  18/300 | 손실: 0.5840 | 학습: 68.0% | 검증: 66.6% | lr: 1.00e-03
  에폭  19/300 | 손실: 0.5813 | 학습: 68.7% | 검증: 66.7% | lr: 1.00e-03
  에폭  20/300 | 손실: 0.5840 | 학습: 68.2% | 검증: 67.2% | lr: 1.00e-03
  에폭  21/300 | 손실: 0.5823 | 학습: 68.7% | 검증: 66.8% | lr: 1.00e-03
  에폭  22/300 | 손실: 0.5807 | 학습: 69.0% | 검증: 67.4% | lr: 1.00e-03 ★
  에폭  23/300 | 손실: 0.5823 | 학습: 68.9% | 검증: 67.4% | lr: 1.00e-03
  에폭  24/300 | 손실: 0.5801 | 학습: 69.2% | 검증: 67.5% | lr: 1.00e-03 ★
  에폭  25/300 | 손실: 0.5797 | 학습: 69.1% | 검증: 67.3% | lr: 1.00e-03
  에폭  26/300 | 손실: 0.5804 | 학습: 69.1% | 검증: 67.7% | lr: 1.00e-03 ★
  에폭  27/300 | 손실: 0.5793 | 학습: 69.5% | 검증: 68.0% | lr: 1.00e-03 ★
  에폭  28/300 | 손실: 0.5798 | 학습: 68.6% | 검증: 67.3% | lr: 1.00e-03
  에폭  29/300 | 손실: 0.5794 | 학습: 68.8% | 검증: 66.9% | lr: 1.00e-03
  에폭  30/300 | 손실: 0.5816 | 학습: 69.3% | 검증: 68.3% | lr: 1.00e-03 ★
  에폭  31/300 | 손실: 0.5767 | 학습: 69.1% | 검증: 68.0% | lr: 1.00e-03
  에폭  32/300 | 손실: 0.5783 | 학습: 69.0% | 검증: 67.2% | lr: 1.00e-03
  에폭  33/300 | 손실: 0.5774 | 학습: 69.3% | 검증: 67.8% | lr: 1.00e-03
  에폭  34/300 | 손실: 0.5774 | 학습: 69.4% | 검증: 67.7% | lr: 1.00e-03
  에폭  35/300 | 손실: 0.5756 | 학습: 68.5% | 검증: 67.2% | lr: 1.00e-03
  에폭  36/300 | 손실: 0.5795 | 학습: 69.3% | 검증: 67.2% | lr: 1.00e-03
  에폭  37/300 | 손실: 0.5788 | 학습: 69.1% | 검증: 67.4% | lr: 1.00e-03
  에폭  38/300 | 손실: 0.5760 | 학습: 69.2% | 검증: 68.1% | lr: 1.00e-03
  에폭  39/300 | 손실: 0.5768 | 학습: 69.8% | 검증: 67.4% | lr: 1.00e-03
  에폭  40/300 | 손실: 0.5783 | 학습: 69.1% | 검증: 67.0% | lr: 1.00e-03
  에폭  41/300 | 손실: 0.5748 | 학습: 69.8% | 검증: 68.5% | lr: 1.00e-03 ★
  에폭  42/300 | 손실: 0.5760 | 학습: 69.8% | 검증: 68.5% | lr: 1.00e-03 ★
  에폭  43/300 | 손실: 0.5761 | 학습: 69.1% | 검증: 67.8% | lr: 1.00e-03
  에폭  44/300 | 손실: 0.5733 | 학습: 69.9% | 검증: 67.9% | lr: 1.00e-03
  에폭  45/300 | 손실: 0.5762 | 학습: 69.7% | 검증: 68.5% | lr: 1.00e-03
  에폭  46/300 | 손실: 0.5750 | 학습: 69.3% | 검증: 68.4% | lr: 1.00e-03
  에폭  47/300 | 손실: 0.5757 | 학습: 69.3% | 검증: 68.2% | lr: 1.00e-03
  에폭  48/300 | 손실: 0.5734 | 학습: 69.9% | 검증: 69.1% | lr: 1.00e-03 ★
  에폭  49/300 | 손실: 0.5709 | 학습: 69.3% | 검증: 68.4% | lr: 1.00e-03
  에폭  50/300 | 손실: 0.5774 | 학습: 69.5% | 검증: 67.8% | lr: 1.00e-03
  에폭  51/300 | 손실: 0.5738 | 학습: 69.4% | 검증: 67.5% | lr: 1.00e-03
  에폭  52/300 | 손실: 0.5743 | 학습: 69.0% | 검증: 67.5% | lr: 1.00e-03
  에폭  53/300 | 손실: 0.5714 | 학습: 70.3% | 검증: 68.5% | lr: 1.00e-03
  에폭  54/300 | 손실: 0.5727 | 학습: 69.8% | 검증: 67.1% | lr: 1.00e-03
  에폭  55/300 | 손실: 0.5706 | 학습: 69.8% | 검증: 67.7% | lr: 1.00e-03
  에폭  56/300 | 손실: 0.5707 | 학습: 69.4% | 검증: 68.0% | lr: 1.00e-03
  에폭  57/300 | 손실: 0.5694 | 학습: 70.6% | 검증: 68.6% | lr: 1.00e-03
  에폭  58/300 | 손실: 0.5705 | 학습: 70.7% | 검증: 69.3% | lr: 1.00e-03 ★
  에폭  59/300 | 손실: 0.5706 | 학습: 69.6% | 검증: 68.0% | lr: 1.00e-03
  에폭  60/300 | 손실: 0.5709 | 학습: 70.7% | 검증: 69.2% | lr: 1.00e-03
  에폭  61/300 | 손실: 0.5713 | 학습: 70.1% | 검증: 68.3% | lr: 1.00e-03
  에폭  62/300 | 손실: 0.5716 | 학습: 70.2% | 검증: 68.0% | lr: 1.00e-03
  에폭  63/300 | 손실: 0.5698 | 학습: 69.7% | 검증: 67.9% | lr: 1.00e-03
  에폭  64/300 | 손실: 0.5703 | 학습: 70.3% | 검증: 67.9% | lr: 1.00e-03
  에폭  65/300 | 손실: 0.5695 | 학습: 71.5% | 검증: 69.0% | lr: 1.00e-03
  에폭  66/300 | 손실: 0.5694 | 학습: 70.6% | 검증: 68.9% | lr: 1.00e-03
  에폭  67/300 | 손실: 0.5707 | 학습: 70.3% | 검증: 68.1% | lr: 1.00e-03
  에폭  68/300 | 손실: 0.5689 | 학습: 70.3% | 검증: 68.2% | lr: 1.00e-03
